,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-693271.9089843817,-0.0,0.0
1,10,-693271.9568512586,0.10579137148160953,0.05289568574080476
2,20,-693272.6867379184,0.6228530451946427,0.2615046327802702
3,30,-693276.2842398718,1.782414156541927,0.7142869201692521
4,40,-693285.921552359,3.434675103391055,1.4406903341834552
5,50,-693304.3771505721,5.227827338443604,2.392807455951697
6,60,-693333.5031178335,6.907340264838422,3.4912018785325927
7,70,-693374.29267998,8.371216125856154,4.664757576258853
8,80,-693427.133618407,9.61467374912463,5.863618694568868
9,90,-693492.0437301071,10.672916630882535,7.057475616715965
10,100,-693568.837487726,11.58880740089808,8.229855799587677
11,110,-693657.2299652604,12.399414679309118,9.372905927782995
12,120,-693756.8965866487,13.132462304807266,10.48370161530038
13,130,-693867.5049810656,13.806985344615534,11.561925442537177
14,140,-693988.7305599207,14.435312062769658,12.608510199791636
15,150,-694120.2630287005,15.025111605209531,13.62489411268325
16,160,-694261.8082819434,15.58104990562424,14.612638975740992
17,170,-694413.0880406159,16.105985483512644,15.57325224068918
18,180,-694573.8386287303,16.601765865093324,16.50811785900587
19,190,-694743.8094889631,17.06973203684317,17.4184814965789
20,200,-694922.7617885506,17.511010821501287,18.3054602417702
21,210,-695110.4672152826,17.926658934881576,19.170060725043008
22,220,-695306.706970014,18.31774714000637,20.01319837277843
23,230,-695511.2709586209,18.685399829442037,20.835715151896878
24,240,-695723.9571462774,19.030770034203314,21.63839387172775
25,250,-695944.5710494887,19.355026317716685,22.421968773794653
26,260,-696172.9252725978,19.659375112177795,23.187134206152408
27,270,-696408.8391824649,19.94499648900529,23.934550898989258
28,280,-696652.1385913985,20.2130448285723,24.664849914904337
29,290,-696902.6554583877,20.464657649837285,25.37863606898318
30,300,-697160.2276885257,20.700893790170127,26.07648989048321
31,310,-697424.6988483103,20.92281691041717,26.75896957586374
32,320,-697695.9179773731,21.13141469936818,27.42661271941906
33,330,-697973.7394213431,21.327552550824485,28.07993580971524
34,340,-698258.0225345948,21.512122358242014,28.719435285896175
35,350,-698548.6315732254,21.68596532782251,29.345589531141737
36,360,-698845.4354710614,21.84980612058424,29.958858565277474
37,370,-699148.3076854823,22.004339120173256,30.559684028786428
38,380,-699457.1259698842,22.15023627832417,31.148490440189192
39,390,-699771.7722724638,22.288077633580542,31.725685502581467
40,400,-700092.1325068948,22.418408855097383,32.291660198316094
41,410,-700418.0964262489,22.54179449416112,32.84679024186043
42,420,-700749.5574527604,22.65872903689739,33.39143694896484
43,430,-701086.4125746625,22.769583113727215,33.92594631755928
44,440,-701428.562140566,22.874764819571283,34.45064942121826
45,450,-701775.9097306237,22.974693102485713,34.96586429833697
46,460,-702128.3620691166,23.06973243274267,35.471896627367826
47,470,-702485.8288360094,23.160196580461243,35.9690396585982
48,480,-702848.2226345652,23.246347413724322,36.4575741808294
49,490,-703215.4587469954,23.328468548998423,36.93776923049445
50,500,-703587.455156192,23.406793361063905,37.409882761543855
51,510,-703964.1323057766,23.48165864783521,37.87416303483916
52,520,-704345.4131125076,23.553297609789297,38.330849390002555
53,530,-704731.2228517325,23.621729511572592,38.78016991030746
54,540,-705121.4889900615,23.687173135788257,39.222342092316836
55,550,-705516.1411180745,23.74996953876689,39.65757658348885
56,560,-705915.11092179,23.810262387641785,40.08607702593872
57,570,-706318.3320895357,23.868088388364413,40.508037850788966
58,580,-706725.7401837955,23.92356959246677,40.923644716078705
59,590,-707137.2725967079,23.976944779310767,41.333076832261575
60,600,-707552.868459313,24.028350501204798,41.73650753372058
61,610,-707972.4686596628,24.077745830506146,42.13410236027848
62,620,-708396.0156351646,24.125319924508133,42.52601996430894
63,630,-708823.4534084081,24.171304861834685,42.9124147488299
64,640,-709254.7275335481,24.215654970146716,43.293435306155885
65,650,-709689.7850173832,24.258414376192192,43.66922329811933
66,660,-710128.574216288,24.2997582464946,44.03991556325346
67,670,-710571.044881359,24.339645830961036,44.40564378887066
68,680,-711017.148025238,24.37825106988889,44.76653478296503
69,690,-711466.8358771742,24.41584196822373,45.12271302014124
70,700,-711920.061981876,24.452136746229275,45.47429753083125
71,710,-712376.7809842753,24.487097363636558,45.82139999807842
72,720,-712836.9485880834,24.521155363088525,46.16413014684221
73,730,-713300.5216391869,24.554310257497338,46.5025961552179
74,740,-713767.4580583813,24.586442734056618,46.836900975528984
75,750,-714237.716710678,24.61767174347171,47.16714340022008
76,760,-714711.2574977247,24.647961228142904,47.49341885150206
77,770,-715188.0412070989,24.67741458318778,47.815819442999775
78,780,-715668.0295482408,24.70618880654225,48.1344354000088
79,790,-716151.1851396669,24.734103984970716,48.44935336710913
80,800,-716637.4714391705,24.761336745927167,48.76065668370138
81,810,-717126.8526691893,24.787957210859282,49.06842711991194
82,820,-717619.2939984732,24.81373918260791,49.37274248915928
83,830,-718114.7611652357,24.838981959287658,49.6736781982996
84,840,-718613.2208207918,24.86372948877991,49.971309009555256
85,850,-719114.6402549973,24.887803440826186,50.265706243138986
86,860,-719618.9875142955,24.9112498058296,50.55693793461686
87,870,-720126.2312522605,24.934209224276252,50.845070835338255
88,880,-720636.3408356159,24.95673350605648,51.13017051054484
89,890,-721149.2862537648,24.978771239955677,51.412300308243715
90,900,-721665.0381267117,25.000251359422627,51.69152076907921
91,910,-722183.5676693094,25.021211371276877,51.967890237768
92,920,-722704.846640634,25.041945616225973,52.241466951649635
93,930,-723228.8474195228,25.062253351826737,52.51230777976307
94,940,-723755.5429569981,25.081989180203394,52.780465913418446
95,950,-724284.9066335434,25.101418796592245,53.045993479991736
96,960,-724816.9124602474,25.12039609942599,53.30894160685129
97,970,-725351.5348660047,25.139172316554912,53.56936036565894
98,980,-725888.7487952048,25.157693242345495,53.82729930588248
99,990,-726428.5297674625,25.175554762833194,54.0828041501285
100,1000,-726970.8535763836,25.19321246247266,54.33591947891982
101,1010,-727515.6966102386,25.210727422986896,54.5866911225341
102,1020,-728063.0356425473,25.227804055146407,54.83516240998869
103,1030,-728612.8478995189,25.244551137843665,55.081374480888186
104,1040,-729165.1109652033,25.26113549757298,55.325368612450255
105,1050,-729719.8028979789,25.277459885197384,55.567185235861686
106,1060,-730276.9021092044,25.293488112214405,55.80686299864755
107,1070,-730836.3874049666,25.309224680511473,56.044439309886364
108,1080,-731398.2379657008,25.324626036558612,56.27995035399363
109,1090,-731962.4333043583,25.339978871837957,56.51343242824369
110,1100,-732528.9533133218,25.355053880484775,56.7449211083469
111,1110,-733097.7782785653,25.369748812002708,56.97444950106001
112,1120,-733668.8886805357,25.384577212808495,57.20205165427615
113,1130,-734242.2655045964,25.39908873497641,57.42776100807532
114,1140,-734817.8899681828,25.41300833526774,57.65160691933416
115,1150,-735395.7435584983,25.42691487347458,57.873619286005855
116,1160,-735975.8081008598,25.44090808107285,58.093830176359916
117,1170,-736558.0657567041,25.454711012664816,58.3122700792097
118,1180,-737142.4989604612,25.468062003981238,58.52896641246917
119,1190,-737729.0904202133,25.481231147795746,58.7439459258545
120,1200,-738317.82306142,25.494473942206497,58.957236897033
121,1210,-738908.6802034361,25.507378202781375,59.16886626105988
122,1220,-739501.6453203595,25.52010869726655,59.3788592597426
123,1230,-740096.7021778002,25.532830756448675,59.58724186410254
124,1240,-740693.8348280522,25.54523221207765,59.79403882764454
125,1250,-741293.02751176,25.557544025650802,59.999273972344234
126,1260,-741894.2647332327,25.56986992522716,60.20297188624536
127,1270,-742497.531259808,25.581949351809634,60.40515596007462
128,1280,-743102.812057437,25.593762561678886,60.60584793111193
129,1290,-743710.0923147384,25.60556321315807,60.80506993516174
130,1300,-744319.3574324419,25.617193098936788,61.00284396997013
131,1310,-744930.5930791923,25.628651097722468,61.19919091473421
132,1320,-745543.785020708,25.640115881839204,61.394131844800725
133,1330,-746158.9193859661,25.651347621646902,61.58768713354366
134,1340,-746775.9823410595,25.662551538489346,61.77987656054175
135,1350,-747394.960383754,25.67360582429673,61.970719778843346
136,1360,-748015.8401245568,25.68442546376008,62.16023524261546
137,1370,-748638.6083758601,25.695349226365312,62.348441924220246
138,1380,-749263.2521508376,25.70616042308985,62.5353588334343
139,1390,-749889.7586597112,25.716632641543303,62.72100296864811
140,1400,-750518.1152381105,25.72708623460514,62.90539129229729
141,1410,-751148.3094133872,25.73754238404217,63.08854162392964
142,1420,-751780.3289214505,25.747806210763112,63.27047079419863
143,1430,-752414.1615975267,25.75799246925132,63.4511949944048
144,1440,-753049.7955079485,25.76810535918952,63.630730493189176
145,1450,-753687.2188145248,25.778160777815874,63.8090932908206
146,1460,-754326.4199014907,25.788053721468795,63.986298752870056
147,1470,-754967.3872482892,25.7978260140548,64.16236171287164
148,1480,-755610.1095152305,25.80758698072708,64.33729721425624
