,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-631321.826912935,-0.0,0.0
1,10,-631321.9796578647,0.1663923973770579,0.08319619868852896
2,20,-631323.5664708387,0.7773329262214247,0.3607256289324141
3,30,-631328.940843619,1.9263159864553017,0.8761115248969872
4,40,-631340.8526872669,3.4491363906068733,1.6283062381320632
5,50,-631361.5862425262,5.06812344242644,2.5662606312005662
6,60,-631392.6302676011,6.589836093893973,3.622225983267708
7,70,-631434.7766289727,7.942207715351834,4.738679542188765
8,80,-631488.3400885613,9.127331238612534,5.876438295698609
9,90,-631553.351059507,10.175020515080542,7.012175415616367
10,100,-631629.6865657145,11.117254860262618,8.133317076133972
11,110,-631717.1478034416,11.978738485669597,9.233667932132084
12,120,-631815.5020623088,12.775782101356892,10.31048029934027
13,130,-631924.503596415,13.518245426347127,11.36273706996144
14,140,-632043.903499241,14.211839412676634,12.390235279669287
15,150,-632173.4539907003,14.859924210148169,13.393131779984106
16,160,-632312.9101916379,15.464785937219858,14.371737147527165
17,170,-632462.030849546,16.028342423483274,15.326433544050088
18,180,-632620.5788488779,16.55242045699269,16.257644837173576
19,190,-632788.3214552704,17.038950669372557,17.16582773297996
20,200,-632965.030662689,17.49000574718231,18.051471315327216
21,210,-633150.4835360883,17.90772143995855,18.91509577900579
22,220,-633344.4624879945,18.294297710235696,19.75724959241925
23,230,-633546.755562506,18.65189753630841,20.578505119231707
24,240,-633757.1566727731,18.982629862753683,21.379452608103747
25,250,-633975.4656715957,19.28857180973864,22.160695499772554
26,260,-634201.4885739896,19.57166928345102,22.922845191418308
27,270,-634435.0374955809,19.833756215605497,23.66651522863976
28,280,-634675.9307356422,20.076552218268645,24.392316871450745
29,290,-634923.9926621077,20.30162228163681,25.100854702864304
30,300,-635179.053686178,20.510405629640456,25.792722767064692
31,310,-635440.9500662644,20.704319464834416,26.468503497421622
32,320,-635709.5238442201,20.884570981562092,27.128765555538124
33,330,-635984.6227213434,21.052223403635445,27.774060058998295
34,340,-636266.0997159891,21.208380469220028,28.404921088948324
35,350,-636553.8132229723,21.35394433172768,29.0218653846212
36,360,-636847.6266236042,21.489799080288478,29.625391163887983
37,370,-637147.4082324089,21.616717964265263,30.215978405886567
38,380,-637453.031085753,21.735358085646308,30.79408776997298
39,390,-637764.3726666718,21.84644138781879,31.360161905626597
40,400,-638081.3148722025,21.950489256298198,31.91462560322543
41,410,-638403.7437074862,22.048056144901842,32.45788545240357
42,420,-638731.5491479082,22.13972413308793,32.99033233031951
43,430,-639064.6250469786,22.225861769163718,33.512340727890845
44,440,-639402.8688751693,22.30681380414171,34.02426750152227
45,450,-639746.1816067214,22.383046718969126,34.526454541123535
46,460,-640094.4675240705,22.454885537415976,35.01922990302119
47,470,-640447.6342079921,22.522574311215397,35.502906600193825
48,480,-640805.5921603956,22.5865526097827,35.97778504425369
49,490,-641168.2549576128,22.647042557780445,36.44415390493669
50,500,-641535.5389238955,22.70410403769354,36.902287216311386
51,510,-641907.3630889134,22.75807736481376,37.35244666222571
52,520,-642283.6489706255,22.809296245069746,37.79488522396569
53,530,-642664.3206926569,22.857829653890803,38.22984528256348
54,540,-643049.3046298517,22.90371149865088,38.65755658772396
55,550,-643438.5294885921,22.94732804877272,39.078240063659905
56,560,-643831.9260012992,22.98890521696299,39.49211021912488
57,570,-644229.4272503809,23.028246989430045,39.899370467993144
58,580,-644630.9680193302,23.065555401996285,40.300213629411886
59,590,-645036.4851854956,23.10117397355793,40.69482728504954
60,600,-645445.9173169488,23.13523927435753,41.08339360646205
61,610,-645859.2049334737,23.167569437122438,41.46608537722204
62,620,-646276.2901074169,23.198246132821033,41.84306611746579
63,630,-646697.1165302631,23.227669731876723,42.21449533274281
64,640,-647121.6295082934,23.255733765102832,42.5805273379563
65,650,-647549.7758538664,23.282416395974135,42.941308268734424
66,660,-647981.503742773,23.308053979289202,43.29697994598245
67,670,-648416.7628183287,23.332459840102626,43.64767894711985
68,680,-648855.5040705734,23.3557582888987,43.99353529857762
69,690,-649297.6796095612,23.378344258890138,44.334677107138845
70,700,-649743.2430797202,23.399720659333884,44.67122626072232
71,710,-650192.1490641322,23.42025121592762,45.00329846916574
72,720,-650644.3533578152,23.439871750515834,45.33100670291314
73,730,-651099.8130264306,23.458327917146224,45.654457068954066
74,740,-651558.4857868827,23.476634007680797,45.973756453295934
75,750,-652020.3308670396,23.49419689082435,46.2890103380254
76,760,-652485.3082883868,23.51055811797258,46.60031304175791
77,770,-652953.3789459905,23.526577861510923,46.90775775233196
78,780,-653424.5047678477,23.541963667504135,47.21143776195531
79,790,-653898.6486238304,23.556665058326438,47.5114406022898
80,800,-654375.7740491894,23.57095770980237,47.80785190480092
