,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-772120.8180875484,-0.0,0.0
1,10,-772120.8512242413,0.06167759450618178,0.03083879725309089
2,20,-772121.2634599709,0.3990540386992507,0.16144110418099444
3,30,-772123.3846014075,1.2434107677225257,0.4684397418095614
4,40,-772129.6899131675,2.520149579411372,0.9906935671897371
5,50,-772142.4967888099,3.9157186466472917,1.6972841292808878
6,60,-772163.3178621582,5.205933239101432,2.5226837638707362
7,70,-772192.9347253855,6.3241925064241515,3.408239569969009
8,80,-772231.6520327429,7.287660784111358,4.315446405149123
9,90,-772279.510904855,8.137543876792188,5.223010975088982
10,100,-772336.4245072481,8.912289299449187,6.120711210994341
11,110,-772402.2539459991,9.639678980808819,7.004492902367201
12,120,-772476.8461389511,10.33682547801872,7.873361190351716
13,130,-772560.0503652552,11.012681533634892,8.727626926306401
14,140,-772651.7238555809,11.670777601306327,9.568005086437914
15,150,-772751.731958461,12.311446508028894,10.395200122466484
16,160,-772859.9466510715,12.933389186114084,11.209750084800179
17,170,-772976.2440756882,13.534814927185659,12.012001288842292
18,180,-773100.5029195275,14.113888002728347,12.802136525338572
19,190,-773232.6028162735,14.669022372184552,13.580215874389976
20,200,-773372.423383545,15.19922359194606,14.3462233687198
21,210,-773519.8437092212,15.70392104600323,15.100106840566147
22,220,-773674.7422947465,16.182908594142646,15.841803099753449
23,230,-773836.9968327328,16.63649029181397,16.571259309323793
24,240,-774006.484676119,17.06520997043698,17.28844734947197
25,250,-774183.0829828389,17.469807348679776,17.993368704163004
26,260,-774366.669074109,17.85122156010477,18.686057573446305
27,270,-774557.1208247028,18.210451701367845,19.36658088281838
28,280,-774754.3168898838,18.548633457743563,20.035037067340454
29,290,-774958.1371135317,18.866896913587677,20.6915539908965
30,300,-775168.4627534554,19.16636701970125,21.336284767321196
31,310,-775385.1767084483,19.44820376487336,21.969404923534604
32,320,-775608.1637730532,19.71350579895079,22.591109157528262
33,330,-775837.3107598358,19.963297356126667,23.201606888002424
34,340,-776072.5066748997,20.19852737719198,23.801118257679626
35,350,-776313.6427474124,20.420198972642538,24.38987255317188
36,360,-776560.6125501312,20.629277235805006,24.96810742073867
37,370,-776813.3121052436,20.826514164792066,25.53606454073015
38,380,-777071.6398445135,21.012687968229915,26.093986657759523
39,390,-777335.4966135231,21.188601038523444,26.64211812544672
40,400,-777604.7857578098,21.354917433578535,27.180703324629576
41,410,-777879.4130203037,21.512271673593204,27.70998456905654
42,420,-778159.2865885396,21.66126757505117,28.2302015786001
43,430,-778444.3170092049,21.802470856765346,28.741590914622066
44,440,-778734.4171979123,21.936365355504677,29.244384896647535
45,450,-779029.5023663449,22.063423450133932,29.738810925133293
46,460,-779329.4899576083,22.184139667311683,30.225092027484788
47,470,-779634.2996554406,22.298891522520037,30.703446230629925
48,480,-779943.8532735367,22.408054240839505,31.17408571254491
49,490,-780258.0747245555,22.512003083102083,31.63721726139483
50,500,-780576.8899679991,22.611043623619498,32.09304201480553
51,510,-780900.2269390443,22.7054882793485,32.54175527730985
52,520,-781228.0154973604,22.795631650637333,32.98354686944949
