,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-508677.9577359182,-0.0,0.0
1,10,-508678.15290587017,0.09066894870484248,0.04533447435242124
2,20,-508679.2670257175,0.40791962832736317,0.19264885578668328
3,30,-508682.17000372236,1.1283551238520886,0.4826879501772055
4,40,-508688.7347080833,2.3411451090825723,0.9633902761212085
5,50,-508701.23183655925,3.8765185199881667,1.6436852667553468
6,60,-508721.61384154,5.513205951816053,2.490770948072168
7,70,-508751.30581755604,7.108578229536942,3.457960365214239
8,80,-508791.2476813421,8.593644624191803,4.5028187420502945
9,90,-508842.00024557876,9.944390585533986,5.592387674703059
10,100,-508903.8497442652,11.160630267040688,6.702885331695871
11,110,-508976.89196509274,12.252842716754826,7.817864241264034
12,120,-509061.09432825644,13.234858101827552,8.926264058389643
13,130,-509156.339476304,14.120322379605195,10.020805801591631
14,140,-509262.45510592044,14.921368003738472,11.096801124017656
15,150,-509379.2341332987,15.648315700389505,12.151317647497489
16,160,-509506.4483635951,16.309799288911734,13.182609398622297
17,170,-509643.85763216106,16.913094625857777,14.18973458598484
18,180,-509791.2161194921,17.464397794267292,15.172300706520762
19,190,-509948.27664779016,17.969030956541246,16.130292103171087
20,200,-510114.7936482652,18.431619615119423,17.063951829247525
21,210,-510290.52520227514,18.85626337199648,17.973700971339714
22,220,-510475.23441626853,19.246603229359607,18.86008242372118
23,230,-510668.69044889725,19.605849298201782,19.723719339566745
24,240,-510870.66900832526,19.936908082477714,20.565285706463328
25,250,-511080.9528247336,20.24240211085271,21.385486000398668
26,260,-511299.33178051945,20.52466560061149,22.18503915031979
27,270,-511525.60304394737,20.78579963081427,22.964666473409306
28,280,-511759.57096132997,21.027731766091883,23.725083898903538
29,290,-512001.04704039195,21.252176381924073,24.466995943183427
30,300,-512249.8497589492,21.46067080057403,25.191090624030767
31,310,-512505.8043835702,21.654621036609786,25.898036551942642
32,320,-512768.7427843025,21.835266803065338,26.58848067697618
33,330,-513038.5031732473,22.003774793304864,27.26304724794536
34,340,-513314.92989315966,22.16118958152073,27.922337621903715
35,350,-513597.87320509815,22.30841298811721,28.566929082806745
36,360,-513887.1889897598,22.446295707940564,29.197374803977436
37,370,-514182.73856607825,22.575598547809932,29.81420456708365
38,380,-514484.38841492427,22.697022175756892,30.417925251763513
39,390,-514792.00997954246,22.811199208204926,31.009021552291955
40,400,-515105.47944237903,22.91869991959537,31.587956573186965
41,410,-515424.6774947587,23.02004786388723,32.155172613204925
42,420,-515749.4891697534,23.115691032653558,32.71109170223572
43,430,-516079.80359325674,23.20607979732149,33.256116637421655
44,440,-516415.5138409684,23.291610976099037,33.79063217205548
45,450,-516756.51674272906,23.372622883129193,34.3150053793237
46,460,-517102.7127039798,23.44945652475296,34.82958658614443
47,470,-517454.0055569864,23.52242940101579,35.33471059380172
48,480,-517810.3023987519,23.591801068978384,35.83069713225268
49,490,-518171.5134600956,23.657793441122305,36.3178511155762
50,500,-518537.55192774814,23.720676981101718,36.79646394090887
51,510,-518908.3338476466,23.780661130115877,37.266814447289654
52,520,-519283.77799832926,23.837921641289796,37.72916896887182
53,530,-519663.80573412316,23.892665174324065,38.18378225552878
54,540,-520048.34093171137,23.94503140792949,38.630898010950474
55,550,-520437.3098207313,23.99517399423356,39.07074921012972
56,560,-520830.64092539565,24.043257023382466,39.503559093240625
57,570,-521228.2649429716,24.089417198039882,39.929541708125186
58,580,-521630.11467409664,24.133735793671804,40.348901831798145
59,590,-522036.12491938594,24.176324473411576,40.7618353840022
