,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-586893.426026682,-0.0,0.0
1,10,-586893.4572134977,0.08534758720488753,0.04267379360244376
2,20,-586894.2434501406,0.3768839528318495,0.17956857541284987
3,30,-586896.9334906173,0.8954062345350394,0.42302393604331884
4,40,-586902.5985526558,1.6345608542091212,0.7765784152419655
5,50,-586912.3485175307,2.587286769397906,1.2396271989578962
6,60,-586927.2992637131,3.698165604786482,1.806536342963227
7,70,-586948.4618385993,4.883098738174886,2.4635095770412594
8,80,-586976.6544121356,6.0663403543177985,3.1914486161986133
9,90,-587012.4785810289,7.199767962779148,3.9705819973867618
10,100,-587056.3412623297,8.261513326579006,4.783644772758998
11,110,-587108.4942921819,9.246831045253202,5.617030941144912
12,120,-587169.0741658302,10.15959264499834,6.46065780341014
13,130,-587238.1348434995,11.006773801453525,7.307311617520463
14,140,-587315.6723781473,11.795558999711645,8.151919035697937
15,150,-587401.6423911293,12.532183751507548,8.990928458356937
16,160,-587495.9721876064,13.221701965667307,9.821846103167626
17,170,-587598.5690954297,13.86810830494215,10.64290982797538
18,180,-587709.3262519797,14.474588796176247,11.452867277360927
19,190,-587828.1266428006,15.043782761920006,12.25082820841635
20,200,-587954.8460692334,15.577961169241467,13.036166257697912
21,210,-588089.3553117756,16.079164710277116,13.808452541935548
22,220,-588231.5218088255,16.549300326628153,14.567410258910968
23,230,-588381.210961151,16.99017065656371,15.312882256892044
24,240,-588538.2871853752,17.403506155405168,16.044806837808572
25,250,-588702.6147334075,17.79098675608113,16.76319961783447
26,260,-588874.0584055173,18.154224135359982,17.468139047866863
27,270,-589052.4840844737,18.494763394998134,18.159754361203525
28,280,-589237.7592012521,18.814090645499547,18.838215884013337
29,290,-589429.753085014,19.113618734531325,19.503726938992624
30,300,-589628.3372693377,19.394687932828685,20.15651688846847
31,310,-589833.3856976018,19.658571468023023,20.79683542070416
32,320,-590044.7749213338,19.906440042704332,21.42494727972662
33,330,-590262.3842088581,20.139407110138563,22.041127937365673
34,340,-590486.0956233832,20.358532107504992,22.645660647389015
35,350,-590715.7941226722,20.564774610073034,23.238833319870174
36,360,-590951.3675396767,20.759040544380007,23.820935821860623
37,370,-591192.7066360406,20.942164847251895,24.392258057087023
38,380,-591439.7050565751,21.114914516301333,24.953088107335503
39,390,-591692.2593276222,21.27801621973336,25.503711009658588
40,400,-591950.2687992802,21.432155545684495,26.04440803371981
41,410,-592213.6356255831,21.57794307918228,26.57545562534797
42,420,-592482.2646975309,21.715925975813327,27.097124200938563
43,430,-592756.0635753286,21.84665036004156,27.609677947362073
44,440,-593034.9424300443,21.970608394709416,28.113374769987423
45,450,-593318.8139905252,22.088242812998928,28.60846569461719
46,460,-593607.5934429165,22.199990862008384,29.095194863261714
47,470,-593901.1983993334,22.306206090276813,29.573799176551983
48,480,-594199.5487956688,22.407253209455007,30.044508128940652
49,490,-594502.5668133248,22.50349872594528,30.50754455455899
50,500,-594810.1768594289,22.595218345959367,30.963124276038435
51,510,-595122.3054303578,22.68271107947801,31.41145597988507
52,520,-595438.8810978658,22.76623805331772,31.852741635400164
53,530,-595759.8344090218,22.845995752626855,32.28717603234546
54,540,-596085.0978271129,22.922265358484545,32.71494749192644
55,550,-596414.6056486311,22.995299533140496,33.13623886726419
56,560,-596748.2940121811,23.065231971629004,33.551226616013444
57,570,-597086.1007424464,23.132225712374364,33.960080447823564
58,580,-597427.9653629434,23.19647654609293,34.36296433385578
59,590,-597773.8289771124,23.25817962759744,34.76003717643616
60,600,-598123.6342837374,23.31743703817466,35.151452368937306
61,610,-598477.3254691531,23.374373512380494,35.53735756976674
62,620,-598834.8481625569,23.429213132389123,35.91789606247474
63,630,-599196.1494192347,23.48197734378905,36.293206229225305
64,640,-599561.1776627521,23.532737933658154,36.663420643885914
65,650,-599929.8825612806,23.581707708683144,37.028667910597875
66,660,-600302.2151241559,23.62899528595726,37.38907320224826
67,670,-600678.127523455,23.674667411716655,37.74475736476889
68,680,-601057.5731887632,23.71874366769349,38.09583651421272
69,690,-601440.5066154273,23.761322168071736,38.44242253515259
70,700,-601826.8834555281,23.80251346505247,38.78462398244592
71,710,-602216.6603869174,23.84241722556466,39.12254628242663
72,720,-602609.7951585586,23.881030039186644,39.45629111546877
73,730,-603006.2465061402,23.91845066207175,39.78595660638675
74,740,-603405.9741004999,23.954807803849693,40.111638420406955
75,750,-603808.9386257258,23.990011556961743,40.43342864027217
76,760,-604215.1015872,24.024145744484745,40.75141564107616
77,770,-604624.4254181418,24.057379045081106,41.065685978546384
78,780,-605036.873361134,24.08971392256801,41.37632396868575
79,790,-605452.4095503214,24.12111745140014,41.68341051210446
80,800,-605870.9988345155,24.151681520743296,41.987023821934415
81,810,-606292.6069065271,24.181399200789574,42.28723972774023
82,820,-606717.2001486573,24.210402024641866,42.58413202663068
