,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-538723.0672891954,-0.0,0.0
1,10,-538723.1971258187,0.05598003302584402,0.02799001651292201
2,20,-538723.9598718048,0.20746846912079492,0.10784715030604275
3,30,-538725.6960003864,0.5055830191879067,0.24397810411755927
4,40,-538729.0018237967,1.0837780976667999,0.4637142028572271
5,50,-538734.9359818766,2.008479937474476,0.8000344588130247
6,60,-538744.8815567652,3.2219230922637507,1.2693760435824515
7,70,-538760.2438028665,4.597889593426954,1.8662903198492131
8,80,-538782.2407770155,6.017740834550932,2.570819807253429
9,90,-538811.8252786761,7.400999017871798,3.358095221516851
10,100,-538849.6887014385,8.704048780869925,4.204464272664336
11,110,-538896.300083454,9.908896294370065,5.090071088724653
12,120,-538951.952820985,11.012487618648448,5.999329116518493
13,130,-539016.8072383932,12.019297563028518,6.920463442796608
14,140,-539090.9252325937,12.936927884310714,7.844777257023088
15,150,-539174.2968473725,13.77380087329948,8.76593709152512
16,160,-539266.8602953004,14.538042104663333,9.6793776030725
17,170,-539368.516592014,15.237071791492047,10.58184058918123
18,180,-539479.1404632687,15.877501879690671,11.471031478399528
19,190,-539598.5882702825,16.465179927169824,12.345367405889556
20,200,-539726.7039687475,17.005249338806614,13.203792847969453
21,210,-539863.3234852398,17.502249425975606,14.045644305867608
22,220,-540008.2779729039,17.960248142230544,14.870551988073565
23,230,-540161.3963181513,18.382842358137697,15.678366453637134
24,240,-540322.5069736826,18.773236695723625,16.469102559250313
25,250,-540491.4393116856,19.13434597998278,17.242898576677543
26,260,-540668.0247022874,19.46878321915863,17.99998517356871
27,270,-540852.097258788,19.77890373961998,18.74066084603837
28,280,-541043.4944050756,20.0668079572148,19.465272697595353
29,290,-541242.0572855045,20.334412659562076,20.174201875690777
30,300,-541447.630976374,20.583485551091112,20.86785328992555
31,310,-541660.0647779584,20.815558492054688,21.546646196831713
32,320,-541879.212195074,21.032068487256765,22.211007081333083
