,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-605335.5438158014,-0.0,0.0
1,10,-605335.684187245,0.04926380485994741,0.024631902429973707
2,20,-605336.421630927,0.16606456200242975,0.09077994536055485
3,30,-605337.9354823265,0.38292608381307214,0.19611709983000764
4,40,-605340.6207372927,0.8313436615746468,0.36385607149568383
5,50,-605345.2924585256,1.5976292390696472,0.6275369530994794
6,60,-605353.1332802741,2.6564461155678143,1.0086703866370954
7,70,-605365.4304686373,3.9013769574172326,1.5087106789404061
8,80,-605383.355464026,5.218580548767932,2.113541745911061
9,90,-605407.8620613627,6.524713181803235,2.802187095864792
10,100,-605439.6705505217,7.7709256017114985,3.5532174416061024
11,110,-605479.2923793406,8.934317387064223,4.3478690574673236
12,120,-605527.0693394243,10.007956360699609,5.170972574938787
13,130,-605583.2111241806,10.993669220790615,6.010804188203474
14,140,-605647.8279828625,11.89740182199748,6.858544827700825
15,150,-605720.956543546,12.726491248366068,7.7076684105748425
16,160,-605802.579202935,13.48843628889881,8.553398419548465
17,170,-605892.6392729072,14.190091460163243,9.392267684757824
18,180,-605991.0515137297,14.837825780909043,10.221785143186569
19,190,-606097.7104527628,15.437088555737873,11.040186142953461
20,200,-606212.4967707043,15.99222133780131,11.846230848917912
21,210,-606335.28076642,16.5073968666169,12.639069641091918
22,220,-606465.9264703544,16.986292501783456,13.418155002134153
23,230,-606604.2937407754,17.43195929637879,14.183162741325212
24,240,-606750.2403381896,17.84727671016008,14.933936642998015
25,250,-606903.6231660811,18.234753279321005,15.670449973379437
26,260,-607064.2996672085,18.59638197732856,16.3927677692991
27,270,-607232.1281966338,18.934433085352058,17.10102814936108
28,280,-607406.9688146539,19.250769890716775,17.795429547138337
29,290,-607588.6842391647,19.54686542825948,18.476208216363737
30,300,-607777.1390619433,19.82457363232969,19.143632698079454
31,310,-607972.2014753898,20.08502842927994,19.79799433005828
32,320,-608173.7420740757,20.329485153872554,20.43959460702754
33,330,-608381.63487733,20.559516830934434,21.068750643328535
34,340,-608595.7569426505,20.775937186076735,21.68578696213081
35,350,-608815.988905732,20.9796494587936,22.291024728144116
36,360,-609042.2140902678,21.17177809666608,22.884786479691687
37,370,-609274.3196763727,21.35295914522134,23.467392455218945
38,380,-609512.1954357702,21.52412472561121,24.039158124623647
39,390,-609755.7347271703,21.68613498396301,24.60039766365517
40,400,-610004.833754668,21.83949282066898,25.151418695502798
41,410,-610259.3919676951,21.984657115509588,25.692517930340546
42,420,-610519.3115663865,22.122244358580748,26.2239835568078
43,430,-610784.4976541862,22.25298938422352,26.74609929920989
44,440,-611054.858182256,22.377282114804288,27.259142286483257
45,450,-611330.3037959185,22.49548175788363,27.763379380552216
46,460,-611610.7477818662,22.60789311152181,28.259067146465533
47,470,-611896.1059214355,22.714997167355662,28.74645402110473
48,480,-612186.2964189647,22.81735257147818,29.225783683093326
49,490,-612481.2399594354,22.915084509432184,29.697291831999614
50,500,-612780.8595165395,23.008340365777258,30.161202628610777
51,510,-613085.0801888716,23.097697530436562,30.61773404727283
52,520,-613393.8292864069,23.183245533832796,31.06709788471781
53,530,-613707.0362595081,23.26506323637437,31.50949543580355
54,540,-614024.6323220695,23.34371152324014,31.94512264151563
55,550,-614346.5508684362,23.419321899884498,32.37417104494526
56,560,-614672.7269958975,23.491879683057817,32.796822897049424
57,570,-615003.0977114734,23.561542923602893,33.21325202387525
58,580,-615337.6015837848,23.62873147877407,33.6236281859834
59,590,-615676.1789705972,23.693729486357146,34.028118464688305
60,600,-616018.771848554,23.7563213420799,34.42688212688663
61,610,-616365.3237751356,23.81644637159766,34.82006824494165
62,620,-616715.7796608846,23.874645873508328,35.20782248520118
63,630,-617070.0859215569,23.93118186788647,35.59028996674751
64,640,-617428.190470553,23.985773395933165,35.96760883622774
65,650,-617790.0424691642,24.038651696275384,36.33991039623943
66,660,-618155.5923885938,24.089938686916096,36.70732263710234
67,670,-618524.7920332,24.139572358716304,37.069968234987755
68,680,-618897.5942694752,24.18786440881682,37.42796624154871
69,690,-619273.9532822261,24.23486406689335,37.78143314273766
70,700,-619653.8243058912,24.28056040185023,38.13048067404306
71,710,-620037.1637278127,24.325049132399727,38.475216411246215
72,720,-620423.9289482511,24.368416675273384,38.815744689950954
73,730,-620814.0784264316,24.410648159013366,39.152166026018676
74,740,-621207.571599875,24.45180449447367,39.48457714151882
75,750,-621604.3688226719,24.49212153158431,39.813072846962314
76,760,-622004.4314431176,24.531508989736853,40.1377451636843
77,770,-622407.7216837291,24.56996898021316,40.458681923313996
78,780,-622814.202606881,24.607653531309968,40.77596854522271
79,790,-623223.8381650357,24.644551489892407,41.08968808799982
80,800,-623636.5930801478,24.680755430599675,41.399920983427734
81,810,-624052.4329002613,24.71626978592237,41.70674527144875
82,820,-624471.3239311298,24.751087078789773,42.01023610070407
83,830,-624893.2332008132,24.785321034447406,42.31046652623773
84,840,-625318.1284831258,24.81896647765528,42.60750763241523
85,850,-625745.9782343938,24.852086068422068,42.90142831731356
86,860,-626176.7515905874,24.884775341965785,43.19229598529929
87,870,-626610.4183673006,24.9168706971656,43.48017531801162
88,880,-627046.9490121616,24.948386154603213,43.7651279183774
89,890,-627486.314532712,24.979502607428003,44.04721439674904
90,900,-627928.4866092606,25.01044235678254,44.32649558304256
91,910,-628373.4374408682,25.041063245534573,44.60303074461553
92,920,-628821.1399585181,25.07110936570706,44.87687503336783
93,930,-629271.5674097918,25.100793704646573,45.14808156631771
94,940,-629724.6937901085,25.130064612178764,45.416702626553885
95,950,-630180.4934190183,25.15912763409135,45.68278964423371
96,960,-630638.9412662148,25.18826860981062,45.9463950044752
97,970,-631100.0127451435,25.21704090839769,46.207568650435135
98,980,-631563.6838542419,25.245423418807192,46.46635657809384
99,990,-632029.9308510247,25.273218994678093,46.72280227897718
100,1000,-632498.7306967255,25.301115884795067,46.97695037857629
101,1010,-632970.0603585199,25.329477842923083,47.228849412668204
102,1020,-633443.8979855631,25.35705556296729,47.47854215931147
103,1030,-633920.2213423885,25.384224165496054,47.726065840439695
104,1040,-634399.0092177588,25.41142477185946,47.971460540995764
105,1050,-634880.2402773894,25.438742542508184,48.214767721648975
106,1060,-635363.8940748667,25.46584653151796,48.456026508500514
