,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-436064.0299677757,-0.0,0.0
1,10,-436064.36563673645,0.24406227201689035,0.12203113600844517
2,20,-436066.8720683766,1.1188306264055428,0.5237699286182761
3,30,-436074.79946553864,2.7328372019008387,1.258950452203135
4,40,-436092.09078150557,4.7997149033588355,2.3143876821064624
5,50,-436121.6711236995,6.921142905688611,3.6064663355951776
6,60,-436165.30664366815,8.899163942935411,5.040177621408656
7,70,-436223.9119251059,10.673621541823378,6.544176155354943
8,80,-436297.8502654503,12.243617317790633,8.071803776418529
9,90,-436387.1448496084,13.627285554124683,9.594101278454037
10,100,-436491.6119738214,14.846037149647593,11.09347455561001
11,110,-436610.9434876848,15.919944213669806,12.559410240986471
12,120,-436744.7578307911,16.866902928234783,13.985831690890336
13,130,-436892.63283199276,17.70277428017288,15.369495246752921
14,140,-437054.1266975216,18.44159633972158,16.708999621310067
15,150,-437228.7922510089,19.09578813052942,18.004154333032055
16,160,-437416.1858395084,19.67626929483376,19.25556401951326
17,170,-437615.8737717065,20.192568455725244,20.464346507204027
18,180,-437827.43565473234,20.653046298635328,21.63194130994889
19,190,-438050.4672181822,21.064872180526436,22.75997578205934
20,200,-438284.58112839767,21.434343008062555,23.850173098853702
21,210,-438529.4077639854,21.766837990678344,24.90428972145237
22,220,-438784.5952880791,22.06696885043056,25.92406978817744
23,230,-439049.80895358033,22.33872695315514,26.91121630648704
24,240,-439324.7312093068,22.585414644260908,27.86737027722411
25,250,-439609.0601030938,22.810180518390546,28.794103359347357
26,260,-439902.5094882749,23.01560538750201,29.692914765628668
27,270,-440204.8075414367,23.20382817022034,30.565223083212913
28,280,-440515.6963909161,23.37663610521122,31.41236353533386
29,290,-440834.93102151324,23.5359395918538,32.235595527712576
30,300,-441162.27848799335,23.68314353903404,33.036106648624994
31,310,-441497.5178665441,23.819099452112344,33.81500473103006
32,320,-441840.4381097893,23.94556600968349,34.573333223352535
33,330,-442190.8390334486,24.063087631581514,35.312074929095985
34,340,-442548.5296890973,24.172449330918635,36.032144361981054
35,350,-442913.3275793005,24.27501959135414,36.73440755218618
36,360,-443285.0594440888,24.37071927135109,37.41967575845048
37,370,-443663.5590046854,24.460381599077664,38.088703667837414
38,380,-444048.6677760484,24.544653793028637,38.74220533608315
39,390,-444440.23408585304,24.623775344106225,39.3808507345326
40,400,-444838.1125856849,24.69848618184912,40.00527123929424
41,410,-445242.1643212198,24.768989200465207,40.61606316047546
42,420,-445652.2558815033,24.835500048520103,41.21378471924691
43,430,-446068.2594240992,24.898358117257885,41.798961226171386
44,440,-446490.0520345107,24.957910899445352,42.37208964208986
45,450,-446917.51579034346,25.014378751737176,42.93363980763316
46,460,-447350.5371974267,25.067875800805567,43.48405426019745
47,470,-447789.0071599226,25.118641219378333,44.02375075851597
48,480,-448232.820513213,25.16695416576698,44.55312611851623
49,490,-448681.876096497,25.213118332746706,45.07255860875739
50,500,-449136.0762908041,25.257011826106535,45.582405444699546
51,510,-449595.32717048586,25.298468535419634,46.08299976428825
52,520,-450059.53767785605,25.337997579836482,46.574658557729705
53,530,-450528.62018058094,25.37591483174765,47.057688572784535
54,540,-451002.4898322771,25.412122728035243,47.53238142839254
55,550,-451481.0648245113,25.44657719604576,47.999011381023585
56,560,-451964.26578131155,25.479475920042063,48.45783922170231
57,570,-452452.0160700388,25.510888571407122,48.909114266727556
58,580,-452944.24135600316,25.54074481494313,49.353072825649726
59,590,-453440.8696935111,25.569307271152628,49.78994070493209
60,600,-453941.8312374637,25.596762189612576,50.21993610118298
61,610,-454447.0584405571,25.622911131575442,50.64326631449731
62,620,-454956.4856270506,25.647796179616037,51.06012724219618
63,630,-455470.0490965418,25.67159785383128,51.4707071482706
64,640,-455987.68698191474,25.694370623584973,51.875187258877126
65,650,-456509.33917973534,25.71617769065783,52.27374128084048
66,660,-457034.9473184186,25.736900581209877,52.6665345518617
67,670,-457564.4546030462,25.75660536275522,53.053724544272704
68,680,-458097.8057764868,25.775484011927716,53.43546363486385
69,690,-458634.9471041855,25.79354712760391,53.81189901439284
70,700,-459175.8262839738,25.810760142354212,54.18317134863246
71,710,-459720.3923862684,25.827076251000104,54.549414739746865
72,720,-460268.59579725645,25.842642008559775,54.91075835014199
73,730,-460820.3881338448,25.85757541108615,55.26732782276595
74,740,-461375.7223338772,25.871654776786507,55.61924298188533
75,750,-461934.55241589306,25.884944004829077,55.966617753472384
76,760,-462496.8335487556,25.897704022831803,56.309563678567066
77,770,-463062.52200141054,25.909883233859563,56.64818930532128
78,780,-463631.5751341724,25.921257101438712,56.98259720484275
79,790,-464203.95126653,25.932309647306045,57.312887651410705
80,800,-464779.6096719489,25.942664289847244,57.63915784529381
81,810,-465358.51081501524,25.951933151419734,57.961496615323995
82,820,-465940.6155418703,25.960918873391172,58.279992019355994
83,830,-466525.88613295794,25.969982140198287,58.59473598071272
84,840,-467114.2852746568,25.97855342606799,58.90581590283982
85,850,-467705.7771049441,25.98553606290073,59.213306243911205
86,860,-468300.32574716996,25.99238591851305,59.51728086118091
87,870,-468897.8965644893,25.999531845781956,59.8178219807778
88,880,-469498.4557015057,26.00569058649714,60.11500418319774
89,890,-470101.96983177966,26.011624825799537,60.408896512543286
90,900,-470708.40642428986,26.016879645176232,60.69956745653471
91,910,-471317.73371696926,26.021464688482293,60.98708075749163
92,920,-471929.9202046941,26.025770580687094,61.2715002435274
93,930,-472544.93560861534,26.030087173367924,61.55289135409038
94,940,-473162.7495375247,26.034592292847677,61.831319933221664
95,950,-473783.3332366801,26.03764688669603,62.106842053891874
96,960,-474406.6574202672,26.040993144968525,62.379512473294014
97,970,-475032.6940844866,26.044124763799413,62.64939071171684
98,980,-475661.41571682005,26.045968406213866,62.916526371418875
99,990,-476292.7947775565,26.048454584056444,63.18097181676276
100,1000,-476926.80502088566,26.05018108646604,63.44278057362972
101,1010,-477563.4200987412,26.05120624119445,63.70199784659272
102,1020,-478202.61439738586,26.05269264849514,63.958673491812085
103,1030,-478844.36272932834,26.053650369024687,64.21285680041838
104,1040,-479488.64051610115,26.054082186403832,64.46459084184752
105,1050,-480135.4232823889,26.054999363252733,64.71392227789838
106,1060,-480784.68743565737,26.055137576770633,64.96089529578093
107,1070,-481436.4095494926,26.054892722860373,65.20554872327774
108,1080,-482090.56648260105,26.055122472398523,65.44792612543314
109,1090,-482747.13596340857,26.054851274674157,65.68806935883258
110,1100,-483406.0955749049,26.053630006164425,65.92601261616727
111,1110,-484067.42379063636,26.05222571815991,66.16179057520421
112,1120,-484731.09871448367,26.051936206129085,66.39544622993854
113,1130,-485397.09980731213,26.05085961652739,66.62701880691166
114,1140,-486065.4061169932,26.048980277822636,66.8565380107495
115,1150,-486735.997367215,26.046272694315284,67.08403258813705
116,1160,-487408.8535125827,26.04428156379194,67.30953708635207
117,1170,-488083.9545002289,26.04409967065714,67.53309649192087
118,1180,-488761.28169491835,26.04198834145791,67.75474347138952
119,1190,-489440.8155989422,25.990644927800844,67.97429527006898
120,1200,-490122.5376699121,19.787475253106095,68.16594747407653
121,1210,-490806.41304889176,13.31060314546707,68.30339777996778
122,1220,-491490.3894699902,19.027611955703122,68.43638228851631
123,1230,-492176.4106982282,25.129340119501634,68.61651609383188
124,1240,-492864.4798313653,25.191144069988866,68.82024507676614
125,1250,-493554.580490693,25.19122688190656,69.02258717812437
126,1260,-494246.6963682468,25.190722425226525,69.22331526987908
127,1270,-494940.81147575995,25.189928611343383,69.42245140139492
128,1280,-495636.9099598665,25.189012608863777,69.62001892918707
129,1290,-496334.97629661,25.188266113811373,69.81604244811606
130,1300,-497034.99511792645,25.187649093655082,70.01054695997883
131,1310,-497736.95143253414,25.18673581881247,70.20355511287708
132,1320,-498440.8303218614,25.18583620490972,70.39508858705376
133,1330,-499146.61717481515,25.18506548893948,70.58517017909617
134,1340,-499854.29759737354,25.184040425447165,70.77382117651797
135,1350,-500563.8573728823,25.182994477472675,70.96106182652949
136,1360,-501275.2824968933,25.18210212030681,71.1469134342413
137,1370,-501988.5591989428,25.18106164591465,71.33139637687565
