,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-647718.1008779043,-0.0,0.0
1,10,-647718.126809139,0.027485939030884764,0.013742969515442382
2,20,-647718.3692698734,0.1570904993044678,0.06675856385700171
3,30,-647719.2781091697,0.49753066546109037,0.18895296625996705
4,40,-647721.7794718285,1.1036498786183073,0.40983097866410384
5,50,-647727.0631514065,1.9120762635429853,0.7389948398456908
6,60,-647736.2261725698,2.8223531619936693,1.1653985630327952
7,70,-647750.1448037516,3.7703142344718805,1.6699028194707353
8,80,-647769.4885610577,4.7287131401710205,2.2347555503365584
9,90,-647794.7711088652,5.688306122118954,2.8463171283816333
10,100,-647826.3945152465,6.644710086780833,3.4945696395050616
11,110,-647864.6787745215,7.592978664941619,4.171940537705086
12,120,-647909.8793097824,8.52665838205721,4.8723533641517855
13,130,-647962.1972716866,9.438625333982058,5.590654848044505
14,140,-648021.7862989252,10.322110498440452,6.3223257028672375
15,150,-648088.7576929564,11.171424085201577,7.063353309223021
16,160,-648163.1850323492,11.982308428082618,7.810181250440655
17,170,-648245.1085784533,12.75196238886565,8.559686106137814
18,180,-648334.5395368434,13.478939207643274,9.309158801447483
19,190,-648431.4640813358,14.16291885997053,10.05628217048943
20,200,-648535.8472395769,14.804449242481486,10.799101792603324
21,210,-648647.6362555025,15.404752709332383,11.535992850078037
22,220,-648766.7638407953,15.965490071760735,12.265624723576185
23,230,-648893.1508157821,16.488650600149413,12.986925696751861
24,240,-649026.7086057805,16.9763602615334,13.699048794957342
25,250,-649167.341290149,17.430813363243946,14.4013392343375
26,260,-649314.947304535,17.85426782540162,15.093306805937026
27,270,-649469.4210658971,18.248855476951576,15.774599878363368
28,280,-649630.6541076362,18.616666690481356,16.4449821230708
29,290,-649798.5361830925,18.95972026764649,17.104314328439067
30,300,-649972.9561488667,19.279862919822346,17.752537105855296
31,310,-650153.8026385881,19.578832198199212,18.38965577061899
32,320,-650340.9646739903,19.858271864801623,19.015728884606503
33,330,-650534.3321033717,20.11969301770731,19.630858216095653
34,340,-650733.7960389449,20.364528722874844,20.235180413268967
35,350,-650939.2490748435,20.5939568806789,20.828858160850356
36,360,-651150.5856729852,20.809080406045567,21.412072550499577
