,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-603629.9220038452,-0.0,0.0
1,10,-603629.9454945023,0.03391895326785743,0.016959476633928716
2,20,-603630.2591294141,0.17671275114407764,0.07809714105387684
3,30,-603631.3492339472,0.5487502118601696,0.21373369748325782
4,40,-603634.1305100059,1.2780913409893402,0.46495348375028694
5,50,-603640.0696428836,2.361267147483886,0.8608416161223431
6,60,-603650.7828040075,3.660563317732886,1.4020152740151388
7,70,-603667.6801889999,5.027208493312355,2.0661485381104283
8,80,-603691.8388534607,6.365007495088502,2.8230478275043427
9,90,-603724.0176407922,7.628696367170777,3.644677260790195
10,100,-603764.7199403894,8.804264286620308,4.508706939964031
11,110,-603814.2604097719,9.89241061175126,5.398575182101922
12,120,-603872.8180844645,10.898959742370064,6.30235353250755
13,130,-603940.4755809762,11.830680413194928,7.2115030248445695
14,140,-604017.2460943476,12.693855104857358,8.119881162613456
15,150,-604103.0928457596,13.493782428602575,9.023025878264162
16,160,-604197.942261673,14.23502154620364,9.91766304920311
17,170,-604301.6935303526,14.921711804968076,10.801381349138682
18,180,-604414.225982864,15.557518824550792,11.672408526437357
19,190,-604535.4041250749,16.145953165434175,12.529455331472853
20,200,-604665.0819681096,16.69037288898835,13.371608158051092
21,210,-604803.1062001454,17.194032859258,14.19824921502004
22,220,-604949.3186991331,17.660004054044833,15.008994678265296
23,230,-605103.5588139956,18.090996206956333,15.803640933004496
24,240,-605265.6645284367,18.489857219858095,16.582128817989723
25,250,-605435.4740299447,18.85927606926998,17.344519698122166
26,260,-605612.8267864401,19.20146258478636,18.09096411536884
27,270,-605797.5640876048,19.5186453096627,18.8216794058535
28,280,-605989.5297561124,19.812989256344736,19.536939180054468
29,290,-606188.5706568346,20.08645276534369,20.23706071075867
30,300,-606394.5369961509,20.340543095197052,20.9223879134719
31,310,-606607.2826781546,20.576798510417575,21.59328081200074
32,320,-606826.6649603163,20.797001824434858,22.25011781244975
