,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-528414.2340923212,-0.0,0.0
1,10,-528414.3074239761,0.07488862604950554,0.03744431302475277
2,20,-528414.8707155236,0.44907327195396646,0.18715694403799715
3,30,-528417.4496323279,1.3091728432016683,0.5176207358934335
4,40,-528424.488804165,2.5490815520985057,1.0544514037726915
5,50,-528438.047478589,3.936593838006956,1.7667459815857003
6,60,-528459.5977083275,5.340852228482254,2.605476384426584
7,70,-528490.1380755542,6.698598309443333,3.5290187112841527
8,80,-528530.3122940131,7.979476976208389,4.506207330114558
9,90,-528580.5063771447,9.172984302448457,5.514534880152496
10,100,-528640.9242645798,10.27952910089516,6.538121574222169
11,110,-528711.6434978573,11.304143797894355,7.565922747353033
12,120,-528792.65435155,12.252973381674382,8.590288023008906
13,130,-528883.8865960167,13.131815734048732,9.605898416503623
14,140,-528985.2276831259,13.945765847206351,10.609031318400229
15,150,-529096.5352810501,14.699299694329966,11.59707104084955
16,160,-529217.6460599795,15.396478496119371,12.568187650330946
17,170,-529348.3820986018,16.041088381115692,13.521124320426315
18,180,-529488.5556330733,16.636734031263053,14.455052538386372
19,190,-529637.9726535208,17.186905671205036,15.369471030602291
20,200,-529796.4357262367,17.69496598897966,16.264132171674284
21,210,-529963.7461677475,18.16413210640601,17.138985657265586
22,220,-530139.705751378,18.597469166899092,17.994134746925557
23,230,-530324.1180288437,18.997881858577593,18.829801932426925
24,240,-530516.7893568227,19.368092337506823,19.646301287833193
25,250,-530717.5296844764,19.710639565309986,20.44401600283745
26,260,-530926.1531161633,20.027867247763798,21.223380087369875
27,270,-531142.4783634137,20.32192517007644,21.98486332819011
28,280,-531366.328978962,20.594813482253812,22.728959802252934
29,290,-531597.5335981585,20.848363185059853,23.4561788663952
30,300,-531835.9260038782,21.084221787226873,24.167037100522425
31,310,-532081.3451959172,21.3038972433162,24.862052042836144
32,320,-532333.6353245107,21.508769424073364,25.541737810947232
33,330,-532592.6456933446,21.700093638652433,26.206601630753717
34,340,-532858.2306069233,21.879004059243012,26.857140988003806
35,350,-533130.2493345765,22.046520835749142,27.493841345352116
36,360,-533408.5658941115,22.2036127471249,28.117175153382412
37,370,-533693.0489996207,22.351111591918706,28.72760071229859
38,380,-533983.5718621298,22.489795523596708,29.32556112299062
39,390,-534280.012028548,22.62038091651343,29.911484368688253
40,400,-534582.2512991204,22.74346034869083,30.48578250659193
41,410,-534890.175448159,22.859665117828932,31.048852164826528
42,420,-535203.6741964596,22.969502910861017,31.601075031927024
43,430,-535522.64098008,23.073467702619382,32.14281763122853
44,440,-535846.9728108568,23.17204922899846,32.67443250854412
45,450,-536176.5702028872,23.265570875504604,33.19625759284391
46,460,-536511.336924553,23.35440124064325,33.708616123303365
