,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-598410.0871025546,-0.0,0.0
1,10,-598410.1500545706,0.03415123329905327,0.017075616649526636
2,20,-598410.5495283037,0.1559559961897321,0.07314023234648628
3,30,-598411.6420079346,0.4558659913949668,0.18810689662641378
4,40,-598414.1310739765,1.0585526352631858,0.3964036412668065
5,50,-598419.2121745172,1.9876808152912417,0.7274908022038289
6,60,-598428.298146002,3.1396025131631182,1.1878924264965462
7,70,-598442.6837876221,4.380326158832759,1.762406409176765
8,80,-598463.3959014486,5.616958438395522,2.426346751493111
9,90,-598491.1858359204,6.804170302982674,3.155416115169646
10,100,-598526.5784490871,7.926693874585908,3.9297602701757564
11,110,-598569.9286411208,8.983153013937411,4.734420100902207
12,120,-598621.467772224,9.976734925608614,5.558442526466387
13,130,-598681.337457281,10.911157670337703,6.393799725431017
14,140,-598749.6128784462,11.789474314084517,7.234512289903068
15,150,-598826.3190662729,12.614022310328433,8.076032354321796
16,160,-598911.4421969944,13.38679466298781,8.914837097884448
17,170,-599004.9380680925,14.109690757680813,9.748165335740488
18,180,-599106.7385022001,14.784673825884228,10.573841624430498
19,190,-599216.756342283,15.41391693493933,11.390156401507557
20,200,-599334.88963813,15.999707912502359,12.195778492344836
21,210,-599461.0249679155,16.5444597747788,12.989686899080699
22,220,-599595.0401898848,17.050725319527547,13.77111909253872
23,230,-599736.8068502619,17.52102839057335,14.53952749860764
24,240,-599886.1920604025,17.957807130273423,15.29454040202254
25,250,-600043.060086331,18.363494152290503,16.035931266949046
26,260,-600207.2736094706,18.740439602331044,16.763594219270452
27,270,-600378.6949130438,19.0908093619044,17.477520795247983
28,280,-600557.1866040807,19.416683885501698,18.177780799905303
29,290,-600742.6124202927,19.72000249908307,18.86450734094833
30,300,-600934.8377185273,20.002530927507873,19.537882899494434
31,310,-601133.7299309886,20.265929095607135,20.198128239075594
32,320,-601339.1588742106,20.51173990778625,20.84549399925745
33,330,-601550.9970276144,20.74136019593276,21.480252968588317
34,340,-601769.1197047785,20.956070173357148,22.102693504409395
35,350,-601993.4051669019,21.15706251352094,22.71311475715192
36,360,-602223.7347355505,21.345407039893338,23.31182249401026
37,370,-602459.9928062048,21.522101293821496,23.89912568734871
38,380,-602702.0668852556,21.688037800538627,24.475333812450113
39,390,-602949.8475820416,21.844027600417014,25.040754366781037
40,400,-603203.228548435,21.990856021759058,25.59569170295581
41,410,-603462.1064887507,22.12920022074248,26.140445698602708
42,420,-603726.3810676362,22.259676476230364,26.675310142504166
43,430,-603995.9548590897,22.382878335268483,27.200572318185003
44,440,-604270.7332787195,22.49933154839094,27.716512567480095
45,450,-604550.624511601,22.609518515761042,28.223403662018246
46,460,-604835.539427574,22.71388123950457,28.721510547888467
47,470,-605125.3915139042,22.812822285550613,29.211090160143797
48,480,-605420.0967775064,22.906731652887487,29.692391546977163
49,490,-605719.57368411,22.9959486292588,30.16565587206133
50,500,-606023.7430704829,23.080777985014755,30.63111618894473
51,510,-606332.5280572784,23.161523211598926,31.08899772577134
52,520,-606645.8539858473,23.238436413777563,31.53951798672643
53,530,-606963.6483310049,23.31178684595518,31.982887008119732
54,540,-607285.8406215301,23.381810886593264,32.41930777448434
55,550,-607612.3624061246,23.44865821102564,32.84897564353451
56,560,-607943.1471171288,23.512607364868785,33.272079257963924
57,570,-608278.1300508523,23.573806047742377,33.68880102464173
58,580,-608617.2483322739,23.632368438836338,34.09931611111824
59,590,-608960.4407173679,23.68857153297564,34.5037940314578
60,600,-609307.6477325492,23.742462039634162,34.90239848799975
61,610,-609658.8114323805,23.79413696358692,35.29528624786763
62,620,-610013.875440851,23.84382657255628,35.68260908137746
63,630,-610372.784860156,23.891652219273965,36.06451429280424
64,640,-610735.4862630705,23.93766124676904,36.441143558749175
65,650,-611101.9275909279,23.981895977238263,36.81263266014139
66,660,-611472.0581235692,24.024545455636783,37.17911291528289
67,670,-611845.828411532,24.0657118092407,37.54071191177063
68,680,-612223.1903146472,24.105411779181935,37.89755245086562
69,690,-612604.0968212759,24.14374764631497,38.24975281880178
70,700,-612988.5021597128,24.180796018685413,38.59742748345306
71,710,-613376.3616064669,24.21676605435511,38.940688061031686
72,720,-613767.6316025035,24.251415345584977,39.27964127361484
73,730,-614162.2696401393,24.28483026350129,39.614388334041
74,740,-614560.2340538194,24.317463993444107,39.94502997704549
75,750,-614961.4844301204,24.349025262199575,40.271664001271716
76,760,-615365.981080267,24.379576011665577,40.59438278379822
77,770,-615773.6853669081,24.409279636154057,40.913276547062566
78,780,-616184.5594625102,24.438139542803235,41.228433103540745
79,790,-616598.5664489613,24.466236044070683,41.539937439415375
80,800,-617015.670224006,24.493539522867707,41.84787165664893
81,810,-617435.8354986317,24.519967454337223,42.15231410245906
82,820,-617859.0277552634,24.5458206956567,42.453341564639416
83,830,-618285.2131742055,24.57110025229346,42.751029879246204
84,840,-618714.3588575918,24.595440294023078,43.045449985786405
85,850,-619146.4323438768,24.619415311724637,43.33667150617694
86,860,-619581.4020743459,24.642854355543264,43.62476400528976
87,870,-620019.2371207536,24.66538584948588,43.90979150542262
88,880,-620459.9070838235,24.687648417568084,44.191817326156894
89,890,-620903.3823049176,24.709480893780647,44.470905364194195
90,900,-621349.6337516727,24.73069725782242,44.74711543512968
91,910,-621798.6328737529,24.751447544232295,45.020505162201886
92,920,-622250.3518405254,24.7718297381886,45.29113163617731
93,930,-622704.7631997505,24.791764041519755,45.55905019961065
94,940,-623161.8402901338,24.81109238307677,45.82431314925198
