,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-556922.7360109349,-0.0,0.0
1,10,-556922.7680718421,0.034278422393254,0.017139211196627
2,20,-556923.0264777814,0.22902954795281405,0.09153580938145753
3,30,-556924.2033305523,0.7795262144267328,0.27871423210744983
4,40,-556927.8975355868,1.7570929332636296,0.6282718845031923
5,50,-556936.0322721215,3.038045323381084,1.1517130334992545
6,60,-556950.339522725,4.452650287473808,1.8265717564601802
7,70,-556972.1655762778,5.875963429853437,2.617337620643957
8,80,-557002.4658451129,7.240219825832172,3.4895630333194276
9,90,-557041.8758143189,8.518610275929676,4.415332898874476
10,100,-557090.79326663,9.705910789663905,5.373884564798209
11,110,-557149.4465424753,10.80555428201915,6.350341662555002
12,120,-557217.9443313058,11.823290024301963,7.334140305174515
13,130,-557296.3101952935,12.764830431650621,8.317732406122376
14,140,-557384.5063627292,13.635286337952135,9.295661934794042
15,150,-557482.4502494399,14.43927794742922,10.263945711778069
16,160,-557590.0263551183,15.181134452112019,11.219665428320877
17,170,-557707.0950447795,15.865006822926805,12.160693727682519
18,180,-557833.4991836376,16.494958306808257,13.08550486171589
19,190,-557969.0692679377,17.074967641063267,13.99303940172831
20,200,-558113.6274750609,17.608876732352652,14.882602573749319
21,210,-558266.9907913929,18.1003801418381,15.75378592400666
22,220,-558428.9735199489,18.552993067866197,16.606406289315782
23,230,-558599.3892294039,18.970016350032555,17.440456882459692
24,240,-558778.0522795058,19.354532820777976,18.256067976009216
25,250,-558964.7790001977,19.70939996870582,19.05347540914954
26,260,-559159.3885937639,20.037244326766785,19.83299503019225
27,270,-559361.7038109413,20.340463363661566,20.595001899336058
28,280,-559571.5514377556,20.62125014839694,21.339913756604076
29,290,-559788.762641483,20.881606317622907,22.068178061528307
30,300,-560013.1732105307,21.12334542599278,22.780261513759616
31,310,-560244.6236876352,21.348105660709574,23.476641555709648
32,320,-560482.9594438737,21.557369686104323,24.157799741905183
33,330,-560728.0306765754,21.75248877004775,24.824216806433107
34,340,-560979.6923893244,21.934677762683705,25.47636876024335
35,350,-561237.8043185702,22.105034451815303,26.114723757325557
36,360,-561502.2308380253,22.264559104421693,26.739739951341473
37,370,-561772.8408570813,22.41414813079178,27.351863832562234
38,380,-562049.5076857312,22.55461773037093,27.951529012147518
39,390,-562332.1089070853,22.68670837242098,28.53915553361731
40,400,-562620.5262363111,22.811088654445513,29.11514937734173
41,410,-562914.6453759327,22.928370615609992,29.67990226132242
42,420,-563214.3558755454,23.039107104524692,30.23379162170022
43,430,-563519.5509868441,23.143794372316933,30.777180594328094
44,440,-563830.127521546,23.24289814396763,31.310418324923376
45,450,-564145.9857087996,23.336835546870134,31.833840340211463
46,460,-564467.0290749501,23.425965708959815,32.347768575008374
47,470,-564793.1642845744,23.51066708221912,32.852512116660364
48,480,-565124.3010333186,23.591258637467433,33.34836787373206
49,490,-565460.3519387172,23.668009905898327,33.835620456367906
50,500,-565801.232373885,23.741191976878362,34.31454268129892
51,510,-566146.8604172729,23.811052789416863,34.78539629508159
52,520,-566497.1566680329,23.877820221637265,35.24843241430353
53,530,-566852.0442313497,23.941690715449006,35.7038918462611
54,540,-567211.4485161974,24.002858821966335,36.1520055458066
55,550,-567575.2972459665,24.06150667210742,36.592995208349016
56,560,-567943.5202597856,24.117855471978004,37.02707417338097
57,570,-568316.049538163,24.171933411280083,37.4544466722742
58,580,-568692.8190429966,24.223886119643993,37.87530778036161
59,590,-569073.7645906481,24.27396741955886,38.28984597314265
60,600,-569458.823954566,24.322211031045384,38.69824265336937
61,610,-569847.9365701973,24.36873441839998,39.100671470035735
62,620,-570241.0436734895,24.41361337834978,39.497299173634374
63,630,-570638.0880477258,24.457001559928266,39.88828633947559
64,640,-571039.0141107215,24.498936456814363,40.27378746752802
