,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-577323.7258457307,-0.0,0.0
1,10,-577323.7556537995,0.018224593755439854,0.009112296877719927
2,20,-577323.9522753541,0.10449980773846618,0.044349545690056405
3,30,-577324.5442536873,0.3793329728941899,0.1336966597737046
4,40,-577326.2687011322,0.9788540120935068,0.3192755734344246
5,50,-577330.3906265469,1.9174222400324652,0.6333745489493594
6,60,-577338.3736670312,3.0948786125052723,1.083023323994712
7,70,-577351.5763773269,4.385825151466998,1.6542031001416035
8,80,-577371.1111570136,5.695906794769689,2.3234704999194946
9,90,-577397.8239861152,6.970494720339775,3.0667143812781434
10,100,-577432.3281809698,8.183540634607198,3.8631411196940464
11,110,-577475.0515714383,9.325072516186626,4.696185083978344
12,120,-577526.2793674645,10.392916965822224,5.553090223441541
13,130,-577586.1885113658,11.388303250740865,6.424140093840833
14,140,-577654.8736105119,12.313854754075871,7.301932284262148
15,150,-577732.3663843725,13.172784345602855,8.180805622713525
16,160,-577818.6502957138,13.968572090798986,9.056416312071088
17,170,-577913.6716823007,14.704859219572969,9.92543004930776
18,180,-578017.3484111427,15.385382041084824,10.785297632070431
19,190,-578129.576648981,16.013883261487358,11.634087335999356
20,200,-578250.2362644407,16.59406740043778,12.470357001575756
21,210,-578379.1950541064,17.129564113210648,13.293055451186955
22,220,-578516.3122525396,17.62384104235679,14.101444057658954
23,230,-578661.4412003999,18.080211075348775,14.895033966386107
24,240,-578814.4315879882,18.50179757054429,15.67353614929452
25,250,-578975.1311920418,18.891507128282672,16.43682040791318
26,260,-579143.387252721,19.252052797120996,17.184882335038854
27,270,-579319.047595089,19.58591218974618,17.917816197186767
28,280,-579501.9614602186,19.89537228452972,18.635792779855546
29,290,-579691.9801643431,20.182547419090398,19.33904224043799
30,300,-579888.9576281228,20.44933969518752,20.027839524192675
31,310,-580092.7507300375,20.69748402312689,20.70249223991559
32,320,-580303.2195822871,20.928573226556182,21.363331584050318
33,330,-580520.2277267294,21.144048822650806,22.010704916816028
34,340,-580743.6422529847,21.345217508124232,22.644969550389213
35,350,-580973.3338735093,21.533265868580187,23.26648789169849
36,360,-581209.17694428,21.709275967790745,23.87562369731022
37,370,-581451.0494669962,21.874226110024043,24.47273906922055
38,380,-581698.8330533174,22.029003730812097,25.05819203160354
39,390,-581952.412872494,22.174419900920487,25.632334778478253
40,400,-582211.6775873345,22.311209284933256,26.1955123291671
41,410,-582476.5192727619,22.44004135508438,26.74806148614443
42,420,-582746.8333306366,22.561526974348862,27.290310133897577
43,430,-583022.518396303,22.676217648759515,27.822576690139243
44,440,-583303.4762424857,22.784622286562808,28.345169801890727
45,450,-583589.6116757966,22.887211011970034,28.858388308815478
46,460,-583880.8324473226,22.984402319177736,29.362521113383984
47,470,-584177.0491428563,23.07657901154603,29.85784709477447
48,480,-584478.1750889587,23.1640950987115,30.344635273452152
49,490,-584784.1262516279,23.247284069980324,30.823145115117953
50,500,-585094.8211431771,23.32644757610982,31.293626775266606
51,510,-585410.1807351506,23.401849054003925,31.75632114371402
52,520,-585730.1283554564,23.473747890314627,32.21146015073028
53,530,-586054.5896100882,23.54237617931783,32.65926715354436
54,540,-586383.4922968821,23.607941670081345,33.099957094529245
55,550,-586716.7663161044,23.670643006829817,33.53373681072845
56,560,-587054.3436025078,23.730675359535923,33.96080550442275
57,570,-587396.1580352166,23.788214338754187,34.38135508124979
58,580,-587742.1453905333,23.843391919147606,34.79557011014258
59,590,-588092.2432380753,23.89634376967729,35.203627980082814
60,600,-588446.3908971236,23.947233957122123,35.60569965093745
61,610,-588804.5293519642,23.996185416003616,36.00194997830694
62,620,-589166.601226352,24.043295802135297,36.39253756949182
63,630,-589532.5506694047,24.088686109197532,36.77761516476893
64,640,-589902.3233593238,24.132462143152907,37.157330073748014
65,650,-590275.866390724,24.174714241860737,37.531824274563405
66,660,-590653.128281135,24.215500655147476,37.90123437742441
67,670,-591034.058859269,24.25491336550903,38.265691956123916
68,680,-591418.6092639493,24.293061381811228,38.62532422362128
69,690,-591806.7318731069,24.33001865968118,38.98025415799929
70,700,-592198.3802828706,24.36579909807182,39.33060006316954
71,710,-592593.5092455881,24.400487912897265,39.676475907220436
72,720,-592992.0746155622,24.434199776267633,40.017992272033
73,730,-593394.033371823,24.466876189803692,40.35525555868952
74,740,-593799.3435036851,24.49859714779907,40.68836796426475
75,750,-594207.9640055592,24.52951572689921,41.0174291309202
76,760,-594619.8548767527,24.55963711490611,41.34253579573268
77,770,-595034.9770476831,24.588926260126758,41.66378070803765
78,780,-595453.2923746177,24.61741206916038,41.9812529838964
79,790,-595874.763557994,24.645251030102372,42.295039508873
80,800,-596299.3541863642,24.672455001622495,42.60522495408949
81,810,-596727.0286764215,24.698969980655296,42.911890575508
82,820,-597157.7522256116,24.724896230665152,43.21511491554847
83,830,-597591.4908170616,24.75023781133635,43.51497429607115
84,840,-598028.2111898495,24.775036399369128,43.811542568969884
85,850,-598467.880783153,24.7992844176623,44.104891167361345
86,860,-598910.4677904681,24.822996500739706,44.395089058091976
87,870,-599355.941000735,24.846368047301137,44.68220402385195
88,880,-599804.2699708545,24.86926215284032,44.96630186838301
89,890,-600255.4248358101,24.891607635459703,45.247444986585464
90,900,-600709.3763613104,24.913606571790297,45.525694404318344
91,910,-601166.0959102719,24.935288476766242,45.80111040925985
92,920,-601625.5554657981,24.95653166086413,46.073750813046345
93,930,-602087.727551097,24.977366252275665,46.343671052624984
94,940,-602552.5852362254,24.99799389624968,46.61092602059942
95,950,-603020.102145149,25.018313345484717,46.87556940663634
96,960,-603490.2524508638,25.038190328981727,47.137651981330414
97,970,-603963.0107658728,25.057815068870106,47.39722321782756
98,980,-604438.352244806,25.077166903938632,47.654331942129645
99,990,-604916.2525062126,25.09635147412468,47.90902592110069
100,1000,-605396.6876170763,25.11522782238913,48.161351310081955
101,1010,-605879.6341865419,25.13367054439448,48.411351560799815
102,1020,-606365.0690804756,25.152159637055448,48.659070572587375
103,1030,-606852.9697957997,25.170399960133217,48.90455188034248
104,1040,-607343.3141358894,25.18827156904183,49.14783574738249
105,1050,-607836.0803176634,25.206114044311256,49.38896232134576
106,1060,-608331.2469880605,25.223793850385043,49.627971595514104
107,1070,-608828.7931686868,25.241135596452008,49.86490098694485
108,1080,-609328.6982530054,25.25824793904306,50.0997865517551
109,1090,-609830.941958251,25.275340088843873,50.33266481181927
110,1100,-610335.5044245943,25.292328546900613,50.563571868590955
111,1110,-610842.3661019761,25.309169267577897,50.79254226532066
112,1120,-611351.507806564,25.325716568203802,51.01960876697122
113,1130,-611862.910667059,25.34207459745222,51.24480307509075
114,1140,-612376.556087308,25.358598629029842,51.46815807234234
115,1150,-612892.4258780171,25.37498330217204,51.689706010511145
116,1160,-613410.5021219569,25.391092931164977,51.90947639095102
117,1170,-613930.7671701238,25.407109525395125,52.127498148167795
118,1180,-614453.2037058924,25.42306079874971,52.343800373194966
119,1190,-614977.7946535212,25.438848098850407,52.558411123469696
120,1200,-615504.5232765394,25.454584125196646,52.77135780703975
121,1210,-616033.3730102291,25.470399582039853,52.98266815927782
122,1220,-616564.3277085614,25.485914310271532,53.19236821281229
123,1230,-617097.371333741,25.50136538426159,53.400482768224904
124,1240,-617632.4881780623,25.517032758577614,53.607038116276094
125,1250,-618169.6627842071,25.5324747420671,53.81205927636766
126,1260,-618708.8799484529,25.547658129926646,54.015568771089605
127,1270,-619250.1246265908,25.56287299746482,54.217589599116764
128,1280,-619793.3820865039,25.57825920470077,54.418145906408604
