,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-667042.3022655551,-0.0,0.0
1,10,-667042.305104997,0.008447401211014949,0.004223700605507474
2,20,-667042.3391083629,0.07514494115603156,0.02723363650002284
3,30,-667042.6486799292,0.2921146010892699,0.09470563863724238
4,40,-667043.8788499938,0.7120215556584298,0.23239409994275778
5,50,-667046.8871162093,1.3124150410876612,0.45263829850882764
6,60,-667052.5388071813,2.0465713881771084,0.7544274182990194
7,70,-667061.624872818,2.875775281482493,1.1303875540863375
8,80,-667074.8425736233,3.7707366809481746,1.5714711167514908
9,90,-667092.7956310352,4.708067288406892,2.0687014531111343
10,100,-667116.00002347,5.668379217793699,2.613679707801202
11,110,-667144.8911327565,6.635378541611133,3.1987067842186656
12,120,-667179.8309901879,7.595437453547494,3.8167914603109234
13,130,-667221.11528372,8.537380988337103,4.461628828119137
14,140,-667268.980081751,9.452385424746897,5.127574829103832
15,150,-667323.6082992629,10.333823462307917,5.809620804921723
16,160,-667385.1359888134,11.177015990484506,6.5033633367012955
17,170,-667453.6581773721,11.978999837342414,7.204968611031655
18,180,-667529.2344358519,12.738241292611935,7.91113217156526
19,190,-667611.8939374514,13.454326964891518,8.619033443389345
20,200,-667701.640085763,14.127710877219215,9.326287451238024
21,210,-667798.4545964042,14.759513720608084,10.030897216516315
22,220,-667902.3011574284,15.351305630081331,10.731207519638703
23,230,-668013.1286148248,15.904941015591609,11.42586041670875
24,240,-668130.8736938759,16.422472569183434,12.113754849195539
25,250,-668255.4634002291,16.90603242765065,12.794010342939874
26,260,-668386.8170179386,17.35776874773439,13.465934236641626
27,270,-668524.8478375176,17.779804329227773,14.128993117516805
28,280,-668669.4646016132,18.17419052290497,14.782787869723691
29,290,-668820.5727256642,18.54289099636953,15.427032003382923
30,300,-668978.0753146063,18.88776837851036,16.06153316020355
31,310,-669141.8740151852,19.21057229260623,16.686177240048714
32,320,-669311.8697187707,19.51293722223494,17.300914824349455
33,330,-669487.9631399224,19.796387396607315,17.905749732031836
34,340,-669670.055294463,20.06233546391013,18.500729340674297
35,350,-669858.0478857463,20.312087641374077,19.08593636632286
36,360,-670051.8436177598,20.546851160936058,19.661481979704696
37,370,-670251.3464460176,20.76773834361228,20.227500025246993
