,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-426652.3147706897,-0.0,0.0
1,10,-426652.5552796722,0.19124616523185978,0.09562308261592989
2,20,-426654.42186142906,0.9266564722289332,0.4229102832890931
3,30,-426660.6861442465,2.3750754922453776,1.050420316720556
4,40,-426675.062081613,4.310823808255373,1.9851192081267073
5,50,-426700.4846820507,6.343494002372607,3.15832158439589
6,60,-426738.8105398795,8.24776169889956,4.479984459541447
7,70,-426791.0311718739,9.93908186054905,5.877232353060389
8,80,-426857.54407613864,11.408239670388863,7.30018175107034
9,90,-426938.37241518596,12.678844232742264,8.717576965621992
10,100,-427033.31881074974,13.783335172178344,10.111123959383258
11,110,-427142.0640773102,14.751949763738962,11.47083388907122
12,120,-427264.22688604955,15.609534104884373,12.791774314520445
13,130,-427399.3991931208,16.375416501419387,14.071995280483682
14,140,-427547.166741699,17.064043747607506,15.311249125919861
15,150,-427707.1202058588,17.686408656329146,16.510226214973958
16,160,-427878.86100805586,18.25125632423442,17.67012493031725
17,170,-428062.00497501367,18.765524129709217,18.792403870735143
18,180,-428256.1834152233,19.234823512891314,19.87863170415658
19,190,-428461.0439185914,19.663897131774874,20.93040333444442
20,200,-428676.24987464165,20.056973302125698,21.949298644149533
21,210,-428901.4805403413,20.41769848641417,22.936858654950633
22,220,-429136.43028066424,20.74920607972308,23.89456719864684
23,230,-429380.808016351,21.05436155617061,24.82384357618576
24,240,-429634.3365159227,21.335687891871203,25.726040586023736
25,250,-429896.751773328,21.595466356120596,26.602443410893464
26,260,-430167.8022310009,21.835849812743245,27.454272926722478
27,270,-430447.24827647477,22.05853281090384,28.282684463779148
28,280,-430734.86156117567,22.265115175547514,29.08876715454971
29,290,-431030.42408748955,22.457209482081858,29.873551763902647
30,300,-431333.72819874407,22.63612451721567,30.63801377278869
31,310,-431644.5753598589,22.803027864613956,31.383073286752186
32,320,-431962.77633566875,22.958838869770943,32.109595916102265
33,330,-432288.1498939891,23.10474562836316,32.81839967690249
34,340,-432620.52302118065,23.241520058095997,33.51025864004042
35,350,-432959.73018039606,23.369715623783144,34.18589878005806
36,360,-433305.6126714668,23.490439489932058,34.84600796442466
37,370,-433658.0187132302,23.604306293168285,35.491241180521335
38,380,-434016.80281007505,23.711533824447542,36.122212158702325
39,390,-434381.82541502995,23.812608263267695,36.73949587434255
40,400,-434752.9524579722,23.908409714465932,37.34364084530243
41,410,-435130.055304792,23.999273778487957,37.935170037202624
42,420,-435513.01051558385,24.085203157074254,38.51457271668478
43,430,-435901.6991201916,24.166914507003124,39.08231195949993
44,440,-436296.0068619165,24.24471150850877,39.638830678626256
45,450,-436695.8237862954,24.31859081230492,40.184545328531385
46,460,-437101.0438550751,24.389067270763917,40.71985045040346
47,470,-437511.5649775657,24.456579169884208,41.24512538184208
48,480,-437927.28873281693,24.521006476040895,41.76072890678188
49,490,-438348.12027876783,24.582282179073186,42.26699567164614
50,500,-438773.96778262215,24.641084591567086,42.76424613163399
51,510,-439204.7427490957,24.69766490406466,43.252790947197354
52,520,-439640.3597001006,24.751536381180557,43.73292045897178
53,530,-440080.7359369954,24.803540768819296,44.20491166872889
54,540,-440525.7912609492,24.853684271103702,44.66903404257319
55,550,-440975.44877830555,24.90124649058263,45.12553571688332
56,560,-441429.63295829494,24.947482846991704,45.574656067541945
57,570,-441888.2716170634,24.99231087872613,46.01663224728618
58,580,-442351.29428624565,25.034830484172645,46.45168054864189
59,590,-442818.63291959575,25.075645262379798,46.88000352114104
60,600,-443290.2210145303,25.115869592264062,47.30180790273516
61,610,-443765.99465959414,25.154685300265555,47.717292761088174
62,620,-444245.8916558764,25.191404683631845,48.126635195556446
63,630,-444729.85127519927,25.227174957598752,48.53000735920723
64,640,-445217.8148163733,25.261843835003674,48.92758118843486
65,650,-445709.7251447457,25.29549447386671,49.319520070117875
66,660,-446205.526629267,25.328241061710287,49.70598141094379
67,670,-446705.16547242994,25.359248926433793,50.08711015136433
68,680,-447208.5888912891,25.389460762549376,50.463045489170334
69,690,-447715.7456502195,25.419347750021405,50.83393087276127
70,700,-448226.5861302303,25.44768979570659,51.199898257689355
71,710,-448741.0616817772,25.475104207481692,51.56106961282204
72,720,-449259.1249061976,25.502268968755175,51.91757084518904
73,730,-449780.72988471936,25.528061780321877,52.26951967347122
74,740,-450305.8316093698,25.553349636937597,52.61702717950975
75,750,-450834.38606671925,25.578112014045473,52.96020569408719
