,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-391779.36700793746,-0.0,0.0
1,10,-391779.7636295268,0.3298489882348804,0.1649244941174402
2,20,-391783.2002478551,1.3945570692274487,0.6784882555417426
3,30,-391793.7508322348,3.102271002094494,1.5441726898643537
4,40,-391814.9246291573,5.108895607560408,2.6998298078251537
5,50,-391849.1016483041,7.14111490432697,4.0525532492029015
6,60,-391897.7379665351,9.051293229754082,5.520939175448438
7,70,-391961.581383608,10.773603776660455,7.044756738165597
8,80,-392040.8932587779,12.297554397373464,8.582897014905758
9,90,-392135.62456906424,13.637067688822572,10.109109036342852
10,100,-392245.5363230076,14.81283810644527,11.60736581326637
11,110,-392370.2769442486,15.845364079925632,13.068251540403434
12,120,-392509.4307396631,16.753233241784617,14.486546747292595
13,130,-392662.5488251781,17.552703256020322,15.859702103752351
14,140,-392829.1692671245,18.257708700289367,17.18686710014808
15,150,-393008.8290238185,18.880667310622812,18.468283702179175
16,160,-393201.07267658674,19.432260313536972,19.70489741399797
17,170,-393405.4576686205,19.921613693019026,20.89808536329656
18,180,-393621.55673683283,20.35695362617552,22.04948611185755
19,190,-393848.9606985826,20.74523789883824,23.160884359045305
20,200,-394087.27847180376,21.092315993621007,24.234119572013153
21,210,-394336.13791359484,21.403242059839243,25.27102847327842
22,220,-394595.1848387619,21.68277499383549,26.273419815472153
23,230,-394864.0832087211,21.934720385147408,27.243051903744345
24,240,-395142.5144329816,22.162128192745158,28.181604655263072
25,250,-395430.17584364756,22.36828344754027,29.0906813282294
26,260,-395726.78090752254,22.55547328646935,29.97180609884308
27,270,-396032.0577320901,22.72568732623625,30.82641126210292
28,280,-396345.7481101965,22.881129186454928,31.655848916315154
29,290,-396667.60730546043,23.023224754835255,32.461392659875855
30,300,-396997.4026402797,23.153425654163584,33.24423523839069
31,310,-397334.9130509064,23.273129768772858,34.00549872674674
32,320,-397679.9284045684,23.383170348964654,34.74623382423597
33,330,-398032.24864121526,23.484700982194088,35.46742466369906
34,340,-398391.68313179334,23.578512799090774,36.169996301740326
35,350,-398758.050535745,23.665063321583197,36.85481147018655
36,360,-399131.17728584073,23.745440507750104,37.52268158818188
37,370,-399510.89821692795,23.820222640556935,38.17437427355981
38,380,-399897.0552626745,23.889815136027725,38.81060884695035
39,390,-400289.49749015475,23.954574813967366,39.432058453305224
40,400,-400688.0804133357,24.014912774378843,40.03935479649735
41,410,-401092.66555806255,24.07134499840034,40.63309419396246
42,420,-401503.12047677126,24.12391117675294,41.2138366005187
43,430,-401919.3178649932,24.17331037933321,41.782111023700416
44,440,-402341.1356937085,24.21987284409694,42.338421855885095
45,450,-402768.4569722767,24.26330788035557,42.883239993440654
46,460,-403201.16897686763,24.303752883066707,43.41700353021224
47,470,-403639.1634643427,24.342344193467646,43.94013586564324
48,480,-404082.33595818595,24.379251450067386,44.453047510022586
49,490,-404530.58684508404,24.412929404283897,44.9561095704943
50,500,-404983.81898237934,24.44467864195765,45.44966788144738
51,510,-405441.93914778804,24.475195735306006,45.9340675672327
52,520,-405904.8577494863,24.503718115069205,46.40963314078181
53,530,-406372.4876824413,24.53127192240936,46.8766729085728
54,540,-406844.7455305279,24.557040942678654,47.33548001090894
55,550,-407321.5503845832,24.58115506207097,47.78632506565627
56,560,-407802.8237122678,24.604694003483587,48.22947487956335
57,570,-408288.49029040657,24.625962909354712,48.665176865954706
58,580,-408778.47667543875,24.64576542953445,49.09365757954001
59,590,-409272.7115737102,24.666141184655093,49.51515616940741
60,600,-409771.1267182163,24.685410254780393,49.92990301631579
61,610,-410273.65566459665,24.703109979450485,50.33809927646725
62,620,-410780.23370116367,24.71968745497297,50.739936102680794
63,630,-411290.79851612536,24.734607720557005,51.13559483134667
64,640,-411805.2888695659,24.75019314102815,51.52526212574157
65,650,-412323.6458804925,24.76575178679923,51.90912879263123
66,660,-412845.8129086812,24.7788681648643,52.287353273825275
67,670,-413371.7337074977,24.792307992352384,52.66008919586747
68,680,-413901.35444365407,24.805338881019363,53.02749861734555
69,690,-414434.6229124088,24.815561345757935,53.3897137233027
70,700,-414971.4873544393,24.82663943222729,53.74686977040692
71,710,-415511.89794998406,24.838730555318765,54.09912354692205
72,720,-416055.8069163286,24.848719573567937,54.44660473722979
73,730,-416603.1666385764,24.858371463466025,54.78942810806693
74,740,-417153.9313224255,24.867692440858967,55.12771587523457
75,750,-417708.0563526282,24.876033598557168,55.461581048149675
76,760,-418265.49772443634,24.884855844051344,55.79113742900881
77,770,-418826.21328459925,24.89304357375082,56.11649672596686
78,780,-419390.1614189967,24.900068638400768,56.437755690661284
79,790,-419957.3016677774,24.90737937370566,56.75501315687215
80,800,-420527.59437952546,24.914951528306233,57.0683732455298
81,810,-421101.00138228404,24.921640883854707,57.37792898198822
82,820,-421677.4848158184,24.927472028331366,57.68376305205528
83,830,-422257.0080799432,24.9330590530489,57.98595898363782
84,840,-422839.53499456414,24.939525392692303,58.28460769046869
85,850,-423425.0307096761,24.94462019450287,58.57979030634524
86,860,-424013.4611377826,24.94876725573831,58.871574338729985
87,870,-424604.7919842064,24.954936502643854,59.16004448644962
88,880,-425198.99135879445,24.959163756994656,59.44527709218964
89,890,-425796.02679276094,24.962743193129427,59.72733065292559
90,900,-426395.8666542413,24.968136738374405,60.00628265399281
91,910,-426998.48081173934,24.971386107373174,60.28219994293394
92,920,-427603.8388993496,24.97431232030523,60.55513531936885
93,930,-428211.91126417153,24.97878670072982,60.82515982978584
94,940,-428822.66954111896,24.98245427598588,61.09233977702533
95,950,-429436.0852807761,24.984834895643804,61.35672430314007
96,960,-430052.1310144951,24.987901280214942,61.61836875333756
97,970,-430670.779227863,24.9908326898091,61.87733279771055
98,980,-431292.00411340466,24.99287357770975,62.13366618402652
99,990,-431915.77867296635,24.996376827602287,62.38742517254941
100,1000,-432542.0783852031,24.99939186091069,62.6386664592661
101,1010,-433170.87766426266,25.000206890041447,62.8874268190164
102,1020,-433802.1524137459,25.000912320622447,63.133743711229904
103,1030,-434435.87772759463,25.004202067689185,63.37767682468547
104,1040,-435072.0307216301,25.007241653813907,63.619283569708934
105,1050,-435710.58816066163,25.00780792647099,63.85859549269444
106,1060,-436351.52719938115,25.008473300246912,64.09564478904358
107,1070,-436994.8253777006,25.0104923851219,64.33048074548641
108,1080,-437640.46083686815,25.012333314086305,64.56315004464703
109,1090,-438288.4123115191,25.01307267537647,64.79368674954748
110,1100,-438938.6583015085,25.014004104596097,65.0221256336881
111,1110,-439591.17835457623,25.014707765722257,65.24850451615492
112,1120,-440245.95176764147,25.015932126063376,65.47286164838442
113,1130,-440902.95870673814,25.017540052200232,65.69523699668134
114,1140,-441562.179495248,25.017528995734594,65.91566008092559
115,1150,-442223.5948252902,25.018103747708338,66.13416044941332
116,1160,-442887.18530320394,25.02020010656028,66.35078050364827
117,1170,-443552.9328929719,25.018552229556704,66.56554308363265
118,1180,-444220.818766369,25.017271125473613,66.77846535962743
119,1190,-444890.8243118432,25.01971871127428,66.98959561428708
120,1200,-445562.9326604241,25.02057486976298,67.19897287811256
121,1210,-446237.1257201973,25.021361318933486,67.40661932844014
122,1220,-446913.3867461024,25.021507241099087,67.61256054430123
123,1230,-447591.6986529543,25.019384155357315,67.81681251876508
124,1240,-448272.0446046467,25.01843627668603,68.01939812384299
125,1250,-448954.4079708025,25.021622551321343,68.22036540548652
126,1260,-449638.772926506,25.02270083927742,68.4197483275937
127,1270,-450325.12420786713,25.01882827796362,68.61754408342458
128,1280,-451013.4449629175,25.018132595345378,68.81377048780413
129,1290,-451703.7203908461,25.019492317211913,69.00847234467801
130,1300,-452395.935165765,25.01882979646325,69.20167338954926
131,1310,-453090.0745559389,25.018318902787744,69.39338942480171
132,1320,-453786.12347008835,25.019081512628304,69.58364843976014
133,1330,-454484.06790237606,25.018763584713263,69.77247319011221
134,1340,-455183.893314264,25.0174843616671,69.95987751455542
135,1350,-455885.5856889891,25.016875238339896,70.14588143027576
136,1360,-456589.1310642193,25.01566005547085,70.33050586219034
137,1370,-457294.51588308014,25.015330877116643,70.51377202864823
138,1380,-458001.7263612497,25.01601663487051,70.6957065980976
139,1390,-458710.7498234127,25.014197744112472,70.87632346810423
140,1400,-459421.57267759455,25.012974327168397,71.05563464784863
141,1410,-460134.1820940313,25.013129134995484,71.23366573850289
142,1420,-460848.5655580329,25.01148313533069,71.41043338057789
143,1430,-461564.7102878088,25.011712028555806,71.58595552172847
144,1440,-462282.60392667836,25.012652958487365,71.76025854972904
145,1450,-463002.2347646712,25.00838823361139,71.93334386066346
146,1460,-463723.590254479,25.008227454622727,72.10522429672929
147,1470,-464446.6581072532,25.009354227010462,72.27593474200403
148,1480,-465171.42815144523,25.004029055830955,72.44547364384272
149,1490,-465897.88671629154,25.006710114732506,72.61386184959048
150,1500,-466626.02389410225,25.007882420177552,72.78113659227093
151,1510,-467355.82853609894,25.002228342345916,72.94728503590886
152,1520,-468087.28840540466,25.002667354245208,73.1123194877764
153,1530,-468820.393462752,25.004523243037475,73.27627923231849
154,1540,-469555.1325660108,25.001241498001036,73.43916622257021
155,1550,-470291.49551966466,24.99771072025826,73.60097686109366
156,1560,-471029.4705555775,25.00077770880307,73.76174533539525
157,1570,-471769.0485986987,25.00060440881185,73.92149579244361
158,1580,-472510.2190009669,24.994379374407718,74.08021168896812
159,1590,-473252.9712584738,24.992960218557208,74.23790204075267
160,1600,-473997.29513733723,24.996273654512606,74.39460961044679
161,1610,-474743.18145541084,24.9946298977246,74.55034603983367
162,1620,-475490.62034212117,24.990957189241186,74.70510169796762
163,1630,-476239.6014982852,24.99088272719458,74.85889343135496
164,1640,-476990.1161536185,24.98953408980742,75.01174018475722
165,1650,-477742.15427311714,24.991034215666126,75.1636581954037
166,1660,-478495.7069734304,24.991693164271183,75.31466478634756
167,1670,-479250.7654804862,24.986936717352364,75.4647521583538
168,1680,-480007.3198879807,24.982240217761614,75.6139152515403
169,1690,-480765.3615828774,24.982437972424428,75.76217969533027
170,1700,-481524.8809549638,24.986785451677136,75.90958277915634
171,1710,-482285.870688339,24.983055602543025,76.05612319478531
172,1720,-483048.3212655826,24.98042411368297,76.20179057692657
173,1730,-483812.2237834152,24.980403986303045,76.34660578826734
174,1740,-484577.57097715803,24.97724905335295,76.49057719182602
175,1750,-485344.35269444203,24.97527586841848,76.63370882705493
176,1760,-486112.5625850676,24.974276829953055,76.77601640819266
177,1770,-486882.19023995305,24.994473036531417,76.91757191431316
178,1780,-487653.23016498395,27.291649348160718,77.0648397067198
179,1790,-488425.6762539469,31.569759747040152,77.22968532953527
180,1800,-489200.03069981,31.261693312815883,77.40470705295957
181,1810,-489976.2169628563,26.921207917346585,77.56591306761183
182,1820,-490753.7782775945,24.889793484675465,77.7086595988134
183,1830,-491532.70710997947,24.891588201164268,77.84504795617104
184,1840,-492312.9961396613,24.892797595344803,77.98070123172583
185,1850,-493094.6380414089,24.894628093112523,78.11562748208235
186,1860,-493877.6254794662,24.897082657191575,78.24983790226398
187,1870,-494661.95159512875,24.897976776735526,78.38333767423464
188,1880,-495447.6090305953,24.898998948722948,78.51613054653862
189,1890,-496234.5909192821,24.900511420425296,78.64822565726062
190,1900,-497022.89024107513,24.902120244775787,78.77963192147872
191,1910,-497812.50019294245,24.90416379634553,78.91035796292344
192,1920,-498603.41400318546,24.904675957001473,79.04040803595854
193,1930,-499395.6249982879,24.90613440668212,79.16978762719592
194,1940,-500189.1262394535,24.909468358756214,79.29851095218037
195,1950,-500983.9116967746,24.910298741713355,79.426583173775
196,1960,-501779.974448579,24.910821817757096,79.55400374949241
197,1970,-502577.3082001314,24.912828654361903,79.68078229391323
