,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-587239.5176051721,-0.0,0.0
1,10,-587239.5254518938,0.08132886648527347,0.04066443324263674
2,20,-587240.0551954607,0.46243358604842794,0.19693726299738046
3,30,-587242.7942999966,1.2645110593177376,0.5232975027291105
4,40,-587249.8414574702,2.3520520980469883,1.028055858204607
5,50,-587262.9232955569,3.508001866866835,1.6728625571471643
6,60,-587283.1482404602,4.597935286187567,2.4068240176828115
7,70,-587311.1163060522,5.586346387540107,3.189010033498926
8,80,-587347.1079253581,6.488799095200374,3.9935847189161002
9,90,-587391.2312959048,7.333004629847707,4.806523808468774
10,100,-587443.511605732,8.141568308026761,5.620991369972763
11,110,-587503.9374174457,8.927964406085087,6.433886349287059
12,120,-587572.481559338,9.697914334642707,7.2437826771434635
13,130,-587649.1088640996,10.451966838823859,8.049861165657058
14,140,-587733.7778940595,11.1877960340178,8.85142403429927
15,150,-587826.4402087191,11.901954518092689,9.647719995641092
16,160,-587927.0393603068,12.591011430975058,10.437920920128818
17,170,-588035.5100987202,13.252106491761513,11.221157865339773
18,180,-588151.7783551315,13.88301441954682,11.996564992764615
19,190,-588275.7614157607,14.482366689218907,12.763319195070652
20,200,-588407.3684931108,15.049705956829698,13.520676756865576
21,210,-588546.5019258312,15.584964546945415,14.2679899902374
22,220,-588693.0580430037,16.088638082367844,15.004711440196841
23,230,-588846.9280826577,16.561810672748813,15.730401668156262
24,240,-589007.9996621372,17.00559008005073,16.444724157275047
25,250,-589176.1573884804,17.42130177939547,17.14743331953068
26,260,-589351.2839314042,17.810500696027912,17.83836898388836
27,270,-589533.26077715,18.17474193502563,18.517447907751194
28,280,-589721.9689709728,18.51554860881295,19.18465199943021
29,290,-589917.2897094272,18.834309042280086,19.840016262262363
30,300,-590119.1047942683,19.132542243227384,20.483621432562362
31,310,-590327.296999004,19.411857165681422,21.115591607030368
32,320,-590541.750673888,19.673392034787696,21.736082827988138
33,330,-590762.3518462139,19.918280776173948,22.34527171150403
34,340,-590988.9882935513,20.14787387303072,22.943356107315047
35,350,-591221.5500640617,20.3632337008312,23.530551708737036
36,360,-591459.9292942416,20.5655200346257,24.107087270023474
37,370,-591704.020548996,20.755534143871046,24.673199683860002
38,380,-591953.7208727482,20.933916856005062,25.229126149414512
39,390,-592208.9294492211,21.101889683204366,25.7751094710562
40,400,-592469.5481532085,21.260128503781743,26.311398124574044
41,410,-592735.4813132238,21.409144030671392,26.838236853196577
42,420,-593006.6355621725,21.54961212384519,27.355866976996186
43,430,-593282.9201470126,21.682174412004,27.864528285586857
44,440,-593564.2464112545,21.807430054526776,28.36445829786826
45,450,-593850.5284453706,21.925866742967628,28.855890744621867
46,460,-594141.6821967497,22.03806422456394,29.339055662564352
47,470,-594437.6264030557,22.144535348343197,29.814180002198555
48,480,-594738.2815163533,22.244834574451687,30.281477192296006
49,490,-595043.5707738033,22.33918886926256,30.74114512594242
50,500,-595353.4181981022,22.429599579918413,31.193392028570813
51,510,-595667.7512170972,22.516042503700046,31.638433539112153
52,520,-595986.498559515,22.59764769460311,32.07646412784088
53,530,-596309.5913015704,22.675029064688715,32.507664570362245
54,540,-596636.9617268468,22.749089023988965,32.932219652082125
55,550,-596968.5446155265,22.819400360109245,33.35030845945002
56,560,-597304.2760712333,22.886074155918323,33.76209750145354
57,570,-597644.0938570171,22.950259174426982,34.167755512207805
58,580,-597987.9376114456,23.01139733245933,34.56744769007637
