,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-517673.00458862295,-0.0,0.0
1,10,-517673.0232258459,0.025581366739061195,0.012790683369530598
2,20,-517673.152172509,0.21094147337134928,0.07831673508189851
3,30,-517674.0837549613,0.7758705874497537,0.2603638679996948
4,40,-517677.5185858625,1.791566096665338,0.613621394657821
5,50,-517685.48922524275,3.1192356667233976,1.149490723413328
6,60,-517699.8006601826,4.579627220731344,1.8430498918132798
7,70,-517721.848580858,6.040714141672651,2.6561650750889383
8,80,-517752.61358264094,7.4249785977299325,3.551705818995105
9,90,-517792.72630299703,8.698519802148805,4.499018081472604
10,100,-517842.55139808793,9.855300444149181,5.475034203799441
11,110,-517902.26411314565,10.903309804762829,6.463404217132483
12,120,-517971.9104153115,11.855465936829571,7.452986955625965
13,130,-518051.4503225843,12.72482763356529,8.436381150438683
14,140,-518140.78765232454,13.522693670960136,9.408750943274935
15,150,-518239.78984781855,14.258190121254302,10.366977292708178
16,160,-518348.30115696887,14.938479020912197,11.309077766153496
17,170,-518466.15121337614,15.569235415008734,12.23382392423373
18,180,-518593.1608591655,16.155034318612895,13.140493566205262
19,190,-518729.14607402787,16.699659039617114,14.028709231068936
20,200,-518873.9206376257,17.206393575703256,14.898333782030388
21,210,-519027.2981116051,17.678133137997065,15.749401553280043
22,220,-519189.0932032373,18.117485238346855,16.582070513281362
23,230,-519359.1227837309,18.52685856257305,17.396589336264153
24,240,-519537.2066511004,18.908477258740476,18.193273740659787
25,250,-519723.1680794438,19.264418217753665,18.972488714571952
26,260,-519916.83422772813,19.596615232422455,19.734635064165918
27,270,-520118.0364443051,19.9068569907817,20.480138549234102
28,280,-520326.61044317496,20.19682072403377,21.209441561992566
29,290,-520542.39644915273,20.468061477031725,21.9229966865947
30,300,-520765.2392596561,20.722011683465098,22.621261159658747
31,310,-520994.9882629342,20.96000328259106,23.30469259012388
32,320,-521231.49742504855,21.183264183066797,23.973745662058356
33,330,-521474.6252422416,21.392923726343724,24.62886937289368
34,340,-521724.23467066983,21.590023162151883,25.270504921488463
35,350,-521980.193038187,21.77551997698904,25.899084118922474
36,360,-522242.3719435407,21.950293231650747,26.51502815950953
37,370,-522510.6471426775,22.115150940731098,27.118746734373417
