,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-542147.8477954697,-0.0,0.0
1,10,-542147.8713492685,0.01632809339498635,0.008164046697493176
2,20,-542148.0381166217,0.08801657361909745,0.038332236799760715
3,30,-542148.5715806019,0.3029540665622335,0.110828724631574
4,40,-542149.988769246,0.7942820595460944,0.2606063265018747
5,50,-542153.3111994894,1.6269720798736669,0.5225887919325032
6,60,-542159.8822424659,2.741043351619737,0.9137062792215146
7,70,-542171.0665950159,4.014239302114584,1.4288579372456296
8,80,-542188.0493380298,5.332605988648721,2.048877190258645
9,90,-542211.7605008403,6.619394473367721,2.7499092019585074
10,100,-542242.879463537,7.834184462262783,3.5093625624809643
11,110,-542281.8739376573,8.961675166507487,4.308420656798989
12,120,-542329.0463268933,10.000711920240425,5.132465858013893
13,130,-542384.5752841708,10.956704573798921,5.970573902400792
14,140,-542448.5488966503,11.837258435878905,6.814744846630492
15,150,-542520.9895678344,12.650049707110155,7.659172400053649
16,160,-542601.8722047956,13.402002529148014,8.499653302659862
17,170,-542691.1373173837,14.099069571617292,9.333144398508011
18,180,-542788.7005192637,14.746283215546288,10.157441893529903
19,190,-542894.4593482779,15.347949226916546,10.970954272447852
20,200,-543008.2983519887,15.907800535904231,11.772542686553788
21,210,-543130.0928512288,16.429115917094162,12.561407126548874
22,220,-543259.7117857854,16.9148410518479,13.337004758870169
23,230,-543397.0199083075,17.36764293978922,14.098990419806794
24,240,-543541.87947604,17.789961303072054,14.847172068833608
25,250,-543694.1515618032,18.1840649357764,15.581477561363137
26,260,-543853.6971017998,18.552044875186414,16.30192895383225
27,270,-544020.3777191961,18.89583103003389,17.008621844438313
28,280,-544194.0563350598,19.217230570863457,17.701709472913354
29,290,-544374.5977003373,19.517911208575242,18.381390015028593
30,300,-544561.8687548497,19.7994197087246,19.047896054000013
31,310,-544755.7389383179,20.063188070169417,19.701486190062134
32,320,-544956.0804009178,20.31054049618541,20.342438192898406
33,330,-545162.7681609051,20.542703923708167,20.97104347790446
34,340,-545375.6802226062,20.76080276700668,21.58760249070183
35,350,-545594.6976306726,20.965880183022794,22.192420987789227
36,360,-545819.7045181381,21.158895863872047,22.7858071154973
37,370,-546050.5881063635,21.340733805354155,23.36806896382914
38,380,-546287.2386979632,21.51221013921895,23.939512655064757
39,390,-546529.5496456278,21.674070425180197,24.500440749392148
40,400,-546777.4173095138,21.827007607906097,25.051151042249693
41,410,-547030.7410007128,21.971655309860957,25.591935653322434
42,420,-547289.4229286723,22.108595839922767,26.123080238819238
43,430,-547553.3681170758,22.238379419274878,26.644863615543
44,440,-547822.4843533926,22.36148941966244,27.157557257058215
45,450,-548096.6820980147,22.478383104855297,27.66142490364873
46,460,-548375.8744048581,22.589501246524758,28.156722772952342
47,470,-548659.9768639358,22.69521363336249,28.643699272887897
48,480,-548948.9075008858,22.795878334762477,29.122594781783118
49,490,-549242.5867052895,22.891844782320515,29.59364210065105
50,500,-549540.9371621924,22.9834168282105,30.057066521813976
51,510,-549843.8837668737,23.07087767034538,30.513085765295546
52,520,-550151.3535569616,23.15447522497272,30.96191002535052
53,530,-550463.2756344739,23.234457644462257,31.4037422068519
