,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-584075.160443786,-0.0,0.0
1,10,-584075.1799604717,0.047238895460031925,0.023619447730015963
2,20,-584075.553904345,0.25804643195006066,0.11175050344754708
3,30,-584077.1085496616,0.7517789274395908,0.30155859934166074
4,40,-584081.1082935431,1.5764186732820233,0.6239074214085121
5,50,-584089.060857884,2.6811628263094467,1.0890760381997096
6,60,-584102.426869474,3.9550018864742027,1.686775811370171
7,70,-584122.4624687169,5.2788568587042395,2.3934205061028475
8,80,-584150.1121246481,6.570311840670183,3.181126200337894
9,90,-584186.0289758852,7.790875655706623,4.024597115696815
10,100,-584230.6489390255,8.920238533173688,4.903435467672534
11,110,-584284.221597079,9.954868285765402,5.801941407320554
12,120,-584346.8667075356,10.904751484980807,6.7088000655174245
13,130,-584418.6137393118,11.784020615677584,7.616396272866403
14,140,-584499.4336476623,12.599505488568687,8.519610173885301
15,150,-584589.264406516,13.349336664687144,9.414570401585658
16,160,-584687.9991748992,14.049089002702388,10.298582321743016
17,170,-584795.513304826,14.708562092823563,11.170221120513453
18,180,-584911.6874246428,15.315886432724067,12.028267177747331
19,190,-585036.3705845309,15.886184370020048,12.871765950966802
20,200,-585169.4109775703,16.422832099080544,13.700394236865396
21,210,-585310.6724629095,16.91691696890629,14.513748776697321
22,220,-585459.980194696,17.390703173814124,15.311775768002555
23,230,-585617.1970402765,17.835210124551658,16.09474098118226
24,240,-585782.1688721377,18.242235567094767,16.862509514726113
25,250,-585954.7393743818,18.62280345376348,17.615012158115857
26,260,-586134.7612755245,18.971649697312387,18.352307644447134
27,270,-586322.0781940132,19.309778297325856,19.074735548690658
28,280,-586516.5408322918,19.637875255709474,19.78300037953013
29,290,-586718.0240926036,19.929926857943077,20.47729615196731
30,300,-586926.3744965673,20.203324322093987,21.157637652587432
31,310,-587141.4595454808,20.453205653201408,21.824250138383647
32,320,-587363.1459266056,20.68599161282185,22.4773591710953
33,330,-587591.2862314589,20.924401154456454,23.11761417117377
34,340,-587825.7748461599,21.140640672662958,23.745542326899884
35,350,-588066.4758279272,21.33439366467063,24.361211153850306
36,360,-588313.275107682,21.509183855890335,24.964726870867885
37,370,-588566.0475885838,21.680533500565783,25.556445717973105
38,380,-588824.6744623773,21.85304849225791,26.13696601215342
39,390,-589089.0577638355,22.01394822967415,26.706736229402296
40,400,-589359.0770260119,22.172069677501014,27.26611720587971
41,410,-589634.646347528,22.293863488172065,27.81514446085057
42,420,-589915.651659324,22.402124643913673,28.35371280489926
43,430,-590201.9850419406,22.5388127220445,28.882483982644043
44,440,-590493.5616494397,22.665504006878457,29.402125745874944
45,450,-590790.290073769,22.76577110234939,29.91264130365598
46,460,-591092.0766431981,22.860026990092592,30.414072870144444
47,470,-591398.8313465774,22.956395460481872,30.90676839736843
48,480,-591710.4699212958,23.042296922346594,31.391009296626724
49,490,-592026.9099772244,23.136598742348724,31.86712096517003
50,500,-592348.0651134953,23.219216636207474,32.33540087380097
51,510,-592673.875627253,23.278393410210374,32.795812583400405
52,520,-593004.2356790039,23.35633887061853,33.24861230808602
53,530,-593339.0988407405,23.434919185939286,33.69427663279785
54,540,-593678.3726590283,23.509297991346102,34.13303946116649
55,550,-594022.0087856891,23.56719834993415,34.56496540399822
56,560,-594369.9239338611,23.611934450873946,34.99003350503626
57,570,-594722.0585112559,23.66438686727484,35.40843668928864
58,580,-595078.3408761588,23.716011242871296,35.820467403013026
59,590,-595438.7148240979,23.77444069341004,36.2263940867575
60,600,-595803.1136882792,23.827672967570876,36.62643633911503
61,610,-596171.4894018169,23.858317042130555,37.02056025626662
62,620,-596543.7716157113,23.90706546907891,37.408919147095006
63,630,-596919.9087775962,23.964512165149745,37.79191260316148
64,640,-597299.8534563492,23.98929266929622,38.1695234931336
65,650,-597683.543716655,24.017568525814568,38.54169036923413
66,660,-598070.9286049055,24.047119059122583,38.90861604074308
67,670,-598461.9586978835,24.09063952766606,39.27057207712788
68,680,-598856.5777650127,24.140194103401296,39.627854396356284
69,690,-599254.7561504719,24.15967236693541,39.98042591320265
70,700,-599656.4270392985,24.1895730780961,40.32827866766167
71,710,-600061.5592102294,24.20042739692716,40.671486877553995
72,720,-600470.0989267717,24.22074713744223,41.010112055501665
73,730,-600881.9963135909,24.285824882052943,41.344652954716
74,740,-601297.2267848768,24.304496288689503,41.6752137905496
75,750,-601715.7407182576,24.30723864010345,42.00148161766846
76,760,-602137.4922085433,24.31692824935297,42.323509666383316
77,770,-602562.4489835324,24.343048530671673,42.64156120120314
78,780,-602990.556015499,24.400788063754028,42.95604825300978
79,790,-603421.8029883036,24.392251970147257,43.26684490269398
80,800,-603856.1330471028,24.386483446461966,43.57364176581759
81,810,-604293.5075004015,24.453233968422865,43.87700317605194
82,820,-604733.9033204298,24.477629171393346,44.177202901156846
83,830,-605177.2876835949,24.445071379811388,44.47371620371122
84,840,-605623.6139006697,24.452097960189164,44.76652387199864
85,850,-606072.8486240797,24.49729698088783,45.056173821089025
86,860,-606524.9683370811,24.517617444228136,45.342819855501865
87,870,-606979.9377043203,24.52541795365687,45.62631482086289
88,880,-607437.7263164899,24.536701987404626,45.906678578231364
89,890,-607898.3028387924,24.559855677568766,46.184068374994965
90,900,-608361.6373422565,24.568514763260936,46.45853684096946
91,910,-608827.7061106478,24.571569609507957,46.730037213882305
92,920,-609296.4677079179,24.58849022138172,46.998678937139616
93,930,-609767.9100724413,24.583038790783096,47.264478911388125
94,940,-610241.9887215017,24.606873125425906,47.527533409614975
95,950,-610718.6873842524,24.627772464664304,47.78804088769974
96,960,-611197.980744926,24.627879596594653,48.045930949009204
97,970,-611679.8342844697,24.623997965198804,48.301128979804346
98,980,-612164.234384849,24.61847170254346,48.55366125182918
99,990,-612651.135410652,24.66024795334968,48.80381240612624
100,1000,-613140.5363805689,24.703618512721448,49.051877205524946
101,1010,-613632.4002733812,24.675314819329866,49.29755032194662
102,1020,-614126.7198236939,24.641166103893482,49.54049537572574
103,1030,-614623.4375380189,24.698387387639304,49.781180490052805
104,1040,-615122.5664692125,24.699655272485614,50.01982391711499
105,1050,-615624.0664094092,24.643368009565165,50.25592163124529
106,1060,-616127.9129821437,24.710238602553652,50.48982873197674
107,1070,-616634.0832305173,24.765580186020664,50.72211347144912
108,1080,-617142.5841134154,24.7040564532044,50.95221111339197
109,1090,-617653.3582124427,24.704831112633265,51.17990665848047
110,1100,-618166.4048952254,24.756406348256625,51.40576069160598
111,1110,-618681.699187437,24.762238696732517,51.62983142712183
112,1120,-619199.2280066166,24.721386656863615,51.85173637616244
113,1130,-619718.9634916913,24.69333241718729,52.07136224227143
114,1140,-620240.8801846709,24.745051576261176,52.2891557030569
115,1150,-620764.9687985711,24.79121224174717,52.5054745103349
116,1160,-621291.2148369625,24.799381990556057,52.72015627753717
117,1170,-621819.597135796,24.753834706818452,52.93283578383271
118,1180,-622350.1010002854,24.73643707227893,53.14343681356113
119,1190,-622882.6883224932,24.80397630891821,53.352470612736944
120,1200,-623417.372396514,24.770040019531905,53.55989750067092
121,1210,-623954.1169802187,24.743540957980354,53.76535203776875
122,1220,-624492.9004727493,24.814553034218434,53.96929706263035
123,1230,-625033.7253209054,24.791803440315096,54.17177573925728
124,1240,-625576.5644680121,24.788905441004317,54.372510691914066
125,1250,-626121.3960366948,24.826808879515827,54.571773191307145
126,1260,-626668.2248843849,24.787060577905415,54.76944177832483
127,1270,-627217.0113313255,24.80303615440171,54.965452878463836
128,1280,-627767.7542088777,24.82655458189538,55.16008135593874
129,1290,-628320.4386058474,24.78092193394869,55.35311016978958
130,1300,-628875.0418316773,24.805359946505448,55.544565485368366
131,1310,-629431.5498871705,24.848186155635634,55.734811121106034
132,1320,-629989.961872922,24.788876419316793,55.9235487854443
133,1330,-630550.2484009076,24.781538753423767,56.11060972413252
134,1340,-631112.3936948999,24.858101146504932,56.29652751241229
135,1350,-631676.4000090066,24.839068063811283,56.48127816955239
136,1360,-632242.2458455781,24.825662553287398,56.664545536147486
137,1370,-632809.9113409764,24.852828539497857,56.84652010815189
138,1380,-633379.3996617133,24.824642660940295,57.02716821941286
139,1390,-633950.6789732496,24.838322529016292,57.20645906079736
140,1400,-634523.7490264458,24.852985232951852,57.38456620626094
141,1410,-635098.5943242363,24.827802740808693,57.561368721498006
142,1420,-635675.199244102,24.820787055685546,57.73680771270884
143,1430,-636253.5530235182,24.83967079774583,57.91105684602517
144,1440,-636833.6412327598,24.86953083802956,58.08426137945352
145,1450,-637415.4598824638,24.86719674550082,58.256362871380404
146,1460,-637998.9914244282,24.843362124584694,58.42719183295121
147,1470,-638584.226657753,24.84027681157178,58.5967625776815
148,1480,-639171.1480166786,24.858748110127635,58.76523557226464
149,1490,-639759.7526920385,24.833676764759105,58.93255231518123
150,1500,-640350.0231894994,24.847005615010435,59.09871015301905
151,1510,-640941.9454851871,24.90727796810992,59.26400793542706
152,1520,-641535.5242304842,24.872751210979406,59.42830062634748
153,1530,-642130.7362327643,24.8395153233955,59.59129377358768
154,1540,-642727.5707323139,24.85291844384606,59.75315995391429
155,1550,-643326.0209712757,24.876523975413765,59.914098099096734
156,1560,-643926.0725376356,24.865756118902933,60.074042886908856
157,1570,-644527.7254579099,24.84147592687234,60.232853803846226
158,1580,-645130.9501778595,24.896935423941226,60.39075455483398
159,1590,-645735.7589829967,24.890894187989645,60.5478155773264
160,1600,-646342.1308397098,24.846223219297485,60.7037332770502
161,1610,-646950.0543682566,24.876893499909784,60.858635157840034
162,1620,-647559.5230573649,24.881903801422098,61.012688590456676
163,1630,-648170.5303481749,24.88301998229604,61.16581287199806
164,1640,-648783.0589549709,24.875781081023277,61.31798195013107
165,1650,-649397.1125906655,24.82907138633891,61.46906235637143
166,1660,-650012.6621162553,24.86669119947438,61.619201638920636
167,1670,-650629.714001977,24.926067760938658,61.76873025660024
168,1680,-651248.2572513226,24.912833592575282,61.91750454006542
169,1690,-651868.2857289199,24.889772445967537,62.065288258156215
170,1700,-652489.7840134358,24.865829228365328,62.212061430022004
171,1710,-653112.7485262642,24.85025756052067,62.35785779368452
172,1720,-653737.1615588969,24.889993534318393,62.50287399786612
173,1730,-654363.0242493537,24.90536771711449,62.64720946178568
174,1740,-654990.3274749473,24.879154457361437,62.79068211649137
175,1750,-655619.0584389673,24.885910493176322,62.93327654105378
176,1760,-656249.21273685,24.901080014976117,63.075120847050854
177,1770,-656880.7808366937,24.87156045888538,63.216121197002934
178,1780,-657513.7573351198,24.862215826049088,63.35621752727165
179,1790,-658148.1239260492,24.909549543928133,63.49563495950569
180,1800,-658783.8889481819,24.908624972041906,63.63440533175744
181,1810,-659421.0333951911,24.90153404142171,63.772384724750005
182,1820,-660059.5558112378,24.924270716979194,63.90964676402072
183,1830,-660699.4459657785,24.891134800299447,64.04612860024935
184,1840,-661340.7005359897,24.857573640835994,64.18168491973628
185,1850,-661983.2992215683,24.917587414572537,64.31657750504527
186,1860,-662627.2490810984,24.918209968558884,64.45090677129483
187,1870,-663272.540063826,24.843724335622923,64.58431827711028
188,1880,-663919.156381039,24.854615978396566,64.71684804959659
189,1890,-664567.095071717,24.931276259495107,64.84890650896705
190,1900,-665216.3518971452,24.945763042370714,64.98050901111564
191,1910,-665866.9265401921,24.88995014378797,65.11131269351317
192,1920,-666518.7991528392,24.875159463845193,65.24124869216612
193,1930,-667171.9705636711,24.91317374293631,65.37056965415832
194,1940,-667826.4287334216,24.92750793786891,65.49935770952581
195,1950,-668482.1779392211,24.85947601662982,65.62734611020133
196,1960,-669139.1980063623,24.872719344391953,65.75453917105187
197,1970,-669797.4846944669,24.964139303570846,65.88135074535967
