,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-617182.4858634903,-0.0,0.0
1,10,-617182.5154216369,0.01968313467223197,0.009841567336115985
2,20,-617182.7351096384,0.09365541719598694,0.043096988971228704
3,30,-617183.361863317,0.27974227294034787,0.11313455542695008
4,40,-617184.8574641305,0.6434044588822871,0.24018382494396062
5,50,-617187.9382019696,1.1940098776540256,0.44001037006964905
6,60,-617193.4138632114,1.8936671068891884,0.7172169500758173
7,70,-617202.0666196435,2.694746196569758,1.0675044135001373
8,80,-617214.5947096716,3.5566572032636037,1.4822773598876666
9,90,-617231.593587012,4.448846932954621,1.9517265980335652
10,100,-617253.558842148,5.349494404013967,2.466359481176187
11,110,-617280.8932074159,6.244105007161852,3.0176571562478784
12,120,-617313.9209522406,7.122707539564001,3.5982595919340383
13,130,-617352.8986642095,7.979157357019721,4.201929740326887
14,140,-617398.0254207983,8.810482318390859,4.823480490704242
15,150,-617449.4553744093,9.613591811241346,5.4585936338786265
16,160,-617507.3026959801,10.386542671266945,6.103626152730431
17,170,-617571.6483294391,11.128370441094741,6.755510624180898
18,180,-617642.54632784,11.838122408202615,7.411652370715457
19,190,-617720.0256855068,12.516104348617953,8.069860271345535
20,200,-617804.0968983847,13.161589585070033,8.72827117804118
21,210,-617894.7527349399,13.774983164857261,9.385286707307388
22,220,-617991.9706480997,14.3578548393678,10.039577379659752
23,230,-618095.7178475442,14.909918167858262,10.690020918195662
24,240,-618205.9495884316,15.432733758212988,11.335664860648105
25,250,-618322.6132526144,15.927854958572429,11.975737246448992
26,260,-618445.6497516939,16.39586289805011,12.609599401352172
27,270,-618574.9932256183,16.83833283088461,13.23672543543362
28,280,-618710.5743194148,17.257098467845935,13.85670888642344
29,290,-618852.3188768901,17.652976382547067,14.469233020831599
30,300,-619000.1518849469,18.026482550340006,15.07403605843865
31,310,-619153.9934611034,18.380670025214197,15.67093985403917
32,320,-619313.764760546,18.7163711756468,16.259845573420172
33,330,-619479.3850388976,19.03370324986463,16.84067831621942
34,340,-619650.7731001148,19.33393338372697,17.41339030915988
35,350,-619827.8477721462,19.617547616595388,17.97796353915765
36,360,-620010.5272436644,19.88761606172193,18.534431109140865
37,370,-620198.7305598138,20.146487943705896,19.08289783596411
38,380,-620392.3787383937,20.39135855064959,19.62345502239187
39,390,-620591.3933344475,20.621919555214077,20.156145955783728
40,400,-620795.694821071,20.843949973234004,20.681078914490357
41,410,-621005.2067958046,21.05670017869564,21.19841731572524
42,420,-621219.8548537216,21.256993399310144,21.70826578752458
43,430,-621439.5633792871,21.449686274753216,22.21074018943764
44,440,-621664.2596419905,21.634976583940443,22.706007152756506
45,450,-621893.8731593044,21.811144008694054,23.194205203933237
46,460,-622128.3325907903,21.980972657282788,23.675474864314314
47,470,-622367.5706228849,22.144321575915125,24.149976369259825
48,480,-622611.5194288574,22.300827810214884,24.61785454805504
49,490,-622860.1143175939,22.453122296577153,25.079268330566993
50,500,-623113.2902900996,22.596121583628648,25.534343039225497
51,510,-623370.9870917286,22.73567236150273,25.983203003703967
52,520,-623633.1380486087,22.87947664731184,26.426096720108763
53,530,-623899.6917657547,23.00761138254014,26.86314462544251
54,540,-624170.5854045388,23.129582864698023,27.2943603673164
55,550,-624445.7606747865,23.257534705655438,27.719955305306936
56,560,-624725.1657848131,23.377337786275874,28.140113669229322
57,570,-625008.7441545133,23.495353863175882,28.554939494754944
58,580,-625296.4442635062,23.610968836263055,28.964581924841333
59,590,-625588.2156018635,23.72092290880971,29.369149530050347
