,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-468733.13957578765,-0.0,0.0
1,10,-468733.2731319454,0.10173842089861863,0.05086921044930932
2,20,-468734.19718855014,0.5575064880453283,0.2411150429099507
3,30,-468737.60978109686,1.5983247923548332,0.646879130313755
4,40,-468746.40493107354,3.1469885851780424,1.3066401688534826
5,50,-468763.2574274797,4.895239593133738,2.1895377013141117
6,60,-468790.0825594487,6.613226569697144,3.2301638747689143
7,70,-468828.06699060765,8.193344360579795,4.3665049718089
8,80,-468877.8483649552,9.606432411284185,5.552145880412718
9,90,-468939.69566436746,10.861586778389754,6.7559693938063
10,100,-469013.64633251814,11.980372383972279,7.958409500693234
11,110,-469099.59805714234,12.984406020965247,9.147628393572086
12,120,-469197.36578961695,13.891394141851922,10.316636756496155
13,130,-469306.71647181164,14.714841613930194,11.461400292429609
14,140,-469427.38989385526,15.46495353700012,12.579675508297807
15,150,-469559.1113222161,16.149720460402015,13.670319292823116
16,160,-469701.59957962786,16.775668264529656,14.7328829414364
17,170,-469854.5720938483,17.348365882909267,15.767368630082636
18,180,-470017.7484360618,17.872692678216858,16.774078370968343
19,190,-470190.8525499109,18.353099521908753,17.75351835968249
20,200,-470373.6143873362,18.793657409143627,18.70633609811921
21,210,-470565.7711102301,19.19800963356536,19.63327300081364
22,220,-470767.0676534289,19.569528835886732,20.53513048727691
23,230,-470977.2573079466,19.911387295865286,21.412748751836624
24,240,-471196.10188104137,20.226370669703456,22.2669877196844
25,250,-471423.3720053081,20.516933661419888,23.098709115198286
26,260,-471658.8467264367,20.785473763773926,23.90876843773003
27,270,-471902.31379652786,21.034074092913954,24.698008977642893
28,280,-472153.5692237763,21.26461531750393,25.467254141779264
29,290,-472412.4171789964,21.4787894252746,26.2173033709143
30,300,-472678.669742998,21.67805439543738,26.948928233113108
31,310,-472952.14647791354,21.863884313765457,27.662872435087046
32,320,-473232.674334747,22.037509185122303,28.3598518114879
33,330,-473520.0872404614,22.199920159630697,29.040550319166506
34,340,-473814.2258129774,22.352159370039566,29.70562097185757
35,350,-474114.9369971421,22.49519588713156,30.355689139132302
36,360,-474422.0739492902,22.629799230006782,30.991351847460464
37,370,-474735.4955491224,22.75665463254841,31.613176974443196
38,380,-475055.0663069697,22.87642950630392,32.22170498574123
39,390,-475380.65588989464,22.989810911929872,32.81745180267753
40,400,-475712.13911676104,23.09724145021761,33.400908486342814
41,410,-476049.3955239099,23.199161895694793,33.97254061295462
42,420,-476392.3091680026,23.296115806754067,34.532791933423866
43,430,-476740.76848660386,23.388418225476926,35.08208499686807
44,440,-477094.665996203,23.476463297638205,35.62082134034572
45,450,-477453.89811741456,23.56065139351264,36.149384347847814
46,460,-477818.3650637649,23.641153432120205,36.668138422376074
47,470,-478187.97054946393,23.71826579137864,37.17742945792489
48,480,-478562.6216560504,23.792315791896613,37.67758805726116
49,490,-478942.22873963363,23.863478339879553,38.1689295611126
50,500,-479326.70517816243,23.93191612041843,38.65175360333596
51,510,-479715.96732028486,23.99786500965427,39.126345950909304
52,520,-480109.9342331708,24.061588588950727,39.592980566018376
53,530,-480508.52775584563,24.12301245178969,40.05191758392611
54,540,-480911.6722024784,24.182444289638156,40.50340469429429
55,550,-481319.2942385398,24.24018667959899,40.94768154894554
56,560,-481731.323093482,24.295908777066387,41.384974639334544
57,570,-482147.6899479101,24.349920151966217,41.815498187079356
58,580,-482568.32820504066,24.402685708596337,42.239461958132594
59,590,-482993.1733205449,24.453936054286938,42.65706668460189
60,600,-483422.16275501903,24.50368052595877,43.06850076854098
61,610,-483855.2356328775,24.55211790004978,43.4739449742905
62,620,-484292.3330920147,24.59947814116608,43.8735747305589
63,630,-484733.3976946528,24.645834585363538,44.26755948058271
64,640,-485178.3740600692,24.690875494945658,44.656058807175576
65,650,-485627.20790537115,24.73495761551021,45.03922517671453
66,660,-486079.84682530805,24.7779691202712,45.417205968724005
67,670,-486536.2396284683,24.820090922796226,45.79014241512413
68,680,-486996.3365415289,24.86157102545258,46.15817264355427
69,690,-487460.08931629546,24.90232185453943,46.521429920500665
70,700,-487927.4507112941,24.94199138485424,46.880038609462645
71,710,-488398.37513273396,24.980324012885053,47.23411346552166
72,720,-488872.8174475649,25.019130709511074,47.58377520352078
73,730,-489350.73437115154,25.05755569521129,47.92914626058409
74,740,-489832.0837008966,25.094113659649366,48.27032817641157
75,750,-490316.82377707335,25.130317465227673,48.60741844820441
76,760,-490804.91433999024,25.16592692295671,48.94051920667626
77,770,-491296.3160189766,25.200860613831846,49.26972646741779
78,780,-491790.9902037802,25.236041785488432,49.59513791808058
79,790,-492288.8996170429,25.270267363144267,49.916845817738064
80,800,-492790.0076274601,25.3038665819912,50.23493338490807
81,810,-493294.2782871918,25.337473132074347,50.549486706181774
82,820,-493801.67698443105,25.369696080891416,50.86058413010396
83,830,-494312.1692897516,25.40149115922983,51.16829842996958
84,840,-494825.72180290485,25.433693055954123,51.47271049114424
85,850,-495342.3019747978,25.465436648060678,51.77389820740427
86,860,-495861.87790378626,25.496317671082032,52.07192929863376
87,870,-496384.4183947372,25.526493352434958,52.3668676884823
88,880,-496909.8927570728,25.55676132008685,52.65878054440327
89,890,-497438.2711334593,25.586778618812716,52.94773536283683
90,900,-497969.5243200503,25.616466397579387,53.233795012342306
91,910,-498503.62354796514,25.646096427375127,53.51702133228391
92,920,-499040.5409792045,25.67420279172954,53.797467660841356
93,930,-499580.2489718896,25.701871519500855,54.075183476609524
94,940,-500122.7203352247,25.73063895601974,54.35023068238297
95,950,-500667.92896420957,25.757838794437635,54.62266335581516
96,960,-501215.84889931127,25.785199393657763,54.89252884192611
97,970,-501766.4543623377,25.814108396996744,55.15988916985225
98,980,-502319.7212964785,25.839848094433755,55.42478754393524
99,990,-502875.62475361925,25.864310947923514,55.68725133667104
100,1000,-503434.140570419,25.889692309574386,55.947327631289234
