,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-493201.08807679993,-0.0,0.0
1,10,-493201.17214758426,0.08101399767037948,0.04050699883518974
2,20,-493201.99308622925,0.3744167558499612,0.17461818663286977
3,30,-493204.58084905974,0.9792866247415076,0.43143681305227805
4,40,-493210.3864307756,1.928660945431329,0.8357338686881122
5,50,-493221.0467055318,3.141474364849274,1.3909639233519557
6,60,-493238.0663847762,4.484595810086467,2.078827677344089
7,70,-493262.6443569226,5.844379681296412,2.869999686372467
8,80,-493295.6436441774,7.152115157898514,3.734462575262296
9,90,-493337.6384636351,8.377232708809608,4.646871589787043
10,100,-493388.9814793681,9.511709446509483,5.587858879268607
11,110,-493449.8647157201,10.55783225234918,6.5433458176099535
12,120,-493520.36615234485,11.521467472810766,7.503308428326274
13,130,-493600.4830850864,12.40909897851816,8.460642610662036
14,140,-493690.1557168976,13.226719347070325,9.410298482121291
15,150,-493789.2832974635,13.979775789273846,10.34867384225436
16,160,-493897.7359081563,14.67326212578918,11.273205809994398
17,170,-494015.3629119453,15.311741877022715,12.182090600749508
18,180,-494141.9992547295,15.899530043077542,13.074089562381415
19,190,-494277.4701543731,16.44070915782067,13.948393415684405
20,200,-494421.59489028726,16.9391421720211,14.804522210980213
21,210,-494574.1894160805,17.39839992736961,15.642248382599064
22,220,-494735.0688101891,17.821812503022382,16.461537193167896
23,230,-494904.04848717334,18.21264603342862,17.262505474101637
24,240,-495080.94602555095,18.573726615530887,18.04538519960843
25,250,-495265.58172528085,18.907651015761083,18.81049085774721
26,260,-495457.7794519387,19.216984618152473,19.558201274565366
27,270,-495657.3672050136,19.503944779298024,20.28894283364789
28,280,-495864.1774700467,19.77048677667048,21.003171402953743
29,290,-496078.0474177527,20.018480928584168,21.701362032586626
30,300,-496298.81904069276,20.249624319651005,22.3840019941541
31,310,-496526.3393283243,20.46541106113144,23.05158300799449
32,320,-496760.4601104317,20.667231160961137,23.704595770064042
33,330,-497001.0382209103,20.856282032310315,24.343525530170883
34,340,-497247.93521912186,21.033710635127488,24.9688490774337
35,350,-497501.01745535363,21.20053956455374,25.581033202401887
36,360,-497760.1558697357,21.357668978639374,26.180532344694075
37,370,-498025.22587787075,21.50592137401839,26.767787195172424
38,380,-498296.1072636591,21.64604321390217,27.343224112358442
39,390,-498572.6839451165,21.778765166173937,27.907255408463975
40,400,-498854.8439662288,21.90465389273598,28.460278520151043
41,410,-499142.47920740454,22.02426588384992,29.002675302149875
42,420,-499435.48532269115,22.13813945264842,29.534813189687704
43,430,-499733.7615583597,22.246747050093806,30.05704557411955
44,440,-500037.2106214894,22.35051432581392,30.56971179669199
45,450,-500345.7385577336,22.449753879984183,31.073136623808388
46,460,-500659.2545696747,22.544881916337083,31.567631397894
47,470,-500977.6708938897,22.636246966719064,32.05349560014583
48,480,-501300.9027630047,22.72408358794644,32.531015942130765
49,490,-501628.86812108126,22.80873880522406,33.00046737887824
50,500,-501961.487692658,22.890410259060445,33.46211371417522
51,510,-502298.68472688936,22.969244913938855,33.916206492392675
52,520,-502640.3849505185,23.045513291854803,34.36298664197967
