,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-432012.6798479429,-0.0,0.0
1,10,-432013.0231590257,0.34344031886575976,0.17172015943287988
2,20,-432016.63901155326,1.392018286458915,0.6914448904804885
3,30,-432027.44739394594,2.991551633452764,1.5380414010040113
4,40,-432048.4385408928,4.849981581867905,2.6428810376462932
5,50,-432081.7589839789,6.742734273786481,3.9234021627584292
6,60,-432128.737886051,8.505889162112727,5.306499686979804
7,70,-432190.0124482021,10.069370840639749,6.7345645581539415
8,80,-432265.74315895664,11.433838663808999,8.168420248973417
9,90,-432355.80517437187,12.628091961104653,9.584595829967293
10,100,-432459.9176251813,13.683973166698706,10.970355152808043
11,110,-432577.7227537021,14.627144153375413,12.31942399993277
12,120,-432708.8279840728,15.476528781250824,13.629149554608013
13,130,-432852.8299481355,16.245706999501273,14.898839805089667
14,140,-433009.3267722351,16.94398615554672,16.128817052383965
15,150,-433177.92393333657,17.579173533631547,17.319931866203113
16,160,-433358.23694941326,18.157791456254216,18.47333530033211
17,170,-433549.89571462735,18.68478992627206,19.59031892823041
18,180,-433752.54160523205,19.165221629803987,20.67223884061532
19,190,-433965.83170750935,19.60290337018377,21.720471986272607
20,200,-434189.4356424504,20.002273900667227,22.736394711952016
21,210,-434423.0369706444,20.36733162176535,23.721388026653585
22,220,-434666.3342274701,20.700390591070747,24.67678791636281
23,230,-434919.0371511542,21.00502589448005,25.60388233659323
24,240,-435180.86988629174,21.28410533240529,26.5039321953911
25,250,-435451.5678114805,21.54022531423836,27.378155562767645
26,260,-435730.8790540007,21.775204706194927,28.227714005710006
27,270,-436018.5628323096,21.990774810046396,29.053704512924014
28,280,-436314.3885366423,22.189343737065812,29.857179364499462
29,290,-436618.13677878317,22.37246057700395,30.639149724432357
30,300,-436929.5970817654,22.541580858378385,31.400574817652526
31,310,-437248.5692915699,22.697444486805797,32.14235564626215
32,320,-437574.86106803303,22.84135454320358,32.86533962530302
33,330,-437908.28882950085,22.975311102542037,33.57034656432152
34,340,-438248.67674747965,23.099440584582016,34.25815499425808
35,350,-438595.8572293743,23.214277729020978,34.92948518889971
36,360,-438949.6682393787,23.321775266976303,35.5850312732604
37,370,-439309.9562323666,23.4211181685256,36.22544641550704
38,380,-439676.57281490776,23.51297557129874,36.85132926989609
39,390,-440049.3753631087,23.600014907111472,37.463274821094096
40,400,-440428.2278910382,23.681087372940937,38.061852706936776
41,410,-440812.99963734526,23.75545185021762,38.64756693141827
42,420,-441203.5640545415,23.8261467067613,39.22091216738991
43,430,-441599.7999621674,23.892877496355535,39.7823809279762
44,440,-442001.591786337,23.95383381799911,40.33240774193328
45,450,-442408.8262195443,24.011621724690357,40.871406195897
46,460,-442821.39573069435,24.0659356931748,41.39978825037252
47,470,-443239.19614067645,24.11664065133234,41.91793451483609
48,480,-443662.12657565443,24.164981148275444,42.42621307539302
49,490,-444090.09086236294,24.20950614505706,42.92496740601127
50,500,-444522.99490490474,24.251004576217383,43.41451322876382
51,510,-444960.74844620866,24.291460103253485,43.89517484416574
52,520,-445403.264037816,24.329050378670217,44.36725959052346
53,530,-445850.45815562556,24.36303133352056,44.83103268548221
54,540,-446302.24782486475,24.396452104736895,45.28676567876683
55,550,-446758.5550585017,24.428225079900585,45.734733527264325
56,560,-447219.303057917,24.45738181938654,46.1751777812482
57,570,-447684.4179432542,24.484596240175637,46.60832442177998
58,580,-448153.82784941164,24.510377068887465,47.034397935823655
59,590,-448627.46300080675,24.535812942539465,47.4536249080229
60,600,-449105.25634922966,24.558977607783206,47.86621367291154
61,610,-449587.1425078119,24.580263865257482,48.27234939230911
62,620,-450073.0575007862,24.601261839893326,48.67222423787752
63,630,-450562.9402206303,24.620893056011074,49.06602542392283
64,640,-451056.73043417494,24.63899436425413,49.45392148053652
65,650,-451554.3702465002,24.656277672293072,49.83607729840951
66,660,-452055.80273904133,24.672906041829265,50.21265692767411
67,670,-452560.9733663222,24.68812039630148,50.58381258698647
68,680,-453069.8283202967,24.702576124796323,50.94968888058939
69,690,-453582.3156625003,24.716725982497106,51.3104321797604
70,700,-454098.3848286843,24.72981511494421,51.66618042631381
71,710,-454617.98649547977,24.741797846040626,52.017059975849406
