,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-582585.7131663188,-0.0,0.0
1,10,-582585.786383974,0.04552753503667191,0.022763767518335955
2,20,-582586.3181066163,0.19617033249232918,0.09457011815975419
3,30,-582587.7539206858,0.5090066554374061,0.2284471438557375
4,40,-582590.8464535635,1.022104609850794,0.44104466265998776
5,50,-582596.5082128035,1.6948039345879806,0.738288132350135
6,60,-582605.5958466093,2.4605225035047624,1.1128120677676634
7,70,-582618.8209363979,3.2710012165014626,1.5514985537622124
8,80,-582636.7487230118,4.101140442700125,2.0414627754667887
9,90,-582659.8250955151,4.9408713818877015,2.5722769076848633
10,100,-582688.4073016278,5.786165072087899,3.1360780158385753
11,110,-582722.7886829963,6.633003788080533,3.726886441628449
12,120,-582763.2105405321,7.477694991650058,4.339957238466013
13,130,-582809.8722842523,8.314744123042328,4.971325714004342
14,140,-582862.9394294086,9.137143818591726,5.6174501298402895
15,150,-582922.5397135792,9.940708213645854,6.275133635244856
16,160,-582988.7744434811,10.720208137575533,6.941497079998954
17,170,-583061.7156981425,11.470855871419188,7.61388169816346
18,180,-583141.4099778975,12.190901229379232,8.289895957289264
19,190,-583227.8819318151,12.877914137940383,8.96742457986402
20,200,-583321.1364039348,13.530696222209377,9.644584462733475
21,210,-583421.1595636727,14.148446266521928,10.319719636539231
22,220,-583527.9242224165,14.732218285877025,10.991410547650595
23,230,-583641.3866169904,15.28352371679794,11.658484206094
24,240,-583761.497892327,15.801854348788034,12.319940020609646
25,250,-583888.1937115547,16.289770007279003,12.97494071968831
26,260,-584021.4079861522,16.746898331819114,13.622791856984259
27,270,-584161.0644381307,17.176107534166672,14.262923659582157
28,280,-584307.0825389494,17.581058794201812,14.894947203497576
29,290,-584459.3812499425,17.96025626255141,15.518554272699111
30,300,-584617.8728900241,18.316405902063703,16.13348729513382
31,310,-584782.4708290129,18.650626240810357,16.739577279106015
32,320,-584953.0851156348,18.96349932029841,17.336698508256813
33,330,-585129.6257322651,19.257810902211336,17.924788198806343
34,340,-585312.001715396,19.536937127448667,18.50388111140928
35,350,-585500.1234366108,19.79897008600532,19.074031440142427
36,360,-585693.9029470717,20.042520694399705,19.635242212920275
37,370,-585893.2485353405,20.275050626328436,20.18759772652411
38,380,-586098.0736461857,20.49455180208315,20.73125005244074
39,390,-586308.2926077204,20.69941188129304,21.2662922831325
40,400,-586523.8175577229,20.89547530526758,21.792862799849537
41,410,-586744.5668461323,21.080004412846773,22.311129465712295
42,420,-586970.4569445654,21.25274446739348,22.821211552966272
43,430,-587201.406942508,21.417787234985752,23.32326445328945
44,440,-587437.3370404245,21.576683674496614,23.817498078115754
45,450,-587678.1705618929,21.726360554021085,24.304091671481732
46,460,-587923.8323032603,21.86449944669153,24.783153280318952
47,470,-588174.2465017703,21.997809296663036,25.254830130837224
48,480,-588429.3401743107,22.12578826043753,25.719326339720283
49,490,-588689.0439814747,22.24575136165073,26.176800763640493
50,500,-588953.2862022448,22.363657561218098,26.62743480212666
51,510,-589222.001258209,22.476658319446198,27.07143077302753
52,520,-589495.1231562279,22.580314336484335,27.508908575397797
53,530,-589772.5872865664,22.67901688616257,27.939979971971475
54,540,-590054.3295827775,22.77444026840385,28.36480740839324
55,550,-590340.2895540831,22.86559629313702,28.783550912533244
56,560,-590630.4059650814,22.959040576801655,29.196411403465028
57,570,-590924.6213461767,23.04498889944807,29.603551862620225
58,580,-591222.8816620831,23.11852237372073,30.004998494723985
59,590,-591525.125060305,23.19567141137668,30.400869587931084
60,600,-591831.3011676184,23.2763483924791,30.7914126444055
61,610,-592141.3546533562,23.35143508607871,31.176787419966423
62,620,-592455.2382387486,23.41655860759206,31.557035840167373
63,630,-592772.8966628574,23.481548790360147,31.93224055308092
64,640,-593094.2827670451,23.54659640882153,32.30255983586103
65,650,-593419.3475922254,23.608315674529923,32.668120048570565
66,660,-593748.043918097,23.66872254952327,33.02903098099924
67,670,-594080.3267158547,23.730046042837785,33.385429381004364
68,680,-594416.149749482,23.786749643925678,33.73742184775766
69,690,-594755.4730311513,23.833257735846466,34.08502918487066
70,700,-595098.24778654,23.889452382136373,34.42837289665914
71,710,-595444.4357277441,23.94719394707655,34.76765405314074
72,720,-595793.9969392448,23.995119260810213,35.102929036680145
73,730,-596146.8898012085,24.03875323046502,35.434210804053876
74,740,-596503.0767137612,24.087410608615077,35.76161257316562
75,750,-596862.5157942512,24.140412406995893,36.08530143026146
76,760,-597225.1767102282,24.179205736063775,36.40531123492255
77,770,-597591.016673911,24.218811143832973,36.721649964297825
78,780,-597960.002604451,24.265278350404863,37.03446162781765
