,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-553590.4015327807,-0.0,0.0
1,10,-553590.4358906334,0.04549655463779345,0.022748277318896726
2,20,-553590.7889764076,0.2753681599919218,0.11433859463577392
3,30,-553592.3244685242,0.863003119590576,0.32701448789885035
4,40,-553596.6837832343,1.8483574985526503,0.7018930284830276
5,50,-553605.7197546762,3.1060691682941974,1.2435446326315285
6,60,-553621.0621650466,4.478297524916708,1.9273430098706739
7,70,-553643.9635941746,5.846068238737645,2.718110773047374
8,80,-553675.2958636916,7.14089045189321,3.5819927290576743
9,90,-553715.6135378943,8.33522251069662,4.491366299561923
10,100,-553765.2340145961,9.426600081002109,5.425764220872952
11,110,-553824.3089149949,10.424159902016982,6.370919675014738
12,120,-553892.8785658246,11.340320580988186,7.317258482647594
13,130,-553970.9103281029,12.186726799097956,8.258492101692536
14,140,-554058.3241856564,12.972831134469025,9.190527760855911
15,150,-554155.0093621311,13.705823665819485,10.11070394737617
16,160,-554260.835037301,14.391058449679974,11.017285312789317
17,170,-554375.6572592682,15.032572698770675,11.90914038048213
18,180,-554499.3235350697,15.633537051529856,12.785539789720495
19,190,-554631.6759156965,16.196583990185168,13.646030602297104
20,200,-554772.5532262863,16.724013847473547,14.4903568429625
21,210,-554921.7926436831,17.21795763723495,15.318408561464457
22,220,-555079.2309451979,17.680422422196706,16.130187716102228
23,230,-555244.705481455,18.113315788298486,16.92578323295311
24,240,-555418.0548866952,18.518503604200703,17.705353125902185
25,250,-555599.119737989,18.897795132725157,18.469111186977536
26,260,-555787.7430008663,19.252905208390402,19.21731526671647
27,270,-555983.7704667355,19.585437911018353,19.950256738449387
28,280,-556187.050969204,19.896984849649016,20.668253333984463
29,290,-556397.4366590538,20.189045346900862,21.371643623610723
30,300,-556614.7832016128,20.46296682782124,22.06078005948075
31,310,-556838.9498104713,20.720068105508073,22.736024153474137
32,320,-557069.7993897919,20.96156972590836,23.39774332730449
33,330,-557307.1985336378,21.188590152020357,24.04630709899939
34,340,-557551.0175401284,21.40218240721732,24.682084320303694
35,350,-557801.1303963825,21.60331482104084,25.305441080038147
36,360,-558057.4147285911,21.792890096758505,25.916738892317518
37,370,-558319.7517617799,21.971739275159795,26.51633331704943
38,380,-558588.0262393835,22.140619732224096,27.10457265650475
39,390,-558862.1263588261,22.30023722618933,27.681797077608643
40,400,-559141.9436656835,22.45126506523235,28.248338368182885
41,410,-559427.372994053,22.594262833282073,28.80451897214807
42,420,-559718.3123570487,22.72977555601392,29.350651328940874
43,430,-560014.6628125318,22.858386806739162,29.887039090511095
44,440,-560316.3284537054,22.980508117901564,30.41397642364172
45,450,-560623.2162466448,23.09658364548521,30.931747268517206
46,460,-560935.2359213784,23.206973036436846,31.440625682607056
47,470,-561252.2999773317,23.311978885092024,31.940875164898166
48,480,-561574.3233656047,23.41219522487367,32.43275197386392
49,490,-561901.2236900483,23.507834275867243,32.91650486741418
50,500,-562232.9209725185,23.598912476009026,33.392369852132106
51,510,-562569.3374715616,23.68590605868667,33.860573742173436
52,520,-562910.3977094131,23.769268911250364,34.321339170062856
53,530,-563256.0284342974,23.849036833815475,34.774880746197596
54,540,-563606.1584993163,23.925205279706432,35.22140133823996
55,550,-563960.7186701153,23.998006078167275,35.66109470837546
56,560,-564319.6416635008,24.06797712268292,36.094151052876256
57,570,-564682.8620012628,24.135464551008813,36.52075830708199
58,580,-565050.3162399158,24.200024695077445,36.9410938109504
59,590,-565421.9425005163,24.261608765620622,37.35532156744011
60,600,-565797.6804885343,24.321075342712035,37.76360404924198
61,610,-566177.4715480855,24.37876426034773,38.16610561365814
62,620,-566561.2587873812,24.433859810431066,38.5629788067541
63,630,-566948.9866705794,24.486523439505433,38.95436355090496
64,640,-567340.600866751,24.537738433293953,39.34040212003019
65,650,-567736.0487920826,24.58666242398603,39.7212313740325
66,660,-568135.2790326417,24.633546868310074,40.09697732583008
67,670,-568538.2411673851,24.679811727383544,40.46777280459355
68,680,-568944.8866208767,24.7242474862841,40.833746441450785
69,690,-569355.1677586443,24.76613519986587,41.19500712667505
70,700,-569769.0378841037,24.807250248617446,41.55166651913315
71,710,-570186.4515297295,24.847427371452792,41.90384304666369
72,720,-570607.3647189013,24.88566960124294,42.25164207956986
73,730,-571031.7338514465,24.923052706968107,42.59516507003718
74,740,-571459.5169256997,24.958866348047895,42.93451189933403
75,750,-571890.6726404002,24.992881974612665,43.26977210133627
76,760,-572325.160411605,25.025749837490622,43.60103440553648
77,770,-572762.9409664071,25.058034655064752,43.92839200731978
78,780,-573203.9753447933,25.09089500489063,44.25194558861112
79,790,-573648.2264532737,25.121753221930707,44.57178309726878
