,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-501596.33142696467,-0.0,0.0
1,10,-501596.5213322097,0.14754330039286287,0.07377165019643143
2,20,-501598.104988928,0.6495391307020327,0.30992808306837105
3,30,-501602.8028747155,1.5999983453017192,0.7389792566274991
4,40,-501612.8693335054,2.941563234315254,1.3733410518005256
5,50,-501630.41772849194,4.473627295003098,2.1883991855902423
6,60,-501657.04931042594,6.0190934988524525,3.137353039994923
7,70,-501693.82160062843,7.4801780484165645,4.1732425969290485
8,80,-501741.3565773388,8.821633252839092,5.258893107261247
9,90,-501799.9693473273,10.041542205889712,6.368108641446452
10,100,-501869.7720105159,11.150722066056918,7.48350820063206
11,110,-501950.7461704968,12.162485830691004,8.593884568966315
12,120,-502042.7903319572,13.088778873189579,9.692090620380624
13,130,-502145.7502148688,13.939245320120241,10.773581226768147
14,140,-502259.43791630917,14.721518222847958,11.835474554731627
15,150,-502383.6442448412,15.44180507179408,12.875969898416953
16,160,-502518.1469812978,16.10531297349371,13.8939877645651
17,170,-502662.7164216717,16.716568672860742,14.888942579482682
18,180,-502817.1193287202,17.27970281394956,15.86059810881052
19,190,-502981.12170126184,17.79855517438263,16.80897288454726
20,200,-503154.49101572915,18.276649595645722,17.73427215534321
21,210,-503336.9976233244,18.717265110582215,18.636837564533927
22,220,-503528.4160019294,19.123581199356696,19.517113579273428
23,230,-503728.5254789309,19.498429877587494,20.37561933509569
24,240,-503937.1111357648,19.844409096648434,21.212923434991538
25,250,-504153.963647368,20.164201290972407,22.029632650324494
26,260,-504378.8802847613,20.459910792860356,22.826376499083565
27,270,-504611.6645378707,20.733475306624314,23.603789568442156
28,280,-504852.126219593,20.987177589535683,24.36251384324569
29,290,-505100.08168808685,21.22257396067289,25.103191319228063
30,300,-505355.35383669543,21.440943875990364,25.826446831425713
31,310,-505617.77135411085,21.644215749367127,26.532896150047602
32,320,-505887.16937896586,21.833499765675526,27.22314483790833
33,330,-506163.3890404566,22.009723182431507,27.897773926026275
34,340,-506446.2767959434,22.174302340546237,28.557347261784162
35,350,-506735.6851791447,22.328172126224693,29.20241383078028
36,360,-507031.4716274392,22.472096648375775,29.83350017174744
37,370,-507333.49922883423,22.606729562940018,30.451108970642238
38,380,-507641.635455211,22.73306761448618,31.0557246268043
39,390,-507955.75298615935,22.85180769319847,31.647815831023767
40,400,-508275.7288278401,22.963365024363185,32.22782978733085
41,410,-508601.4444949647,23.068209158814017,32.79619147402336
42,420,-508932.7855654936,23.1668557114375,33.35330699923797
43,430,-509269.64157368103,23.26010004103876,33.89956918011157
44,440,-509611.90597525326,23.3483989747765,34.435358175280996
45,450,-509959.47595476115,23.431625987446782,34.961032290763974
46,460,-510312.2522022627,23.51012612726481,35.47692853983389
47,470,-510670.1384478301,23.584519689010698,35.98337253467106
48,480,-511033.0420172089,23.655105417268317,36.480679028395386
49,490,-511400.8728725493,23.72235357061436,36.96915120884514
50,500,-511773.5444200028,23.78604012053991,37.44907644240375
51,510,-512150.9724838567,23.846085895577417,37.92072199944815
52,520,-512533.0756548931,23.90355640372134,38.38434904378446
53,530,-512919.7749076313,23.95881032582838,38.840217444789594
54,540,-513310.99424086325,24.010908352790437,39.28856718278621
55,550,-513706.65945240646,24.060435799227058,39.72962164281344
56,560,-514106.6986848725,24.108138222328733,40.1636041114798
57,570,-514511.0424959447,24.15357761899213,40.59072883349363
58,580,-514919.62322761194,24.196865782555,41.01119599191879
59,590,-515332.37541851384,24.238142514362615,41.42519764986791
60,600,-515749.23526399455,24.27778941558799,41.83292054907433
61,610,-516170.14098007575,24.31597493913432,42.234546730863805
62,620,-516595.0324933209,24.352625418800656,42.630250141330905
63,630,-517023.8514432371,24.387605178829197,43.0201947038593
64,640,-517456.54109388514,24.420907650049685,43.40453546692952
65,650,-517893.0461001628,24.45305060647652,43.78342419722612
66,660,-518333.3127617307,24.483952327343474,44.15700907383507
67,670,-518777.2887882309,24.51383564378921,44.525432633132006
68,680,-519224.9231885625,24.542668440088164,44.88883250245417
69,690,-519676.16660205653,24.56994608772812,45.2473363874
70,700,-520130.9704791826,24.596395339307442,45.60106801313014
71,710,-520589.2878628895,24.622114988452918,45.95015172724307
72,720,-521051.07285285374,24.646721041167467,46.2947046882262
73,730,-521516.2807378005,24.670423308161844,46.634837975345
74,740,-521984.8678493255,24.6933230553814,46.970660254856924
75,750,-522456.7916528804,24.715459038597842,47.302276759182135
76,760,-522932.0105879894,24.73678622047295,47.6297885007145
77,770,-523410.48414611415,24.757340595679125,47.95329246724287
78,780,-523892.17268782196,24.777306815006828,48.27288330900265
79,790,-524377.0375955015,24.796574197728702,48.58865254186604
80,800,-524865.0410988417,24.815182573511265,48.90068777597408
81,810,-525356.1462723308,24.833232179339163,49.20907422372111
82,820,-525850.3171011482,24.8505806169181,49.51389371097466
83,830,-526347.518273693,24.867484231622193,49.81522576344287
84,840,-526847.715337902,24.883879340963844,50.11314821473061
85,850,-527350.8746048055,24.89970406627993,50.40773539158981
86,860,-527856.9630410086,24.91510237861676,50.69905948542582
87,870,-528365.9484437138,24.92984184014191,50.98718968491739
88,880,-528877.7991638262,24.94423612419044,51.27219325236365
89,890,-529392.4842788705,24.95844558326644,51.55413785312849
90,900,-529909.9735757911,24.971986253920413,51.83308709651756
91,910,-530430.237392941,24.98496040013276,52.109100355682315
92,920,-530953.2466483134,24.997693435102832,52.38223738741945
93,930,-531478.9729071874,25.01026011636125,52.65255818102451
94,940,-532007.3882831987,25.022233614057768,52.92011893239979
95,950,-532538.4655225591,25.033646022071547,53.18497195140372
96,960,-533072.1776770687,25.045098462794044,53.44717120425921
97,970,-533608.4986204664,25.05643116447027,53.706771287092124
98,980,-534147.4025286316,25.06737551476094,53.96382292179915
99,990,-534688.8642673076,25.077734905318216,54.21837292162818
100,1000,-535232.8589620373,25.087507954158283,54.47046568819351
101,1010,-535779.3623322923,25.0970915500135,54.720146255439616
102,1020,-536328.3503986245,25.106943815771956,54.967462536913814
103,1030,-536879.799839475,25.117290985912913,55.21246438793169
104,1040,-537433.6876955318,25.126255647721848,55.45519229094934
105,1050,-537989.9916344192,25.133369694842482,55.695674309780586
106,1060,-538548.6889369189,25.141931119776338,55.933951037329095
107,1070,-539109.75804639,25.151432330684898,56.17007510966504
108,1080,-539673.1776994832,25.160023444786432,56.404086757307226
109,1090,-540238.9268629705,25.167591388768283,56.636016014250345
