,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-628060.410017956,-0.0,0.0
1,10,-628060.4680335248,0.025005840175435876,0.012502920087717938
2,20,-628060.8119561366,0.09761990441475063,0.04941081627912353
3,30,-628061.5842982694,0.27676342101185586,0.1199430292181205
4,40,-628063.1662924055,0.6853605892742053,0.2517403397127055
5,50,-628066.3907419607,1.380532898925594,0.47546370326454057
6,60,-628072.374234567,2.30583205964067,0.8056696647938224
7,70,-628082.2414488435,3.3539905490877575,1.2373930899368133
8,80,-628096.9543904596,4.431489370972849,1.7539319291288846
9,90,-628117.2578160068,5.480321348624421,2.335362311960489
10,100,-628143.691993207,6.47382000469952,2.963515609341266
11,110,-628176.6311669417,7.405255640883116,3.623809138707293
12,120,-628216.3248759732,8.277839391923042,4.305321642501804
13,130,-628262.9327202071,9.098288161418168,5.000165777219809
14,140,-628316.5505567124,9.87345437687473,5.702723307877023
15,150,-628377.2290062769,10.608954193827229,6.4089784849406
16,160,-628444.9861070999,11.308888064417985,7.1160130434145685
17,170,-628519.8158368636,11.976044581743194,7.821652400773019
18,180,-628601.6938776484,12.612258561415368,8.524229521713277
19,190,-628690.5815958779,13.21875090333924,9.222431903185496
20,200,-628786.4288894446,13.796404632856127,9.915203884884248
21,210,-628889.1763041624,14.345960272906806,10.601684483393909
22,220,-628998.7567105064,14.868130205321362,11.281167016203106
23,230,-629115.0966510619,15.363673390736231,11.95307196612266
24,240,-629238.1174955779,15.833418180816807,12.616927744688292
25,250,-629367.7364299453,16.278268931637285,13.272356002088054
26,260,-629503.8673109508,16.69920150846011,13.91905987126811
27,270,-629646.4214391194,17.09724901752196,14.556814084362124
28,280,-629795.3082055674,17.473478260228866,15.185456204412914
29,290,-629950.4357060972,17.828958162089116,15.804878432297848
30,300,-630111.7112119844,18.164783042011578,16.41502064671222
31,310,-630279.0416395054,18.482037988488468,17.015864417656854
32,320,-630452.333929124,18.78177132569249,17.6074269815319
33,330,-630631.4953638666,19.064991562685464,18.189755667021384
34,340,-630816.4338604208,19.332673256553292,18.762923194025646
35,350,-631007.0581689097,19.58577688834339,19.32702402519499
36,360,-631203.2781131959,19.825207179249226,19.882170937597405
37,370,-631405.0047189682,20.051798348786516,20.428491285265775
38,380,-631612.1503739479,20.266340936318752,20.966123913963386
39,390,-631824.6288888631,20.46961247888682,21.49521722392092
40,400,-632042.3556251592,20.662324747303487,22.015927212478708
41,410,-632265.2475330954,20.845136900196696,22.528415258407765
42,420,-632493.2232011178,21.01866447701468,23.03284644115047
43,430,-632726.2028962547,21.183496737634414,23.529388366812782
44,440,-632964.1085527688,21.340201494283974,24.01821038602793
45,450,-633206.8638377746,21.48926524633131,24.49948228958383
46,460,-633454.3940875964,21.6311521529395,24.973373122485647
47,470,-633706.6263484024,21.766359132798986,25.44005135359039
48,480,-633963.4893199484,21.8951951504219,25.899683315125003
49,490,-634224.9134199942,22.018159503076493,26.352433361578733
50,500,-634490.830548259,22.13576196387299,26.79846607818763
51,510,-634761.1744993436,22.247948462341427,27.23794083961402
52,520,-635035.8803861407,22.3551433796761,27.671011283129335
53,530,-635314.8849500361,22.457855589283298,28.097831147020038
54,540,-635598.1264881606,22.55620680883874,28.518551475931595
55,550,-635885.5447257016,22.650462513571217,28.93331853825802
56,560,-636177.0808915204,22.740838203113526,29.342275032078028
57,570,-636472.6775650133,22.82762788558905,29.7455605801937
58,580,-636772.2787507395,22.911042053456185,30.143311913286738
59,590,-637075.8297923149,22.991189650335624,30.535661486763267
60,600,-637383.2773286162,23.06825267983374,30.922737516018962
61,610,-637694.5692668371,23.14249935651308,31.304665572693914
62,620,-638009.6547416128,23.21405400054648,31.681568303277885
63,630,-638328.4841507734,23.282962980246545,32.05356383666366
64,640,-638651.0089636421,23.349576759897218,32.420767825578515
65,650,-638977.1818683479,23.41382928495291,32.783292773130235
66,660,-639306.9566711462,23.475742086558462,33.14124568320403
67,670,-639640.2880962517,23.535782948628327,33.49473238542123
68,680,-639977.1321011271,23.593916712119196,33.843857238386406
69,690,-640317.4455378561,23.650134185261994,34.18871970404434
70,700,-640661.1863056445,23.704587525688265,34.52941597032186
71,710,-641008.3132021766,23.75737406720873,34.86603990382573
72,720,-641358.785988748,23.808593574562106,35.19868281038217
73,730,-641712.5653025913,23.858432529316733,35.52743418719474
74,740,-642069.6126682818,23.90685394384787,35.85238090554631
75,750,-642429.8905167207,23.953684934531342,36.17360493536108
76,760,-642793.361971569,23.99933858957358,36.49118655371567
