,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-558251.783179908,-0.0,0.0
1,10,-558251.8614207163,0.06979368110187352,0.03489684055093676
2,20,-558252.5366707975,0.3460253074241337,0.15630000795790694
3,30,-558254.809649577,0.9463715802150544,0.4005349315164494
4,40,-558260.2106678355,1.8856215992127543,0.7939662281205528
5,50,-558270.376166174,3.0575218611920723,1.3354211141413543
6,60,-558286.7408808657,4.328070908744121,2.0018458759892384
7,70,-558310.4028576604,5.594554321939357,2.7621294747135834
8,80,-558342.1248999542,6.8015575774014,3.5868378462968393
9,90,-558382.3984309866,7.929230216695577,4.452447984700848
10,100,-558431.5167069297,8.976469059474764,5.341784227491007
11,110,-558489.635027498,9.949399364902638,6.242853106142138
12,120,-558556.814390143,10.855570464406627,7.147413967836473
13,130,-558633.0512580636,11.701675383141264,8.049793841666542
14,140,-558718.2973082378,12.493054392293564,8.946038793490152
15,150,-558812.4726436543,13.233854608086405,9.83334779443685
16,160,-558915.4746674533,13.927403347287324,10.709707635975793
17,170,-559027.1843081999,14.576517095629242,11.573660081626441
18,180,-559147.4705350371,15.183716825803288,12.42415108450223
19,190,-559276.1936600293,15.751376773437366,13.260430911420556
20,200,-559413.2079955671,16.281802080688053,14.081985878528215
21,210,-559558.363805066,16.7772604535683,14.888489512773234
22,220,-559711.5090602585,17.239940204942847,15.67976491784066
23,230,-559872.4906366809,17.672011379082676,16.455755901095113
24,240,-560041.1554707771,18.07557297041639,17.216504498393622
25,250,-560217.3514011289,18.452606917780965,17.962131073632918
26,260,-560400.9278362463,18.805041955772303,18.692818634214927
27,270,-560591.7363366454,19.134684040630248,19.40880005719373
28,280,-560789.6310354937,19.44324051789011,20.110346781479894
29,290,-560994.4689522221,19.732320740490092,20.79775993157382
30,300,-561206.1102926238,20.003374092309958,21.47136192633916
31,310,-561424.4185619237,20.25778961525649,22.131490036725882
32,320,-561649.2607152102,20.496882958430774,22.778492375132917
