,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-523606.34926832165,-0.0,0.0
1,10,-523606.6161423458,0.23800205361912957,0.11900102680956479
2,20,-523609.253418165,0.934451808212907,0.47161500567235626
3,30,-523616.66997253895,1.9938088446302575,1.0375294318306258
4,40,-523630.84660417266,3.2750946367217697,1.77921773552589
5,50,-523653.3079206605,4.663901375046407,2.654994702620752
6,60,-523685.1907365475,6.061583263866486,3.626516778780933
7,70,-523727.2570797824,7.39266971588804,4.6596965542856195
8,80,-523779.9454240148,8.619674777030014,5.726474064699142
9,90,-523843.4500658522,9.735635711497164,6.8060723889022485
10,100,-523917.79848536727,10.749691434088163,7.884425611245388
11,110,-524002.9125439731,11.67593874535087,8.952634671374835
12,120,-524098.65031245607,12.527711222745715,10.005347127414279
13,130,-524204.83298116806,13.315662994880405,11.039475979447161
14,140,-524321.261176954,14.047644349513575,12.053318447776837
15,150,-524447.7246891165,14.72923981068015,13.04599469204404
16,160,-524584.0081681649,15.36458524893969,14.017112641429414
17,170,-524729.8943698934,15.956888958544,14.966576193945368
18,180,-524885.1666224981,16.508838678163023,15.894475309603152
19,190,-525049.6096717492,17.02288092414382,16.80102471240971
20,200,-525223.011385005,17.501197039731764,17.686525189038367
21,210,-525405.1626176558,17.9460984843434,18.551343174182694
22,220,-525595.8585415913,18.35970570647043,19.395897272117146
23,230,-525794.8986082945,18.744062131966338,20.22064292246505
24,240,-526002.0869812804,19.10121638963463,21.026064542146926
25,250,-526217.2329678584,19.433122764748976,21.812669005559293
26,260,-526440.1507816188,19.741721988189965,22.580979960627158
27,270,-526670.6603238459,20.028503673244295,23.331526676571233
28,280,-526908.586461939,20.29521899985847,24.064839517739898
29,290,-527153.7595371271,20.543536182894613,24.78145304244245
30,300,-527406.0153122591,20.77482822359892,25.481899079207512
31,310,-527665.1946623847,20.99046185406913,26.16670205262345
32,320,-527931.1439335439,21.191445408388972,26.836374223485475
33,330,-528203.7142545508,21.37908772006631,27.49141612950771
34,340,-528482.7618615893,21.554438764997734,28.132318741685594
35,350,-528768.1478924381,21.71828081474814,28.75955693684373
36,360,-529059.7379528875,21.87168745956152,29.373591528278485
37,370,-529357.4024226852,22.015439767451596,29.97487090802024
38,380,-529661.0159191409,22.15023978594107,30.563827374322866
39,390,-529970.4574283565,22.27669381760349,31.140876536509314
40,400,-530285.6099272742,22.3953673379728,31.706417266921196
41,410,-530606.3603251228,22.50699149191784,32.260834864644856
