,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-564606.2439967816,-0.0,0.0
1,10,-564606.3330888451,0.08632069048762789,0.043160345243813944
2,20,-564607.1648361443,0.41024521199287844,0.1888819934858475
3,30,-564609.9641005916,1.0565365844231565,0.4675327272212599
4,40,-564616.2905797468,2.001365933381021,0.8937928996310802
5,50,-564627.682266797,3.1353179227589867,1.4574954335796066
6,60,-564645.4299826832,4.334875718539115,2.132266869067098
7,70,-564670.4829763846,5.5090457028476525,2.8870097767678087
8,80,-564703.4685570764,6.612840790185148,3.6938155906434984
9,90,-564744.7639471312,7.635021832556231,4.531286019616528
10,100,-564794.5713354206,8.581264826207189,5.384517140513345
11,110,-564852.9783482448,9.462472606325171,6.243692773020303
12,120,-564919.9991730696,10.289123180753084,7.102518630081613
13,130,-564995.6017406541,11.06921008838981,7.95697094549978
14,140,-565079.7240879878,11.80807351902477,8.804426706446975
15,150,-565172.2842410277,12.50908128778974,9.643112994100374
16,160,-565273.1863558175,13.17426408692262,10.471778123076366
17,170,-565382.324291502,13.804938707212564,11.28950148482836
18,180,-565499.5842838645,14.401932970335487,12.095582787484453
19,190,-565624.8465506992,14.966127960450846,12.889481953748327
20,200,-565757.9865074011,15.498555652273344,13.670791317698603
21,210,-565898.8764477079,16.00006063338951,14.439209033609949
22,220,-566047.3858422423,16.47189725973294,15.194524159572028
23,230,-566203.3826506849,16.915496189444088,15.936613638960988
24,240,-566366.7340811921,17.3320389648434,16.665425962093288
25,250,-566537.3071079045,17.722929978335735,17.380968706760907
26,260,-566714.9690517499,18.089673442480816,18.083305641759946
27,270,-566899.5882530893,18.433656611506024,18.772547988516454
28,280,-567091.0342891423,18.756317781715218,19.448846245942697
29,290,-567289.1785191802,19.059121106169187,20.112386028358017
30,300,-567493.894266223,19.34336345567134,20.763380955599136
31,310,-567705.057228176,19.61012168666056,21.402062631795708
32,320,-567922.5453945778,19.860609804000717,22.028676945251938
33,330,-568146.2393199934,20.09613382301177,22.643485849545687
34,340,-568376.0222851876,20.31771159715719,23.246762602080707
35,350,-568611.7803618993,20.526224969187776,23.8387842637836
36,360,-568853.4023659118,20.722509824030567,24.41982868550258
37,370,-569100.7799466271,20.907553667246248,24.99017583096429
38,380,-569353.8074575515,21.082279092760277,25.5501087490964
39,390,-569612.3822920762,21.24719139838418,26.09990704793454
40,400,-569876.4044219204,21.403010523761594,26.639844569204435
41,410,-570145.7766287032,21.5504194202105,27.17019219368085
42,420,-570420.4043968131,21.689950685750272,27.69121588525013
43,430,-570700.1957647646,21.822211559710528,28.20317622993316
44,440,-570985.061467597,21.947683786554215,28.706328373550786
45,450,-571274.9146325093,22.06675349264703,29.200920021043565
46,460,-571569.6709781869,22.17985414227587,29.68719154207356
47,470,-571869.2483922476,22.287485223021907,30.165377819813145
48,480,-572173.5673184657,22.389907313464192,30.635706927622962
49,490,-572482.5502245161,22.487482454863528,31.09839923548716
50,500,-572796.121914839,22.580610200821027,31.55366944417765
51,510,-573114.2091853191,22.6695002238674,32.00172554838064
52,520,-573436.740999373,22.754350399889518,32.442767381343586
53,530,-573763.6481462978,22.835490003684967,32.876988363089914
54,540,-574094.8634303685,22.91314684543751,33.30457628115546
55,550,-574430.3214393547,22.987548364937656,33.72571276065137
56,560,-574769.9585627309,23.058896106528238,34.140573474011035
57,570,-575113.7129494043,23.127265907032456,34.54932722853264
58,580,-575461.5243351695,23.192849997919943,34.952136344154134
59,590,-575813.3341197395,23.256065862494786,35.34916001012461
60,600,-576169.0851765721,23.317054719140202,35.74055410337023
61,610,-576528.7221143882,23.375462331258998,36.12646504295262
62,620,-576892.1907211208,23.431631711620227,36.50703196507674
63,630,-577259.4382810575,23.48597071683921,36.88239332993543
64,640,-577630.413447419,23.53837710339576,37.25268349404651
65,650,-578005.066175166,23.588942339061667,37.61803046777496
66,660,-578383.3476594067,23.63784693701877,37.978558468390844
67,670,-578765.2103414832,23.685141826496594,38.33438785614854
68,680,-579150.6078392351,23.73087656310541,38.68563438533311
69,690,-579539.4948909804,23.775191389548123,39.032410120344146
70,700,-579931.8273582183,23.818142077419857,39.37482370218787
71,710,-580327.5621601237,23.85983774319175,39.71298031481566
72,720,-580726.6572441028,23.90031954534362,40.04698178246326
73,730,-581129.0715913759,23.939530151736108,40.3769256083513
74,740,-581534.7650852903,23.9776957891763,40.70290645098721
75,750,-581943.6985733961,24.01488392977642,41.02501713522069
76,760,-582355.8338431206,24.05092999804765,41.34334616403794
77,770,-582771.1334935122,24.08615693204047,41.657979583098495
78,780,-583189.5609851604,24.120505978219555,41.96900182760582
79,790,-583611.0807029436,24.153832293479354,42.27649281195917
80,800,-584035.6576174455,24.186499348143116,42.58053078917292
81,810,-584463.2577008781,24.21828876382485,42.88119201975205
82,820,-584893.8474994046,24.24942002257437,43.17854994661611
83,830,-585327.3943475848,24.280025717589947,43.472677478993134
84,840,-585763.8663667405,24.30965526024835,43.76364302308939
85,850,-586203.2322115048,24.33852623886196,44.05151115342451
86,860,-586645.4612603909,24.367184219992303,44.336348630527205
87,870,-587090.5234995373,24.395315032559967,44.618221266182076
88,880,-587538.3897280971,24.422591699077685,44.89718895170226
89,890,-587989.0310243663,24.449204053939447,45.17330875621992
90,900,-588442.4193738484,24.475769622833532,45.446640333079266
91,910,-588898.5269555117,24.50196066982449,45.71724298851041
92,920,-589357.327139432,24.526912392559396,45.985167582953
93,930,-589818.7929792592,24.5516587348975,46.25046418511047
94,940,-590282.8987799688,24.576331482542713,46.513187517812185
95,950,-590749.618856226,24.60083394894907,46.77339075868804
96,960,-591218.9284339026,24.624759987182642,47.031122790370134
97,970,-591690.802979066,24.647904125833815,47.28642780083173
98,980,-592165.2184044976,24.67093081775827,47.53935094903572
99,990,-592642.1511860817,24.69355641756258,47.789937976446524
100,1000,-593121.5781427734,24.715998615429413,48.0382329009255
101,1010,-593603.4765876095,24.738192173498316,48.28427919189125
102,1020,-594087.8242804953,24.760009920015072,48.52811808742699
103,1030,-594574.5992929684,24.781715837505107,48.76979027651832
104,1040,-595063.780226029,24.80241722699691,49.00933225847693
105,1050,-595555.3459656428,24.82367635153052,49.24678263161768
106,1060,-596049.2755628038,24.84553097737401,49.482186515080684
107,1070,-596545.5492769274,24.864967718412164,49.71557385385386
108,1080,-597044.1465716456,24.884813435201067,49.94697276139778
109,1090,-597545.0479032468,24.90534911242698,50.1764249517044
