,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-637296.5934167476,-0.0,0.0
1,10,-637296.7768485602,0.06445023352280259,0.032225116761401294
2,20,-637297.6997303447,0.23925769326160662,0.12426465683820423
3,30,-637299.7217215262,0.5691750625614076,0.27894159058050716
4,40,-637303.591197807,1.1193021604209208,0.5137168710600235
5,50,-637310.2555953264,1.8647793809504944,0.8401075792076881
6,60,-637320.6756868735,2.744097275059903,1.2552602902243961
7,70,-637335.7077041742,3.6926399611518725,1.7476950603711885
8,80,-637356.0541577737,4.660609181807376,2.302743131459283
9,90,-637382.2606128,5.617007219977675,2.9060871619876707
10,100,-637414.735674583,6.546123849519063,3.54544931112905
11,110,-637453.777997959,7.441884398518597,4.211022976264939
12,120,-637499.6016867904,8.303036504157351,4.895250303264765
13,130,-637552.3567809309,9.13013096282084,5.5923690407900715
14,140,-637612.1444873449,9.9240433045954,6.297958041996752
15,150,-637679.0282745576,10.685372946652937,7.008567258239781
16,160,-637753.0416973411,11.414398080715905,7.721446296483919
17,170,-637834.194096042,12.111223997446361,8.434358707019419
18,180,-637922.4749025392,12.775888937182023,9.145456981343159
19,190,-638017.8569151674,13.40853738833976,9.853199032215343
20,200,-638120.298972042,14.009509349241862,10.556293013007963
21,210,-638229.7482340578,14.5793119230395,11.253657221097093
22,220,-638346.1420602434,15.118672646558847,11.944389891967878
23,230,-638469.4096708968,15.628528015661855,12.627746697516706
24,240,-638599.4736441658,16.109928582399156,13.303120818686148
25,250,-638736.2511564587,16.564066581995586,13.970025662459376
26,260,-638879.6551090588,16.992193291732104,14.628079942017212
27,270,-639029.5951485519,17.395585239349742,15.276993357330504
28,280,-639185.9784097853,17.775640806951575,15.916555981992861
29,290,-639348.7103780366,18.133629279289735,16.546626919937264
30,300,-639517.6954830931,18.470802085561413,17.167122402040697
31,310,-639692.8375099755,18.78850403999968,17.77800949120865
32,320,-639874.0402925151,19.087916139420145,18.379298568629018
33,330,-640061.2078729338,19.370172785202158,18.971034724749913
34,340,-640254.2449971113,19.636366563499905,19.553292287714427
35,350,-640453.0572332075,19.88757653231735,20.126170620412445
36,360,-640657.5513094292,20.124800270050777,20.689789971450224
37,370,-640867.6352523753,20.348891848346117,21.24428611128969
38,380,-641083.2185109361,20.560752644092968,21.789807355268564
39,390,-641304.2120735412,20.76121534145785,22.326513001724376
40,400,-641530.5286099631,20.950963297160357,22.85456947039347
41,410,-641762.0824489036,21.130771288173868,23.374148844390582
42,420,-641998.7896722873,21.301224511954963,23.885427183267893
43,430,-642240.5682108885,21.462899652641482,24.388581789974705
44,440,-642487.337615099,21.616480469924817,24.883792214108688
45,450,-642739.0194609225,21.762485940751517,25.371239436972242
46,460,-642995.5369037925,21.901316537382097,25.85110262476373
47,470,-643256.8151429037,22.033362046984205,26.32355788179847
48,480,-643522.780815562,22.15920330751689,26.78878038483672
49,490,-643793.3626223718,22.279015618463745,27.246942313355976
50,500,-644068.4907300877,22.39343826891851,27.698213590111116
51,510,-644348.0970533651,22.502976817666806,28.14276539258135
52,520,-644632.1153952286,22.60709664811153,28.58075874167116
53,530,-644920.4808779409,22.706716587804802,29.012348978412046
54,540,-645213.1301347142,22.802458718855632,29.437697162870606
55,550,-645510.0018471113,22.893643090486915,29.85695506799238
56,560,-645811.0355843619,22.981111153564356,30.27026758853026
57,570,-646116.1727385293,23.065362066740654,30.67778381840035
58,580,-646425.356113405,23.14575255053357,31.079643905401465
59,590,-646738.5298489415,23.222915691667026,31.475980625243395
60,600,-647055.639230414,23.297481675515925,31.86693067614106
61,610,-647376.6313089752,23.36880486945434,32.25262393766752
62,620,-647701.4540018733,23.43740964947488,32.63318288670561
63,630,-648030.0565754806,23.503624063474305,33.008730953763
64,640,-648362.3896827839,23.56714856158942,33.379386000816886
65,650,-648698.4047778994,23.628742401662564,33.74526390589017
66,660,-649038.0548315455,23.688088726624944,34.106478680451985
67,670,-649381.293744873,23.745067779708375,34.46313589643397
68,680,-649728.0763977171,23.800256295653526,34.815339779316865
69,690,-650078.3588717151,23.853402170745543,35.16319240421145
70,700,-650432.0981146509,23.904819167248053,35.506791852916656
71,710,-650789.2520577867,23.954870651164523,35.84623683344544
72,720,-651149.7797282517,24.00305751215211,36.18162100502668
73,730,-651513.6409456335,24.049552071181928,36.51303186380828
74,740,-651880.7963738038,24.09491785938735,36.84055832224985
75,750,-652251.2076702317,24.138755486128453,37.164286857873954
