,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-579365.238270204,-0.0,0.0
1,10,-579365.254068862,0.017292757338145746,0.008646378669072873
2,20,-579365.4173855437,0.09790865347604268,0.04176992070715642
3,30,-579365.9773764713,0.3360665653715841,0.12225817830476444
4,40,-579367.5546739529,0.8375583823188208,0.2829640703232144
5,50,-579371.1815716189,1.6230870012077503,0.5499675682338421
6,60,-579378.0675461852,2.6240881143312436,0.9309502778822207
7,70,-579389.3704627762,3.7445139745075724,1.4170895713032223
8,80,-579406.0743391798,4.90442570685409,1.991081461875001
9,90,-579428.9565766449,6.05225844696688,2.6338446489404306
10,100,-579458.6032607086,7.1603503445803645,3.3280987465564977
11,110,-579495.4416169446,8.216357807556053,4.059587073219882
12,120,-579539.7735836158,9.216195729619358,4.817066038055055
13,130,-579591.8043219991,10.159642240306125,5.591829664236866
14,140,-579651.664558955,11.04804999516928,6.37715834913106
15,150,-579719.427464716,11.883332558456463,7.167842648526131
16,160,-579795.1213914233,12.66757237282581,7.959815370458818
17,170,-579878.7394942555,13.402908098939223,8.74988018649019
18,180,-579970.2471548236,14.091536407551036,9.535514932747173
19,190,-580069.5877781454,14.735718739349977,10.314728571711747
20,200,-580176.6874435741,15.337754561449406,11.085954507836139
21,210,-580291.4586278024,15.899980440436055,11.847969334739899
22,220,-580413.8032414474,16.424751038465168,12.599830093936177
23,230,-580543.6151544888,16.914404136041412,13.340824328004961
24,240,-580680.7822230271,17.371223226073198,14.070429249621522
25,250,-580825.1880361944,17.797416163084545,14.788278056759738
26,260,-580976.7132433169,18.195137310854616,15.494132866768634
27,270,-581135.236783761,18.56640408199746,16.187861651330607
28,280,-581300.6367825464,18.913133939891132,16.869418483786287
29,290,-581472.7913151527,19.237166444785544,17.538828301957984
30,300,-581651.5790845472,19.540143304358946,18.196172640561418
31,310,-581836.8798692268,19.823644401392116,18.84157789565652
32,320,-582028.5749109539,20.089181019086368,19.4752075491022
33,330,-582226.5473193028,20.338040038527073,20.09725312432129
34,340,-582430.6822136344,20.571498889697274,20.707927288612705
35,350,-582640.8669391224,20.790751396445593,21.30746006534319
