,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-528506.2325104999,-0.0,0.0
1,10,-528506.2601696292,0.04824287995870691,0.024121439979353454
2,20,-528506.6774564099,0.2456376141053624,0.10965228348504752
3,30,-528508.2452030863,0.6704213058779716,0.28279857132438335
4,40,-528512.035154602,1.3283190921065398,0.560575342150696
5,50,-528519.1691872884,2.1673829260253115,0.9433535212665447
6,60,-528530.6760437152,3.1257966305944143,1.4205748664186104
7,70,-528547.4322348987,4.150547116002418,1.9775255701111747
8,80,-528570.1555770324,5.201646301406435,2.599096115092107
9,90,-528599.4126946004,6.251096557395067,3.271482151007513
10,100,-528635.6433418565,7.281063249858562,3.9828184555779447
11,110,-528679.1758056683,8.28242552638694,4.723345505633915
12,120,-528730.2553596802,9.247650590375997,5.485138167795958
13,130,-528789.0568277413,10.170511682206417,6.2616304686336655
14,140,-528855.6928794717,11.049432677886216,7.047426590511167
15,150,-528930.2317319134,11.882246749519254,7.838124077800602
16,160,-529012.7002069143,12.667270367499448,8.630051168435603
17,170,-529103.0926274175,13.404095246922223,9.420141462917673
18,180,-529201.3757102757,14.094187569839413,10.205884768688703
19,190,-529307.4925705615,14.740138880087768,10.985288370543277
20,200,-529421.371630459,15.34182245866395,11.756732323591132
21,210,-529542.9243850319,15.900784458511039,12.518867991212755
22,220,-529672.0511955596,16.42145923785284,13.270673080046253
23,230,-529808.6434079948,16.90618045715964,14.011413724836892
24,240,-529952.5879592744,17.35506091914138,14.740503156097837
25,250,-530103.7644839266,17.771698552533042,15.457500896297276
26,260,-530262.0498245212,18.15983302950628,16.162162425607672
27,270,-530427.3202775425,18.52003211331612,16.854353541521412
28,280,-530599.4498944287,18.854998385091292,17.53401349890919
29,290,-530778.3131557707,19.167107053336824,18.20117726163153
30,300,-530963.785676315,19.456541143648813,18.855920310347575
31,310,-531155.7434230379,19.725977628928376,19.4983569255739
32,320,-531354.0635130594,19.977830347232498,20.12867145424825
33,330,-531558.6265646651,20.211918070918145,20.747066236316456
34,340,-531769.3136377379,20.431825548305678,21.353775441978357
35,350,-531986.0090009237,20.637408121256158,21.949063580765504
36,360,-532208.6012042379,20.826597171847204,22.53314199083688
37,370,-532436.9770464638,21.006879239709868,23.10627703137288
38,380,-532671.0294342622,21.177049527637468,23.668799166376992
39,390,-532910.6552317224,21.33332613431265,24.220948736107673
40,400,-533155.7492953682,21.48219569900533,24.762980363554377
41,410,-533406.2137514778,21.621125078963814,25.295180066852478
42,420,-533661.9513521732,21.74940520998792,25.817773814508108
43,430,-533922.866051798,21.87363491341239,26.331039897119624
44,440,-534188.8671282259,21.991745804657725,26.8352906914617
45,450,-534459.8659194795,22.100853465555684,27.33076193229353
46,460,-534735.7754004645,22.204000737977896,27.817674804908158
47,470,-535016.5109902415,22.301039396470845,28.29626773897907
48,480,-535301.9914994319,22.39184785494581,28.76676125409722
49,490,-535592.1356690006,22.480438750912505,29.229401901405073
50,500,-535886.8674716117,22.56575078354217,29.684451641392663
51,510,-536186.1117263318,22.64291386065299,30.132098500803114
52,520,-536489.7960444184,22.715000700671226,30.572501320653828
53,530,-536797.846931789,22.786311191593995,31.00587998885021
54,540,-537110.197694687,22.852657483646123,31.43244386917504
55,550,-537426.7793532398,22.917716246840545,31.852385424550448
56,560,-537747.5272393881,22.981723721139133,32.26592226131761
57,570,-538072.3792046884,23.036331275387703,32.67318930447655
58,580,-538401.2723010328,23.08901233897773,33.07430559565837
59,590,-538734.144902646,23.144719609717182,33.46949049708492
60,600,-539070.940819463,23.195485323609404,33.85892789972277
61,610,-539411.6019359322,23.240624431168587,34.24272053231981
62,620,-539756.0729947756,23.285861666541358,34.621006660875
63,630,-540104.2987229438,23.332451953898865,34.993974057973546
64,640,-540456.2283066473,23.373070720210535,35.361754363085495
65,650,-540811.8097651642,23.41127875047091,35.72444323770615
66,660,-541170.9917877191,23.451120127318568,36.08218999828969
67,670,-541533.7277481541,23.485404214199026,36.43511420980795
68,680,-541899.968068868,23.520625422161583,36.78332419552463
69,690,-542269.6668679883,23.559784980039694,37.126993050253084
70,700,-542642.78001203,23.591530740697486,37.46622706368071
71,710,-543019.2638341878,23.61748595088128,37.801058321140594
72,720,-543399.072829901,23.64848899471113,38.131604262757165
73,730,-543782.166426275,23.67948765005572,38.45801815235171
74,740,-544168.5036972135,23.704964870668377,38.78037510548601
75,750,-544558.0440800884,23.734277529583725,39.09877230390847
76,760,-544950.7480590506,23.761430601612773,39.41332602209876
77,770,-545346.5800152508,23.780905450874926,39.72407268739188
78,780,-545745.4984369939,23.80923800396844,40.03111747189686
79,790,-546147.4696675306,23.833203249258748,40.33458385097474
80,800,-546552.4586805803,23.848622294142956,40.63448079885275
81,810,-546960.4267644936,23.875484798962134,40.9309142239872
82,820,-547371.3432353137,23.898804269393324,41.224018176060056
83,830,-547785.1742243202,23.915746114204985,41.51381335206097
84,840,-548201.8857433492,23.93873140728101,41.80037656063796
85,850,-548621.4473449248,23.9583745174461,42.08380062429933
86,860,-549043.827647293,23.970553985191692,42.364095925068256
87,870,-549468.994994714,23.99065988053917,42.64133696666396
88,880,-549896.9186461136,24.014963364437904,42.91566297777899
89,890,-550327.5728329541,24.03276871405251,43.18712718783208
90,900,-550760.9255373726,24.046566150966164,43.455734776577444
91,910,-551196.95191556,24.058187558103107,43.72151465447532
92,920,-551635.6197913653,24.07795216399245,43.98456093387503
93,930,-552076.9060256641,24.095316287042806,44.24496408076956
94,940,-552520.782720212,24.10760034458376,44.50274070871673
95,950,-552967.2237126657,24.125101660756627,44.757946844710375
96,960,-553416.2042023968,24.142802726291052,45.01066482817696
97,970,-553867.6993372088,24.1603232541705,45.260946341109225
98,980,-554321.6851857175,24.160850804665685,45.50875373680464
99,990,-554778.1379816504,24.182063321975875,45.75415501670649
100,1000,-555237.0277407953,24.223035697359663,45.99740182813256
101,1010,-555698.3471567272,24.21918224788373,46.23841394844057
102,1020,-556162.059510152,24.219574773725107,46.477034296015326
103,1030,-556628.1480871497,24.23871071696616,46.713421346025996
104,1040,-557096.589151969,24.26257018242009,46.94773196231399
105,1050,-557567.3621091128,24.282722873657043,47.18001094802894
106,1060,-558040.4505515484,24.285099828947644,47.410195319396735
107,1070,-558515.8266921706,24.300259242521285,47.63830029036326
108,1080,-558993.4761397425,24.31884349471649,47.864440142047535
109,1090,-559473.375484291,24.33695693201727,48.08866479756834
110,1100,-559955.5087070088,24.354191136459278,48.31100308348977
111,1110,-560439.855269781,24.369109163832036,48.53147471429111
112,1120,-560926.3973437792,24.385572136938492,48.75010963761597
113,1130,-561415.1167162309,24.396300867045728,48.96692203286657
114,1140,-561905.9951134557,24.41673801551822,49.181961222999966
115,1150,-562399.0140213948,24.43933321603973,49.3953101497129
116,1160,-562894.1601596288,24.46178141337562,49.60700683320611
117,1170,-563391.411964199,24.47605410067165,49.81704406799254
118,1180,-563890.7603028411,24.480236443638653,50.02537240522943
119,1190,-564392.1777887471,24.512763839616927,50.23209702671739
120,1200,-564895.6588312885,24.551786162657834,50.43739094177727
121,1210,-565401.1831977791,24.57942661740526,50.64125792937266
122,1220,-565908.7412884567,24.592833808710566,50.84361611045169
123,1230,-566418.3140370979,24.613642671075475,51.04446187095891
124,1240,-566929.8869698246,24.653742860013153,51.24392758243921
125,1250,-567443.4493130576,24.684043451270732,51.44207400971209
126,1260,-567958.9854714698,24.715575305063886,51.63888786329917
127,1270,-568476.4834829217,24.760262616802446,51.834446891966216
128,1280,-568995.9301874976,24.812203377857713,52.02885091029602
129,1290,-569517.3161606967,24.862070891261013,52.22213819559839
130,1300,-570040.628717081,24.90701408925816,52.414299019491594
131,1310,-570565.8580077402,24.970113972577472,52.60540100604849
132,1320,-571092.9909433073,25.056170153897256,52.795616520001204
133,1330,-571622.0243170655,25.140761793320035,52.98504039751278
134,1340,-572152.945948368,25.244768922898125,53.173751438558966
135,1350,-572685.7517577572,25.379960994745776,53.3619481930611
136,1360,-573220.4367053461,25.55391359780944,53.54989626035386
137,1370,-573756.9991868917,25.781838118500406,53.73793877181306
138,1380,-574295.4433192647,26.072381213289628,53.926498220839136
139,1390,-574835.7741600025,26.53756239383326,54.11642222769442
140,1400,-575378.0071451291,24.734889298444713,54.30021997557779
141,1410,-575922.1858417158,19.510380623923666,54.45774461282272
142,1420,-576467.6380822217,17.698002834245663,54.589247271104256
143,1430,-577014.1323831805,21.027648474811475,54.72508742890787
144,1440,-577562.2543722254,23.096917381044477,54.878808305118575
145,1450,-578111.9607843586,23.27584021537051,55.0392674528979
146,1460,-578663.2864726126,14923.398477611405,106.22705800379771
147,1470,-579216.2101069753,,
148,1480,-583852.9208956332,,
149,1490,,,
150,1500,,,
151,1510,,,
152,1520,,,
153,1530,,,
154,1540,,,
155,1550,,,
156,1560,,,
157,1570,,,
158,1580,,,
159,1590,,,
160,1600,,,
161,1610,,,
162,1620,,,
163,1630,,,
