,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-611709.5967858315,-0.0,0.0
1,10,-611709.6297368214,0.01933223042578902,0.00966611521289451
2,20,-611709.848092708,0.0990771074371878,0.044101507285085974
3,30,-611710.4689280182,0.3235708654567134,0.12279926172050182
4,40,-611712.0809417333,0.7852771265199407,0.2748873801116133
5,50,-611715.6223974212,1.4958953192544866,0.5226365528520546
6,60,-611722.1665620238,2.3982896886533123,0.872083558831946
7,70,-611732.7430293781,3.4148550255282317,1.315859248995548
8,80,-611748.2407802386,4.478094073478133,1.8396583446970909
9,90,-611769.3771186238,5.5414005845464995,2.427394812319835
10,100,-611796.7054688209,6.5777929571049745,3.064140048205445
11,110,-611830.6396549119,7.57409096363117,3.7373065580439286
12,120,-611871.4813292315,8.525158204114993,4.436798345198621
13,130,-611919.4443401587,9.429878962953808,5.154700922791379
14,140,-611974.6743836559,10.288843074021866,5.884847256427746
15,150,-612037.2640375992,11.103230995431659,6.622413637490535
16,160,-612107.2641325775,11.874346110085028,7.3635946532784144
17,170,-612184.6923510275,12.603498033600047,8.105359087853866
18,180,-612269.5397467742,13.292049422574927,8.845273801560687
19,190,-612361.7759539466,13.941385214109314,9.581375954898247
20,200,-612461.3532485768,14.552971044031437,10.312078789265067
21,210,-612568.209841527,15.128387087525342,11.036102757925981
22,220,-612682.2726924673,15.669276053848447,11.752422360800846
23,230,-612803.4597045123,16.177359759321558,12.460224005013878
24,240,-612931.6817291831,16.654360029799847,13.158871572866337
25,250,-613066.8441062093,17.102022541366743,13.847877857647836
26,260,-613208.8480326151,17.522100831859298,14.526881786010927
27,270,-613357.5917439726,17.916281540540524,15.195628255038173
28,280,-613512.9714142501,18.286230812512784,15.853951082467393
29,290,-613674.8820210552,18.633530924562365,16.50175869296654
30,300,-613843.21798276,18.959676458645855,17.139021075172057
31,310,-614017.8737201027,19.26610668756182,17.765759339067152
32,320,-614198.7441198815,19.5541600126773,18.38203674551623
33,330,-614385.7249116503,19.825129747917536,18.98795124947064
34,340,-614578.7129570189,20.080249047913846,19.583629783343348
35,350,-614777.6065634984,20.320592960284543,20.16922174860665
36,360,-614982.3056165655,20.54711431979665,20.744892521528524
37,370,-615192.7117501582,20.76081737651839,21.310820695472643
38,380,-615408.7284031342,20.962669360102154,21.86719687848526
39,390,-615630.2610637116,21.15344125130797,22.414219440089067
40,400,-615857.2171574503,21.333912350120983,22.952091309225942
41,410,-616089.5062144458,21.504745266211103,23.481018204653807
42,420,-616327.0398241165,21.666601359337786,24.00120692617347
43,430,-616569.7316044641,21.820154614769823,24.512865384720495
44,440,-616817.4973492202,21.965945426165142,25.016201129005637
45,450,-617070.2548127287,22.104451219638577,25.511419158763598
46,460,-617327.9239156204,22.236156256124328,25.998721522925184
47,470,-617590.4264220775,22.361554431085843,26.478307750461674
48,480,-617857.6862700694,22.48095226529989,26.950373213484998
49,490,-618129.6291415803,22.594817979514463,27.415109166719773
50,500,-618406.1827514062,22.70353776752021,27.872703911532877
51,510,-618687.2766104542,22.80738546497598,28.32334110749216
52,520,-618972.842062957,22.906623773800675,28.767198923601242
53,530,-619262.8122247908,23.001514450111447,29.204450340766922
54,540,-619557.1218543338,23.092462435446137,29.635264856732096
55,550,-619855.7074726747,23.179606088277048,30.059807645068208
56,560,-620158.5071734405,23.263240594486746,30.478238842087737
57,570,-620465.4606158955,23.343574564147275,30.890714545326773
58,580,-620776.5090929719,23.42054283351758,31.29738397458132
59,590,-621091.5952149507,23.494531547810872,31.698391405462466
60,600,-621410.6631110092,23.56593171850541,32.093880369341065
61,610,-621733.6583099706,23.634740617891527,32.48399051577581
62,620,-622060.5277501921,23.700895808060842,32.86885415440629
63,630,-622391.2195955596,23.76461774797949,33.248598488287826
64,640,-622725.6832898963,23.82618221379812,33.623348614198036
65,650,-623063.8695273378,23.885552661144036,33.99322568321367
