,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-530317.6497409501,-0.0,0.0
1,10,-530318.1241604451,0.38270073089806833,0.19135036544903417
2,20,-530322.2851674026,1.5610679276578594,0.7729677128125332
3,30,-530334.3810286709,3.4208359568961897,1.7333740208763628
4,40,-530358.1419524082,5.625172642443795,3.006659927331202
5,50,-530396.2490429888,7.8307460554351564,4.492881113180192
6,60,-530450.2504638383,9.813738974853184,6.093767299961473
7,70,-530520.76302575,11.493063519391583,7.732511989727209
8,80,-530607.7839017675,12.881419557007028,9.35853382056812
9,90,-530710.9516571936,14.027749976370247,10.94294198601274
10,100,-530829.7244374816,14.985080315411325,12.471515444914985
11,110,-530963.4858440877,15.79834712153534,13.938876148028067
12,120,-531111.6052944574,16.501972924824802,15.344565040571617
13,130,-531273.4685659691,17.12087912701827,16.690642596811813
14,140,-531448.4927278493,17.672794193401938,17.980309169043903
15,150,-531636.1309159338,18.17027793999295,19.217156321569927
16,160,-531835.8738589366,18.622255696868535,20.404777743430166
17,170,-532047.247340405,19.035441756845103,21.546589167982162
18,180,-532269.8106292661,19.414758119441103,22.64575393865816
19,190,-532503.1530395983,19.763910782459433,23.70515569063718
20,200,-532746.8913065277,20.086255554808297,24.727414994835268
21,210,-533000.6669720177,20.38423687361063,25.71491035688668
22,220,-533264.1444948989,20.65985162812285,26.66979141252522
23,230,-533537.0080222917,20.91581307763992,27.594025083626903
24,240,-533818.9610498666,21.153645614208628,28.489417622567274
25,250,-534109.7243996572,21.3742167233431,29.35760290733015
26,260,-534409.0336808581,21.57939758786816,30.20007565694832
27,270,-534716.6395237801,21.77094564838921,31.018229732254987
28,280,-535032.3053850617,21.94958904016527,31.81335233955615
29,290,-535355.8079007154,22.11590763457055,32.58661803902214
30,300,-535686.9336450369,22.27168273885038,33.3391215036565
31,310,-536025.4809778363,22.417658318980852,34.07189135014778
32,320,-536371.2574819973,22.55418668780476,34.78587565132184
33,330,-536724.0800656914,22.682444885128717,35.481958225669224
34,340,-537083.7740523174,22.803142746776555,36.16097196753108
35,350,-537450.1730261345,22.916397991691966,36.82368941620953
36,360,-537823.1178493984,23.02330948185408,37.470834717624534
37,370,-538202.456155711,23.124054541578516,38.10309012840735
38,380,-538588.0431014593,23.21867538220834,38.7210862385502
39,390,-538979.7382631702,23.30887802856747,39.325426894755225
40,400,-539377.4090644488,23.39416046580297,39.91668567017477
41,410,-539780.9269121973,23.474667715525662,40.4953891115525
42,420,-540190.1691879041,23.55148642231373,41.06204038546856
43,430,-540605.0176760687,23.62416339768685,41.61711479822115
44,440,-541025.3592984283,23.69312743510818,42.16105445710272
45,450,-541451.0844058915,23.759569496935065,42.694289758225196
