,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-496089.0846940999,-0.0,0.0
1,10,-496090.34852762223,0.7306965255891553,0.36534826279457766
2,20,-496099.7543314357,2.498489535957924,1.3553189095786364
3,30,-496122.10405569046,4.706918990220583,2.7644277919382145
4,40,-496160.3937594907,7.063046526751712,4.431795106152276
5,50,-496216.6185036283,9.302353629107527,6.244911284906992
6,60,-496291.6636528132,11.23020439653774,8.11099701419589
7,70,-496385.551780599,12.81156730978692,9.9619593312731
8,80,-496497.8015754459,14.097823746548961,11.758185266131477
9,90,-496627.6940136256,15.157815366350405,13.48140010397692
10,100,-496774.4286168114,16.050402445165677,15.126021079921337
11,110,-496937.2043149471,16.818896606456835,16.693036502473113
12,120,-497115.25726795755,17.492941703356337,18.186404373739787
13,130,-497307.8742402921,18.09254569146432,19.611144086692363
14,140,-497514.39572478156,18.63143547544314,20.972419638509017
15,150,-497734.21353699546,19.11920995257244,22.275135046765353
16,160,-497966.76685439254,19.562796047027234,23.523779421654034
17,170,-498211.53739357233,19.96755182909692,24.722397734273542
18,180,-498468.0449741211,20.337889699952186,25.87462005097768
19,190,-498735.8437250412,20.677280811910155,26.983700400266386
20,200,-499014.518404294,20.988942045631127,28.052562920141643
21,210,-499303.6811740088,21.275680402510634,29.08385029038982
22,220,-499602.96971855813,21.539795373182294,30.079954913433177
23,230,-499912.043728505,21.78356544847334,31.043051487988123
24,240,-500230.58429713716,22.008818718034334,31.975124315232822
25,250,-500558.29074465076,22.217283679056,32.87798704543966
26,260,-500894.88024024625,22.410673541887007,33.75330721021091
27,270,-501240.085414683,22.590533595850847,34.60262491613903
28,280,-501593.65414265054,22.75790028097694,35.42735920732302
29,290,-501955.34754189424,22.9137064570154,36.22881418820034
30,300,-502324.9393311705,23.059375232565777,37.0082010131744
31,310,-502702.21478146,23.195743475599716,37.766648828484904
32,320,-503086.9703533339,23.323459766618953,38.50520278210606
33,330,-503479.0120126072,23.443546141540015,39.22483708552827
34,340,-503878.1557002056,23.556247054002597,39.92645772795004
35,350,-504284.22566331987,23.662556529867334,40.61090964765826
36,360,-504697.0542789055,23.763078356377108,41.27898892446319
37,370,-505116.482235781,23.85770943367822,41.931433158246364
38,380,-505542.3562780014,23.947493983324936,42.568933242123606
39,390,-505974.53092654876,24.032725374765786,43.192143710946404
40,400,-506412.8661655008,24.11349436501041,43.80167425428808
41,410,-506857.22856641887,24.190117436277884,44.39809436600044
42,420,-507307.48954736517,24.263362701315693,44.98194535411822
43,430,-507763.52632086095,24.33313787959481,45.55373837380248
44,440,-508225.220893707,24.399507316050617,46.113948966110186
45,450,-508692.45955240034,24.463160435472737,46.66302898842915
46,460,-509165.13361033617,24.523852143416363,47.20140549241115
47,470,-509643.1378154379,24.581966826820214,47.72947938805738
48,480,-510126.3714157857,24.63772015201397,48.247632591699215
49,490,-510614.73690130684,24.691431466011377,48.7562288922556
50,500,-511108.1406546952,24.743066029768634,49.25561293485953
51,510,-511606.49225776026,24.792069279249663,49.74610309789496
52,520,-512109.70434642857,24.83954896585783,50.228004417612105
53,530,-512617.6923744327,24.885835541873455,50.701618268005404
54,540,-513130.37538352027,24.92985900817439,51.16722232927277
55,550,-513647.67425377824,24.97205511014185,51.625073039945704
56,560,-514169.51298284024,25.012932269030756,52.07542147516724
57,570,-514695.81762774935,25.052992489036114,52.51851431957839
58,580,-515226.5169623524,25.091542599443223,52.95458381330681
59,590,-515761.5420490812,25.127929757464237,53.3838387722928
60,600,-516300.8254540021,25.163735582056646,53.80648512607658
61,610,-516844.30235499435,25.19872176033382,54.22272982226859
62,620,-517391.90976937313,25.23218308189248,54.632762069378074
63,630,-517943.5864128815,25.26453756215333,55.036759619686926
64,640,-518499.27291253896,25.295859911944717,55.43489572812323
65,650,-519058.9114469986,25.326438248543223,55.82733838944333
66,660,-519622.44596814975,25.355987554084226,56.21424796000502
67,670,-520189.82198157633,25.384578702518727,56.59577592930509
68,680,-520760.98628894484,25.41245179836997,56.97206934702481
69,690,-521335.8874885138,25.439255072527203,57.34326803830991
70,700,-521914.4751107978,25.465597342452284,57.70950759024636
71,710,-522496.70038969617,25.491053540490874,58.07091917567377
72,720,-523082.5157025607,25.515549633116564,58.42762495412316
73,730,-523671.8744478028,25.539690075832286,58.77974565510085
