,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-490876.11745674425,-0.0,0.0
1,10,-490876.74042111484,0.3594284837279702,0.1797142418639851
2,20,-490881.15211804904,1.348002755639027,0.696429172637727
3,30,-490892.36348920513,2.835655596606375,1.5060391276485463
4,40,-490913.1468344666,4.677176210470497,2.563295420058421
5,50,-490945.7952985835,6.648542452283437,3.812796691595577
6,60,-490991.9133129889,8.550263713000458,5.1901729129072915
7,70,-491052.41544758016,10.27177319804614,6.636392974565387
8,80,-491127.6815495978,11.78234810217982,8.10648781652635
9,90,-491217.7314434228,13.093082269984004,9.570278032356144
10,100,-491322.36152671766,14.229188404729944,11.009130912036198
11,110,-491441.2389160209,15.217357582466505,12.412288404202991
12,120,-491573.9582574564,16.08186669793794,13.774064255214034
13,130,-491720.08223437343,16.84200759196973,15.091911557062847
14,140,-491879.16121052165,17.513587836895017,16.36516635972002
15,150,-492050.7471145474,18.10992741258815,17.5943158866954
16,160,-492234.402985978,18.641307815187616,18.780521003006285
17,170,-492429.7051344883,19.116531994374256,19.925312813241906
18,180,-492636.2480309723,19.54284911229043,21.03042067403876
19,190,-492853.64322971005,19.926585514524763,22.097661423154204
20,200,-493081.5216295495,20.27304845655454,23.128871463897667
21,210,-493319.5320312782,20.586472732946277,24.125851788000727
22,220,-493567.3413250398,20.870491072733397,25.090335243252046
23,230,-493824.63316186145,21.128897005940985,26.023988433769407
24,240,-494091.10736793507,21.364860142534624,26.92841353469412
25,250,-494366.48020028113,21.58020367671267,27.805118861197844
26,260,-494650.4815110679,21.77755486545212,28.65552206676002
27,270,-494942.85556458356,21.958866088445966,29.4809668670925
28,280,-495243.35958476295,22.125310028908977,30.28270735734186
29,290,-495551.76258235035,22.278992053361435,31.061922731930824
30,300,-495867.8452442136,22.42140188114723,31.81973331592744
31,310,-496191.39924432867,22.552979654788192,32.55718108364744
32,320,-496522.2261061724,22.674680669605664,33.27523070547759
33,330,-496860.1365252164,22.7881701146689,33.97479789570789
34,340,-497204.9503189683,22.893863972398734,34.656747670657936
35,350,-497556.49583048554,22.992481392102487,35.321886160727445
36,360,-497914.6084893787,23.08491077083743,35.9709739413207
37,370,-498279.13225734566,23.17095179053285,36.60471867216911
38,380,-498649.9165606456,23.251762356518938,37.22378388384459
39,390,-499026.81836181716,23.32809009169726,37.82880620347642
40,400,-499409.7001712352,23.399655970628288,38.42037998120796
41,410,-499798.43071253656,23.46688140112671,38.99905716134236
42,420,-500192.8834377954,23.53045255690813,39.56536307704519
43,430,-500592.9375816961,23.590522450009303,40.11979591282798
44,440,-500998.4766591717,23.64753614604706,40.66282631506911
45,450,-501409.3891229021,23.70142242715513,41.19489745480824
46,460,-501825.56764068076,23.75253978427797,41.716426373151634
47,470,-502246.9085951545,23.8013181439209,42.227811665584895
48,480,-502673.31300461094,23.847299309936318,42.7294265455661
49,490,-503104.6845083805,23.89160309166324,43.22162778166022
50,500,-503540.9311179661,23.933506172834385,43.70475471167084
51,510,-503981.963771069,23.972906891354032,44.17911827233402
52,520,-504427.69603625947,24.011558623978488,44.64502714265328
53,530,-504878.04531367234,24.04838981130888,45.102779116031165
54,540,-505332.9313842636,24.08301782370836,45.55264162379972
55,550,-505792.27658443514,24.116653532481074,45.99487483441554
56,560,-506256.0060047298,24.148962979507672,46.429732880144726
57,570,-506724.0472395852,24.17949317239254,46.857449438334875
58,580,-507196.329884467,24.209067506459583,47.27824911345087
59,590,-507672.7859601194,24.237622103183863,47.6923515484108
60,600,-508153.3496728294,24.26519382561665,48.09996507410323
61,610,-508637.95696682524,24.291646409623908,48.50128687846663
62,620,-509126.5462570755,24.316599885517093,48.896500346263196
63,630,-509619.0569219964,24.341284471523384,49.28578675563622
64,640,-510115.43097028,24.365041653066783,49.66932344094385
65,650,-510615.611660959,24.387385172834772,50.0472705994187
66,660,-511119.5438345177,24.409484886831976,50.41978621003073
67,670,-511627.17402156646,24.430892435248968,50.78702664288285
68,680,-512138.45032595954,24.45147085639192,51.14913696256845
69,690,-512653.3219895979,24.472149501270906,51.506261606129556
70,700,-513171.7400355522,24.491292091275735,51.8585338234574
71,710,-513693.65671096346,24.50852218673962,52.20606685077655
72,720,-514219.024769197,24.52679230612708,52.54898702401406
73,730,-514747.7990504624,24.54500877375846,52.88742846903479
74,740,-515279.9354985674,24.56143744152791,53.22150062587389
75,750,-515815.3907098373,24.577817972312758,53.55130840407801
