,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-534715.0242744824,-0.0,0.0
1,10,-534715.891348393,0.5071238640375668,0.2535619320187834
2,20,-534722.3502120558,1.7432395827258005,0.9429337597190169
3,30,-534737.9104507759,3.2600336601346496,1.922082598756242
4,40,-534764.5409412838,4.836170625698287,3.0699428703243026
5,50,-534803.3966686272,6.369474776933201,4.311411676229909
6,60,-534855.0933767688,7.788128246652196,5.597369841144245
7,70,-534919.8386846939,9.059773578814932,6.893507212566329
8,80,-534997.5666672314,10.188201550766827,8.177396493690322
9,90,-535088.0508354967,11.191239027294793,9.435894592129626
10,100,-535190.9809654478,12.08763778931461,10.662011983111734
11,110,-535306.0018264209,12.894628248957448,11.852513338439167
12,120,-535432.7458148216,13.625201047933665,13.006349514631438
13,130,-535570.842374614,14.289598824162393,14.123666179737484
14,140,-535719.9280010217,14.896308569214302,15.205277154842042
15,150,-535879.6509191891,15.452107218385201,16.252358415783963
16,160,-536049.6710688482,15.961851834878331,17.266236526236753
17,170,-536229.6650830132,16.429465881347998,18.24826398082223
18,180,-536419.3187662619,16.860648362006753,19.199834908956834
19,190,-536618.336813617,17.256440091971335,20.122303096871473
20,200,-536826.4345711467,17.61932979378617,21.016903186241688
21,210,-537043.3378917829,17.954994855608675,21.884886308600834
22,220,-537268.7890356191,18.264266099582876,22.72748314292403
23,230,-537502.5389601499,18.54978593274715,23.545836315662015
24,240,-537744.3512566362,18.812871148204422,24.341027347178894
25,250,-537994.0005257912,19.054004561403428,25.114042253994555
26,260,-538251.2682629003,19.277287490322497,25.865839412344208
27,270,-538515.9484987308,19.48461398454094,26.5973826643647
28,280,-538787.8426345341,19.67564255609178,27.30955960919382
29,290,-539066.7625664623,19.85143508730981,28.003176491319024
30,300,-539352.5250669623,20.01448888872984,28.679017428326183
31,310,-539644.9579239694,20.167831052569078,29.33787984076043
32,320,-539943.8934845756,20.31041667284444,29.98051769889571
33,330,-540249.1762892862,20.43824218619849,30.607538295563426
34,340,-540560.6499230298,20.557514271116755,31.2195250180579
35,350,-540878.1682814955,20.671339665117507,31.817146256756676
36,360,-541201.5916723913,20.776818900892977,32.401018038294566
37,370,-541530.7846618934,20.874489572719877,32.971672664402284
38,380,-541865.6187760871,20.96444879144552,33.529608371744686
39,390,-542205.9680580456,21.049833538770354,34.07532604291191
40,400,-542551.713720616,21.129234043299192,34.60931112920662
41,410,-542902.7410270581,21.202402083890018,35.13199243381969
42,420,-543258.9378991881,21.27249633061001,35.643802316827355
43,430,-543620.1992663963,21.337740529619623,36.14515958273551
44,440,-543986.4215980752,21.397917443444115,36.63643099747424
45,450,-544357.5065666924,21.454277056109277,37.11797000641965
46,460,-544733.3579491836,21.50820296069135,37.59013567738876
47,470,-545113.8843354827,21.5589170046617,38.05327067307954
48,480,-545498.9970854751,21.60590757345784,38.50768239120371
49,490,-545888.6101187451,21.650314275568235,38.95366550266772
50,500,-546282.6411447446,21.69203033612579,39.391507380269466
51,510,-546681.0096279468,21.732695837618703,39.82149332909758
52,520,-547083.638828283,21.7706871399772,40.243892504756516
53,530,-547490.4543887858,21.804391047643655,40.658927837284864
54,540,-547901.3831942367,21.837694206956037,41.06683051190775
55,550,-548316.3552938116,21.870550811188956,41.46785457338701
56,560,-548735.3036299733,21.899650533357715,41.86221035662747
57,570,-549158.162053973,21.92697381665344,42.250084826259986
58,580,-549584.8666732338,21.95556233022944,42.63169879089837
59,590,-550015.356164181,21.981490745948353,43.00725469983299
60,600,-550449.5714836186,22.00457124458609,43.37690994675213
61,610,-550887.4529799796,22.028559244403862,43.74084333481005
62,620,-551328.9460081664,22.050391844462226,44.0992310365109
63,630,-551773.9947526597,22.07046771576279,44.45221921938064
64,640,-552222.5465919687,22.091365460492625,44.79997045422933
65,650,-552674.5495207149,22.110791355836948,45.14264225731895
66,660,-553129.9542791839,22.127927976247253,45.48036108575033
67,670,-553588.7109296045,22.1460997425953,45.81326630481635
68,680,-554050.7728318392,22.164090774580885,46.14150696157594
69,690,-554516.0938905792,22.179337560952945,46.4651980546696
70,700,-554984.6290849501,22.19295464415321,46.784438996668904
71,710,-555456.3344385457,22.20819393142873,47.09935583318147
72,720,-555931.1670264291,22.22400316356226,47.410084920395455
73,730,-556409.0866450652,22.236689477582747,47.71672436801018
74,740,-556890.0516363323,22.250076896970754,48.01936881773436
75,750,-557374.0233389697,22.26188014770747,48.318119709464376
76,760,-557860.9633148285,22.273006965627374,48.613065184345764
77,770,-558350.8330356196,22.28686474076525,48.90431802582316
78,780,-558843.5976285697,22.296138462511756,49.191961891240496
79,790,-559339.2203243426,22.305864579969672,49.47606221384485
80,800,-559837.6658594712,22.319737793179115,49.75673693315329
81,810,-560338.9017217137,22.32909822822851,50.034069234041084
82,820,-560842.8939592693,22.337428544944792,50.30810700631263
83,830,-561349.6098342593,22.347108348386364,50.57893197353259
84,840,-561859.0183656747,22.355494799860992,50.84662152958917
85,850,-562371.0876375751,22.364706620501238,51.11124704878457
86,860,-562885.7882457942,22.37287664808094,51.372879010785255
87,870,-563403.0900087124,22.381170895663672,51.63158129395888
88,880,-563922.9641150525,22.390425754664278,51.887427041050984
89,890,-564445.3825733649,22.39652793434785,52.14046855984489
90,900,-564970.3174505628,22.404110150237102,52.390759029099726
91,910,-565497.7409932688,22.413835303794023,52.638379248941796
92,920,-566027.6281683622,22.418797013152187,52.88337347828639
93,930,-566559.9516484711,22.42412979292567,53.12577460399772
94,940,-567094.6861892107,22.431630987609836,53.3656516276984
95,950,-567631.807090681,22.438489641732033,53.603066127706555
96,960,-568171.2895849476,22.446650899574024,53.83807308171235
97,970,-568713.1103180033,22.453047731012408,54.07072008125251
98,980,-569257.2457518927,22.456004965282254,54.30102889459522
99,990,-569803.6725340807,22.461209717180534,54.529040801616794
