,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-444706.0853225899,-0.0,0.0
1,10,-444706.98726643773,0.5579733401042176,0.2789866700521088
2,20,-444713.7323641636,2.079426557116676,1.0778299793833868
3,30,-444731.11008773756,4.246382007935608,2.3054169533184905
4,40,-444762.96793687966,6.679133085312786,3.8480389236385233
5,50,-444811.85133580986,9.013096474569467,5.584240206759568
6,60,-444878.99484044884,11.054082681846921,7.406723411037092
7,70,-444964.6973556787,12.772339339595055,9.240206920685887
8,80,-445068.71562856366,14.209770849684723,11.0406275516194
9,90,-445190.5281717738,15.419584854562705,12.785381832755956
10,100,-445329.4852709269,16.446864728946817,14.464368672234558
11,110,-445484.89047611144,17.32603115411038,16.07425877932328
12,120,-445656.04237220593,18.08313553598709,17.61526963063079
13,130,-445842.25653010036,18.738434424441948,19.08944262762161
14,140,-446042.87659193826,19.308010816416946,20.499723458818337
15,150,-446257.27930539526,19.804916205030167,21.849459147191375
16,160,-446484.87655686034,20.239861247548816,23.14211868467828
17,170,-446725.11519057024,20.621892102160224,24.38114058696301
18,180,-446977.4761749013,20.958605659205958,25.56985031579534
19,190,-447241.4731748091,21.256220049169478,26.711408018149086
20,200,-447516.65047218493,21.520188214955844,27.80878693534323
21,210,-447802.58109599364,21.755094752935126,28.864770087215582
22,220,-448098.8651458985,21.964643928973214,29.881944986645248
23,230,-448405.127292898,22.15224222220858,30.86271192266795
24,240,-448721.0155358465,22.32069370223911,31.80929685788942
25,250,-449046.1991284497,22.47224760605606,32.723756262140526
26,260,-449380.36708196497,22.609042208231422,33.60799048749686
27,270,-449723.2265601711,22.732944737271406,34.463760218829705
28,280,-450074.50176994223,22.845392806403026,35.292694119898805
29,290,-450433.9324285403,22.94761453083922,36.096296089264065
30,300,-450801.2727333572,23.040770871390208,36.87595746351435
31,310,-451176.290179021,23.125925079369313,37.63296910297358
32,320,-451558.7647246007,23.203970826417162,38.36852993873908
33,330,-451948.48783282994,23.27556784292106,39.083752101733985
34,340,-452345.26167937723,23.341300714100317,39.779666642832304
35,350,-452748.89829614543,23.401886449697535,40.45723372866559
36,360,-453159.21898793505,23.457866355625498,41.11735009161639
37,370,-453576.0537725463,23.50957885442323,41.76085080254634
38,380,-453999.24059244356,23.55744489857755,42.388514194337034
39,390,-454428.62500987086,23.601786683792362,43.001067583348046
40,400,-454864.0595073716,23.64315846399407,43.59919407291454
41,410,-455305.40320789674,23.68160223227748,44.183533580937365
42,420,-455752.5215807637,23.717118275081127,44.75468025429218
43,430,-456205.28540810046,23.750615564269538,45.31319684884584
44,440,-456663.5713858463,23.781966477143484,45.85961641632603
45,450,-457127.2612041779,23.810825492415493,46.39443076307798
46,460,-457596.2411604536,23.838024824371743,46.918104456253786
47,470,-458070.40217847086,23.863873217442563,47.43108441341101
48,480,-458549.63965229946,23.887933574966155,47.93378804649183
49,490,-459033.8528320978,23.910252598444675,48.42660285726961
50,500,-459522.9447554578,23.931426934723277,48.90989929598872
