,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-601482.8876319457,-0.0,0.0
1,10,-601483.1666100284,0.3290903358662035,0.16454516793310175
2,20,-601486.4615975195,1.3819915843429045,0.6745882319519296
3,30,-601496.8881796284,3.0093667325971176,1.5216472501371754
4,40,-601517.6753947801,4.808534531248734,2.6242751886427866
5,50,-601550.7346389964,6.509871242087684,3.8763291292576465
6,60,-601596.9745373533,8.010055862873559,5.1948209087058785
7,70,-601656.6600683011,9.29341111216345,6.526140643385588
8,80,-601729.6740523456,10.382092688069683,7.83883651583019
9,90,-601815.6907039611,11.311281769027115,9.116121851558274
10,100,-601914.2840307782,12.116679707891302,10.350360379676568
11,110,-602024.9937030389,12.828425099950989,11.539304596887087
12,120,-602147.3607280424,13.469492424535563,12.683643679725357
13,130,-602280.945520662,14.056459348925273,13.785505582629414
14,140,-602425.3357333884,14.600443846703277,14.8475830576077
15,150,-602580.1479824357,15.10871834492717,15.872651425535151
16,160,-602745.0262925822,15.586184991803023,16.8633436513599
17,170,-602919.6403597958,16.035824261940434,17.82205382241082
18,180,-603103.6823142554,16.459825336444204,18.750913082924676
19,190,-603296.8640883605,16.859933923295493,19.651812925047132
20,200,-603498.9157255652,17.237279331311584,20.526427379995592
21,210,-603709.5824146584,17.592978532655955,21.376239804532094
22,220,-603928.6236955376,17.928102758427833,22.20257712665917
23,230,-604155.8111762566,18.24380619014554,23.006638489926996
24,240,-604390.9282159798,18.54123187512161,23.78951863638649
25,250,-604633.7682964464,18.82138481232687,24.55222199669806
26,260,-604884.1347895473,19.085070448194156,25.295670278486792
27,270,-605141.8396323359,19.333375079697017,26.02071632846782
28,280,-605406.7030099581,19.567581985681308,26.72816289979382
29,290,-605678.5530053806,19.788380140886854,27.41876297462731
30,300,-605957.22491892,19.99666841200085,28.093219749440316
31,310,-606242.5606958609,20.193357444042384,28.75219686992058
32,320,-606534.4090524311,20.37925279317426,29.396322008427525
33,330,-606832.6243314303,20.55527282094116,30.02619136091089
