,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-642353.9484380344,-0.0,0.0
1,10,-642354.4996821005,0.38698726194852495,0.19349363097426248
2,20,-642358.8797716375,1.545911881350912,0.773465232286253
3,30,-642371.0816607106,3.328058974875603,1.7146196984365814
4,40,-642394.7293428676,5.328322207566815,2.9353364701950335
5,50,-642432.0377589858,7.1479368579312,4.3161704319340055
6,60,-642483.8621361734,8.626835703168764,5.74986709299119
7,70,-642550.1773521244,9.778119457163848,7.167207172338386
8,80,-642630.5071675003,10.675972142489627,8.532892535327118
9,90,-642724.1919135896,11.39647388197481,9.83327823212021
10,100,-642830.5320595397,11.999792175251063,11.066405278770251
11,110,-642948.8574700858,12.52843226129772,12.235869081228156
12,120,-643078.5561202801,13.010429276945061,13.347444494796218
13,130,-643219.0809620777,13.463438111485443,14.407370257418368
14,140,-643369.9482786102,13.89755507191876,15.421536052736336
15,150,-643530.7304174895,14.317900705063948,16.395140662140328
16,160,-643701.0477371459,14.726821663882589,17.332617195972126
17,170,-643880.5609414482,15.124888646174792,18.237680039032423
18,180,-644068.9642498413,15.51157966227621,19.113406917937393
19,190,-644265.979438692,15.886081179050962,19.962338898648163
20,200,-644471.3509395639,16.24768007494275,20.786585668391496
21,210,-644684.8423173653,16.59557966937721,21.58791051953595
22,220,-644906.2329894365,16.929150678560852,22.36779679331958
23,230,-645135.3158239804,17.248175242348225,23.127510549187726
24,240,-645371.89531327,17.55257486505434,23.86814952356508
25,250,-645615.7861571038,17.84235954270117,24.590675357441068
26,260,-645866.8119285454,18.117734736687243,25.295940524000613
27,270,-646124.8042654956,18.379162288061313,25.984713356892456
28,280,-646389.6019818771,18.62707456962672,26.657694545679256
29,290,-646661.0507624623,18.861912235361515,27.315526260648035
30,300,-646939.0021417369,19.08407481678296,27.958799557629387
31,310,-647223.3136900985,19.294377263146465,28.58806710451899
32,320,-647513.8477346858,19.49382335003463,29.203857727639843
33,330,-647810.4725883967,19.682430897006988,29.806667367438784
34,340,-648113.0606068221,19.860731729236456,30.396955601646912
35,350,-648421.4889786914,20.02962567846411,30.975162695592733
36,360,-648735.6390456988,20.189534216607015,31.54171040273795
37,370,-649055.3963697614,20.34108929623613,32.0970001852751
38,380,-649380.6503003717,20.484748032339795,32.641415928679635
39,390,-649711.2941276382,20.620851676914054,33.17532198029367
40,400,-650047.2244477102,20.750159106333825,33.69906886241661
41,410,-650388.3414769785,20.873011269466893,34.21299476916611
42,420,-650734.548754155,20.98945164253813,34.71741811140237
