,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-696268.7265322459,-0.0,0.0
1,10,-696268.9899796264,0.180768399083172,0.090384199541586
2,20,-696270.9807304495,0.7620423413871322,0.37127898442995505
3,30,-696276.7476103507,1.7410790801775877,0.8519694164730027
4,40,-696288.475775481,2.9335531378048474,1.5088434053948734
5,50,-696307.7196288108,4.106639820412965,2.286201529661776
6,60,-696335.3063518904,5.146944434812759,3.125777547937469
7,70,-696371.5447658341,6.042643186586793,3.986306954642351
8,80,-696416.4498911987,6.826022473885676,4.844550729730691
9,90,-696469.8992924951,7.536882053487352,5.689892803986732
10,100,-696531.7235428763,8.207306758791674,6.518973811564502
11,110,-696601.7510727271,8.858174117727323,7.3319834275826
12,120,-696679.8264215891,9.500542111240797,8.130483626962814
13,130,-696765.8143952055,10.138366908027097,8.916276737034787
14,140,-696859.5977740061,10.771213301434177,9.690900115141995
15,150,-696961.0726927854,11.39634747464151,10.455464553633647
16,160,-697070.14402157,12.010102256713438,11.210658498310657
17,170,-697186.7212502977,12.608775780140427,11.956820540307671
18,180,-697310.7155247757,13.189077448745955,12.694030149247554
19,190,-697442.037515528,13.748387965717109,13.422193095021065
20,200,-697580.5960889786,14.284791412937919,14.141112563652857
21,210,-697726.297755423,14.79710352003167,14.850544337548488
22,220,-697879.0462360074,15.284678270784191,15.550235377729402
23,230,-698038.7429544037,15.7472826729325,16.239946661358406
24,240,-698205.2867071648,16.185318540316075,16.919473029635263
25,250,-698378.5747319461,16.59920261277876,17.588651218147422
26,260,-698558.5027092228,16.989643578534015,18.247359185374805
27,270,-698744.9652336689,17.357733534203707,18.895522610239276
28,280,-698937.8566244786,17.704356086533537,19.533111335962893
29,290,-699137.0708961831,18.0305929796683,20.16013284454675
30,300,-699342.5024770008,18.33760092742157,20.776631819423347
31,310,-699554.0463421176,18.626416123961086,21.38268456806254
32,320,-699771.5984640929,18.898160407878493,21.97839439095114
33,330,-699995.0558733733,19.15385099134002,22.563888010829395
34,340,-700224.3171516949,19.39438098811661,23.139309359453907
35,350,-700459.2821937094,19.62088843675157,23.704819250812577
36,360,-700699.8527581064,19.834351372194917,24.26059475944348
37,370,-700945.9323865446,20.03541604977215,24.80682072737254
38,380,-701197.4265327093,20.22484990964293,25.343686039089512
39,390,-701454.2424886229,20.40352111597601,25.871386089319998
40,400,-701716.2896230065,20.572165478719455,26.39012176185497
41,410,-701983.4792790252,20.731579608956277,26.900097971911602
42,420,-702255.7248787824,20.88223926202624,27.401520199936932
43,430,-702532.9420007534,21.024348893965314,27.89458745957527
44,440,-702815.0479814745,21.15888071928636,28.37949845911644
45,450,-703101.9622563364,21.286512965525617,28.85645709620003
46,460,-703393.6064302751,21.407183764706133,29.325660686979248
47,470,-703689.9038567776,21.521453260278246,29.78729909745889
48,480,-703990.7798214798,21.630141816241718,30.2415647051399
49,490,-704296.1615876531,21.733347999004764,30.68864753952512
50,500,-704605.9783308647,21.831035399081866,31.128726750648642
51,510,-704920.1608270992,21.923826831299884,31.561976583377696
52,520,-705238.6416685688,22.01229516315503,31.988572746377038
53,530,-705561.3552248444,22.09640494405459,32.40868608105375
54,540,-705888.2375410139,22.17638703281999,32.822479648439916
55,550,-706219.2261546229,22.2527086146437,33.23011391645269
56,560,-706554.2603668165,22.32530108743805,33.63174431291846
57,570,-706893.2808724847,22.39456686959602,34.02752092737356
58,580,-707236.2298362531,22.460936402162893,34.417593258492715
59,590,-707583.051075869,22.523964782056282,34.80210307805538
60,600,-707933.6896066567,22.583986844052433,35.18118402589754
61,610,-708288.0917638513,22.641850403245233,35.55497285399616
62,620,-708646.2053682896,22.69699798565125,35.923602098063576
63,630,-709007.9795668522,22.74952413266874,36.28719418323018
64,640,-709373.3643544294,22.800021974369884,36.64587113373564
65,650,-709742.3115121595,22.84828667841793,36.99975235678285
66,660,-710114.7733543032,22.894747292372678,37.34895346340054
67,670,-710490.7039415766,22.93908689932141,37.693585734312364
68,680,-710870.0579585966,22.981436037539922,38.033754097313796
69,690,-711252.7913482471,23.02243254620703,38.369564465997975
70,700,-711638.8610546768,23.061587059724893,38.70111930920248
71,710,-712028.2250926255,23.09921102731018,39.028515431249986
72,720,-712420.8422005054,23.13544525767216,39.351848745731694
73,730,-712816.6724770193,23.169840076446572,39.671209094791266
74,740,-713215.6763714772,23.203221056389104,39.98668515021272
75,750,-713617.8156641946,23.235646179891667,40.29836797872994
76,760,-714023.0528241011,23.266532497271072,40.60634157934109
77,770,-714431.3511959993,23.29587786418566,40.91068280626932
78,780,-714842.6748201445,23.324235101497976,41.21146906802605
79,790,-715256.9884825386,23.352124084695074,41.50878164930035
