,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-499468.6526048201,-0.0,0.0
1,10,-499469.34661430947,0.37288401244295527,0.18644200622147764
2,20,-499474.13152757497,1.3300237249874045,0.7053899436898065
3,30,-499485.64999378595,2.667786184768192,1.4825269057313561
4,40,-499506.2109248296,4.233554895536509,2.4563522984681185
5,50,-499537.523855726,5.829251436276537,3.568471804037836
6,60,-499580.6258710396,7.3291999430948644,4.762163609590062
7,70,-499636.03172915627,8.68713119431486,5.993439642537124
8,80,-499703.90215020353,9.900138339260593,7.232707659763401
9,90,-499784.18035226833,10.982945549982833,8.4616299476329
10,100,-499876.6791210638,11.953119986486849,9.669449588622957
11,110,-499981.14206671366,12.82547167668963,10.850081573251373
12,120,-500097.26857187,13.611912406567725,12.000220575495769
13,130,-500224.7418599833,14.321182468894397,13.118198302778183
14,140,-500363.2310640314,14.963169207682947,14.203411913394666
15,150,-500512.4068300803,15.544733770031609,15.255968606003444
16,160,-500671.9454682148,16.07138531350064,16.276357189384726
17,170,-500841.5244235641,16.549899978809105,17.265349744514243
18,180,-501020.83833568194,16.981476119629217,18.223819178586563
19,190,-501209.58295817446,17.37248073471129,19.15269739422656
20,200,-501407.46781674825,17.730064526025693,20.0531195530275
21,210,-501614.21513643686,18.056041325020487,20.926276912011964
22,220,-501829.5574268666,18.352487696256116,21.773284650942514
23,230,-502053.23977436597,18.621473951933165,22.595201295168227
24,240,-502285.0151964327,18.866892408253634,23.39307620480249
25,250,-502524.6495843854,19.093514823944123,24.168006759786657
26,260,-502771.91778667923,19.3020552310918,24.92107042609423
27,270,-503026.6090181231,19.491585524377285,25.653219083411386
28,280,-503288.51584651205,19.66494288893299,26.36533406534509
29,290,-503557.44487485994,19.827465153006766,27.058346607255956
30,300,-503833.2066819005,19.97990514144476,27.73319787374567
31,310,-504115.628959394,20.11717938930959,28.390666928081195
32,320,-504404.53739081084,20.242602256359532,29.03142822364825
33,330,-504699.770694753,20.362234784303315,29.656237592756945
34,340,-505001.17135254166,20.476003190039798,30.2658739955812
35,350,-505308.5939268202,20.579281848484268,30.860981430245005
36,360,-505621.89472979016,20.67390665357229,31.442108763348365
37,370,-505940.93633814284,20.7659314722739,32.00986705133036
38,380,-506265.5891144315,20.85156359845132,32.564850425828624
39,390,-506595.7284051112,20.928685933411263,33.1075295910814
40,400,-506931.23251338705,21.00435754063085,33.63840054666507
41,410,-507271.9857909856,21.080008858624147,34.15802829468666
42,420,-507617.8802698832,21.145340624829927,34.66683181898406
43,430,-507968.8090391611,21.205397084594036,35.16513644922233
44,440,-508324.66644602205,21.265660588868258,35.65336606789133
45,450,-508685.35823811294,21.32504792854151,36.131966278839535
46,460,-509050.78504087805,21.379908067538054,36.60130156090526
47,470,-509420.8630352235,21.429798777417588,37.06166844872568
48,480,-509795.4948601406,21.483048693160526,37.51342678868459
49,490,-510174.60595895315,21.526187861943548,37.95686352408811
50,500,-510558.1072199808,21.5683534683194,38.3922020369544
51,510,-510945.92128093744,21.617072957404925,38.81981765945529
52,520,-511337.97426259564,21.659124130103663,39.24001055621629
53,530,-511734.19116994715,21.697589076087752,39.652965601726464
54,540,-512134.50216992595,21.7361700477486,40.05892067206878
55,550,-512538.8365978822,21.772183417830053,40.45811044600632
56,560,-512947.1309439583,21.802128294482827,40.85070124594058
57,570,-513359.31634103024,21.84171397229212,41.23695708792583
58,580,-513775.3326667724,21.878089076300967,41.61715528631393
59,590,-514195.1236027553,21.904184879467483,41.99138818790816
60,600,-514618.62272688054,21.93795384469567,42.3598331553665
61,610,-515045.7811593139,21.971416225246546,42.72274301302241
62,620,-515476.5380895518,22.00154788598593,43.08026842642939
63,630,-515910.8462019219,22.02737148659635,43.43252067284338
64,640,-516348.64799924626,22.055772228445676,43.779651802001894
65,650,-516789.8968772197,22.08394019847056,44.121838985601784
