,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-534971.0804356446,-0.0,0.0
1,10,-534971.2451324995,0.23276066332182382,0.11638033166091191
2,20,-534973.4052356863,1.0481043086969295,0.4947867404960562
3,30,-534980.8849527421,2.4165573142730863,1.1595723700491363
4,40,-534996.692121902,4.010907512973063,2.063695361549617
5,50,-535022.7455371751,5.577822916835431,3.122841092354793
6,60,-535060.0880832474,7.0320686725142885,4.26662910674786
7,70,-535109.2287049427,8.364851309423102,5.450124208701892
8,80,-535170.3645024096,9.587352092936634,6.646823093754938
9,90,-535243.5110230499,10.713278843119038,7.8412147575145354
10,100,-535328.5776820364,11.75387535998016,9.024090683464602
11,110,-535425.4079137932,12.71782408274012,10.189867364315432
12,120,-535533.8063631032,13.611141696595585,11.335081181192072
13,130,-535653.5514375647,14.438569125166396,12.457541666954057
14,140,-535784.405516492,15.204121406411284,13.555875584634487
15,150,-535926.1213278751,15.911198622052325,14.629253207979492
16,160,-536078.4450167562,16.563591765891758,15.677238738065352
17,170,-536241.1210811776,17.164913511209306,16.699701378137977
18,180,-536413.8934964351,17.718922796810524,17.69674407543789
19,190,-536596.5088662712,18.228976435743984,18.668646281553084
20,200,-536788.717360107,18.698482500913087,19.615818250279702
21,210,-536990.2734438612,19.130929355457162,20.538778630789604
22,220,-537200.9381887807,19.529280984168857,21.438124243871428
23,230,-537420.4778868901,19.896456231508637,22.314503196172886
24,240,-537648.666801062,20.234883237839668,23.168594920834586
25,250,-537885.2848624955,20.547406736877782,24.001103123027136
26,260,-538130.1202187396,20.836261377466144,24.812748591946733
27,270,-538382.9676888799,21.103206228176706,25.60424604146538
28,280,-538643.6294231518,21.35040404739558,26.37630337193405
29,290,-538911.9145244913,21.57945123433309,27.12962009110634
30,300,-539187.6392047746,21.791955961292864,27.864878861168112
31,310,-539470.6261204259,21.989306864279193,28.582744366936097
32,320,-539760.7049276792,22.17254067007451,29.283856554652445
33,330,-540057.7110155402,22.34322973483943,29.968836286483562
34,340,-540361.4863264213,22.50245899471338,30.638288584972905
35,350,-540671.8786133634,22.650770751148215,31.29278953890316
36,360,-540988.7412063336,22.789045237214253,31.93288649538881
37,370,-541311.9328063307,22.918264313435092,32.55910728707822
38,380,-541641.3172476207,23.039297644054777,33.17196221479534
39,390,-541976.7635012586,23.15266457954707,33.77193990107771
40,400,-542318.1451811646,23.25872478226671,34.359502993927165
41,410,-542665.3405188321,23.358023912788514,34.93509100386146
42,420,-543018.2318394908,23.451436623424435,35.4991287233439
43,430,-543376.7058524181,23.539326070144337,36.052025586509274
44,440,-543740.6531993632,23.621753867750584,36.5941677015726
45,450,-544109.9682335112,23.69923658501648,37.125921573741664
46,460,-544484.5488809334,23.77226336242741,37.6476405916692
47,470,-544864.2966026799,23.84106112531448,38.15966306849588
48,480,-545249.1160958624,23.90586888408302,38.66231084588217
49,490,-545638.9152366361,23.966994629846816,39.15589148311702
50,500,-546033.6048681947,24.024708092911062,39.640699733738444
51,510,-546433.0987641676,24.079268027498692,40.11701806983911
52,520,-546837.3134070013,24.130747253331393,40.58511574090809
53,530,-547246.1679921129,24.179260162165118,41.04524838475046
54,540,-547659.5840590798,24.225527265208036,41.497665050336224
55,550,-548077.4857182938,24.269150210675434,41.94260412625591
56,560,-548499.7995461695,24.31000328757804,42.380286365316714
57,570,-548926.453735537,24.349254973075464,42.81092992200283
58,580,-549357.3793213217,24.38609044001209,43.23474479549331
59,590,-549792.5089492525,24.421074119370356,43.65192796832852
60,600,-550231.7770898809,24.45459308900176,44.0626744993191
61,610,-550675.120823388,24.485929890556275,44.467167118426
62,620,-551122.4779204994,24.51590293587651,44.86558035643538
63,630,-551573.7890449926,24.544129430717977,45.25808392910112
64,640,-552028.9954626894,24.570948281697838,45.64483914057346
65,650,-552488.040840839,24.59679621586101,46.02600579876162
66,660,-552950.8698475555,24.621181876806077,46.401736028626324
67,670,-553417.4291266644,24.64363025344787,46.77216782221221
68,680,-553887.6661608318,24.665070726373326,47.137436324835285
69,690,-554361.5300275665,24.68677603364631,47.49768682040303
70,700,-554838.9713392413,24.70699359261193,47.85305502746778
71,710,-555319.9421029808,24.724750928257762,48.2036515174128
72,720,-555804.3947997036,24.74257356254384,48.54959290921397
73,730,-556292.2836155378,24.7604965453415,48.891008778823014
74,740,-556783.5641343674,24.77607193703874,49.22800711238087
75,750,-557278.1925234621,24.79026490953391,49.560681436577575
76,760,-557776.1259403485,24.804702228214538,49.88913869975658
77,770,-558277.3229060048,24.81900753421085,50.21348991679115
78,780,-558781.7428527655,24.83298117782704,50.53383808015788
79,790,-559289.3462794744,24.845895790861743,50.850276361944275
80,800,-559800.094627325,24.85818668967113,51.16289253376017
81,810,-560313.9498533445,24.868270865079715,51.47176404541679
82,820,-560830.8754952293,24.87729699215258,51.776962725580965
83,830,-561350.8340548022,24.890229947052894,52.078594705158324
84,840,-561873.791629959,24.899138402345244,52.376745006574495
85,850,-562399.7135478007,24.90588429833606,52.67145936548623
86,860,-562928.5644972613,24.917535111377703,52.96283395742358
87,870,-563460.3134569395,24.92771127367723,53.25096605607541
88,880,-563994.9269157782,24.933891601884056,53.53589860319188
89,890,-564532.374382756,24.93759038808639,53.81766726424393
90,900,-565072.6229213869,24.94490758978639,54.09634890659217
91,910,-565615.6432143648,24.955153702647852,54.37204795567085
92,920,-566161.405552591,24.962981025106274,54.64483255994273
93,930,-566709.8813443044,24.96753476550796,54.91473499295825
94,940,-567261.041653806,24.970512507401672,55.1817909258767
95,950,-567814.8581988744,24.975713199906817,55.446063923020844
96,960,-568371.3035050242,24.983846639190006,55.7076392463714
97,970,-568930.3511432128,24.990763334845404,55.96658181532257
98,980,-569491.975292342,24.99260504054837,56.22291347405117
99,990,-570056.1495569675,24.995900822555996,56.47666868842062
100,1000,-570622.8481429417,25.000179588387184,56.7279115097088
101,1010,-571192.04732459,25.00536097075099,56.97670132334752
102,1020,-571763.7210653768,25.01018861694625,57.22308920285287
103,1030,-572337.8482054683,25.01112152248381,57.46710137793562
104,1040,-572914.4019049165,25.013702376722136,57.70877277371328
105,1050,-573493.3621432484,25.017454082990298,57.94816169194527
106,1060,-574074.7033992165,25.023834838497137,58.18532938245916
107,1070,-574658.4065397269,25.0282026170347,58.42032055708113
108,1080,-575244.4478500594,25.02619882395949,58.65313680651015
109,1090,-575832.8072736323,25.02243262042443,58.883780639113674
110,1100,-576423.4612634296,25.028751610196274,59.11232949289841
111,1110,-577016.3905516185,25.039257891144686,59.33888599563214
112,1120,-577611.5760410217,25.03775551635772,59.56345113986172
113,1130,-578208.9969856016,25.03301324341147,59.785992379456005
114,1140,-578808.6328741554,25.035722748114495,60.006563726307654
115,1150,-579410.4646632107,25.047191894991556,60.22527036216052
116,1160,-580014.4741714112,25.048736815736547,60.44213988965785
117,1170,-580620.6444075658,25.03908657034327,60.65711322629213
118,1180,-581228.9529641208,25.03849650000347,60.870213193907695
119,1190,-581839.384523398,25.043003335446617,61.081531221150364
120,1200,-582451.9193827625,25.051019016886045,61.291133170144164
121,1210,-583066.5424554774,25.057632685592484,61.49905635276518
122,1220,-583683.2361410765,25.048161396541573,61.70525668864866
123,1230,-584301.9839024942,25.042370286330872,61.90971134101128
124,1240,-584922.7654113239,25.05220429230222,62.11252654699929
125,1250,-585545.5692097667,25.055257239728235,62.31376452874974
126,1260,-586170.3760377945,25.04774849207633,62.51338138505817
127,1270,-586797.1721993559,25.048766529545176,62.71139440346888
128,1280,-587425.9383304531,25.05917822048059,62.907899009453836
129,1290,-588056.66456423,25.049783512039177,63.10287860853277
130,1300,-588689.3316163056,25.052602609852418,63.296326956572
131,1310,-589323.9243038365,25.06531889413318,63.48835227654053
132,1320,-589960.4333952689,25.051670385233592,63.678914123478165
133,1330,-590598.8375759298,25.054629538542468,63.86799715094239
134,1340,-591239.1265895003,25.06083126093116,64.05569805195991
135,1350,-591881.286074952,25.0512688909372,64.24199109374021
136,1360,-592525.3006288843,25.05020225434583,64.4268699029315
137,1370,-593171.1571721641,25.04847065035991,64.61038401084515
138,1380,-593818.8423748137,25.04508597485798,64.79254485206766
139,1390,-594468.3416914638,25.065061429299718,64.97345000866625
140,1400,-595119.6435659532,25.072995845578276,65.15315851387277
141,1410,-595772.7391780814,25.049047406457248,65.33153133684974
142,1420,-596427.6084701915,25.047947507025267,65.50855474435666
143,1430,-597084.2427774384,25.059209322284087,65.68437135563582
144,1440,-597742.6291342909,25.056153516937457,65.85899150169571
145,1450,-598402.7559458365,25.04721384297529,66.03236173764745
146,1460,-599064.6098410338,25.053486588456977,66.20453105215856
147,1470,-599728.1786904673,25.054042143738897,66.37554849418375
148,1480,-600393.4545167051,25.042544776713896,66.54536951641785
149,1490,-601060.4188615317,25.062734930959206,66.71407584558328
150,1500,-601729.0674477215,25.068009072711202,66.88173901317786
151,1510,-602399.3872835842,25.04723282302999,67.04823690045014
152,1520,-603071.3651811572,25.043395135155663,67.21355434674042
153,1530,-603744.9907341992,25.05696484988126,67.37781944204616
154,1540,-604420.2532817338,25.056231127656503,67.54105634785665
155,1550,-605097.1450252978,25.039762249493588,67.70318117423304
156,1560,-605775.6494942916,25.046494717499286,67.86423182750295
157,1570,-606455.7611905253,25.051666031672642,68.02429143005865
158,1580,-607137.4678849821,25.050202549551614,68.18334659883402
159,1590,-607820.7599458245,25.0571150430223,68.34141535096714
160,1600,-608505.6280991029,25.050387058407754,68.49849376977946
