,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-484098.14336841507,-0.0,0.0
1,10,-484099.3291530382,0.6332920364933671,0.31664601824668354
2,20,-484107.5066980071,2.218310000820202,1.1878695366984175
3,30,-484127.03240374423,4.29329293785413,2.4579958598791567
4,40,-484161.23622761556,6.48373465433251,3.984011514646409
5,50,-484211.9795602883,8.441181148424223,5.638596461280395
6,60,-484279.80310376734,10.04297023607651,7.319628762462527
7,70,-484364.4561660198,11.328050070503375,8.96568938240962
8,80,-484465.3231148263,12.37786390146939,10.54845230985884
9,90,-484581.66448643984,13.26278044247447,12.058889939393703
10,100,-484712.7324453926,14.03161099524004,13.497291624848732
11,110,-484857.81849771534,14.715015958782173,14.86773653637356
12,120,-485016.26821993984,15.331610813399317,16.17541801536136
13,130,-485187.4816579319,15.892891401376987,17.425500186485444
14,140,-485370.9093638651,16.406128261922277,18.622698392596067
15,150,-485566.04602246033,16.876420336040592,19.771178889342263
16,160,-485772.4251599673,17.307599150831805,20.874588707340443
17,170,-485989.61417455156,17.7030320525315,21.936128594113686
18,180,-486217.2099539465,18.06586368230637,22.95863555415417
19,190,-486454.8365197076,18.398493877092537,23.94463599238734
20,200,-486702.14111166424,18.70352199012995,24.896394933643023
21,210,-486958.7925361838,18.983467015286436,25.815970293284046
22,220,-487224.4793133622,19.24026472818514,26.70523634699421
23,230,-487498.907537451,19.476025035044586,27.565906939404524
24,240,-487781.799814566,19.692809013614905,28.39956564244276
25,250,-488072.8938866053,19.892334956130096,29.207679196015672
26,260,-488371.94166412577,20.075948905342393,29.991601835625627
27,270,-488678.70797168935,20.245081922688378,30.75258670060721
28,280,-488992.96958892455,20.401238691119893,31.491803458871438
29,290,-489314.51477073296,20.545580436270434,32.21034543809437
30,300,-489643.1421404249,20.6790908843978,32.90923109828727
31,310,-489978.6603014128,20.80265698839503,33.58940933864651
32,320,-490320.8868131045,20.91723513551983,34.25176786325829
33,330,-490669.6479701422,21.023774778476238,34.89714170434891
34,340,-491024.7780297035,21.122965572026466,35.52631559309448
35,350,-491386.11900223943,21.21494240412714,36.14001804551518
36,360,-491753.51979403425,21.300567448575748,36.73892986585197
37,370,-492126.8356827985,21.38107024877536,37.32370446215573
38,380,-492505.9288555301,21.456135113432538,37.894955411177946
39,390,-492890.66703389684,21.525860109225295,38.453245543962844
40,400,-493280.9233224085,21.591311952448393,38.999109508871335
41,410,-493676.5761902354,21.652960940162302,39.53306140754721
42,420,-494077.5091012394,21.710847289318977,40.055584374547465
43,430,-494483.61018651555,21.765121250737927,40.56712964751859
44,440,-494894.77187748865,21.81607273229747,41.068122370172205
45,450,-495310.890807215,21.863957669949805,41.558965150584115
46,460,-495731.8674471309,21.90930562492001,42.04004263994138
47,470,-496157.6060569544,21.952134206409358,42.511720608920584
48,480,-496588.0145868818,21.99246035639652,42.97434208025443
49,490,-497023.00397410354,22.030577522172756,43.42823202041764
50,500,-497462.4887769297,22.066604379360832,43.87369987566199
51,510,-497906.3860361687,22.10097254561697,44.311042120883215
52,520,-498354.61625048105,22.133286537270834,44.7405383851692
53,530,-498807.1021943481,22.16377556453517,45.16245067033451
54,540,-499263.7693290611,22.19311807388432,45.577034726658894
55,550,-499724.54573031206,22.220900584841807,45.98453474781127
56,560,-500189.36175436253,22.24718099514729,46.38517847954573
57,570,-500658.1499212468,22.27224133939736,46.77918456221015
58,580,-501130.84502323193,22.29611378183472,47.16676297770465
59,590,-501607.38375522674,22.31865010423802,47.54811195771255
60,600,-502087.7049222957,22.340492189425234,47.923423828536045
61,610,-502571.74887741293,22.361577091521628,48.29288621228553
62,620,-503059.4584828191,22.380895892402535,48.65666892369628
63,630,-503550.77732883947,22.39970622455016,49.01493546582934
64,640,-504045.651331015,22.418021612521216,49.367851705903746
65,650,-504544.02781596413,22.43518418492735,49.715570839635625
66,660,-505045.8554427187,22.45169639216042,50.058237788551196
67,670,-505551.0845702795,22.467371320920986,50.39599334773884
68,680,-506059.66664314497,22.48252892204924,50.72897301055709
69,690,-506571.5546806074,22.49746633503809,51.05731084158906
70,700,-507086.7028605842,22.51151134657256,51.381132469577274
71,710,-507605.06680040486,22.524484397541006,51.7005521087558
72,720,-508126.6027987929,22.537428284506262,52.015685156958355
73,730,-508651.26877056714,22.55004446696387,52.326647434963526
74,740,-509179.02353049297,22.56155079314771,52.633542705090804
75,750,-509709.82692947844,22.572929573507228,52.936471813012034
76,760,-510243.6396950542,22.584472185460726,53.23554006402046
77,770,-510780.4239841623,22.594799387028615,53.53084159441133
78,780,-511320.1424239236,22.60467065616691,53.8224628059259
79,790,-511862.75859696924,22.61473990687524,54.11049580613472
80,800,-512408.237291591,22.624320311588235,54.39502907331553
81,810,-512956.5437109949,22.633537809558096,54.67614427161825
82,820,-513507.6443194142,22.641956848211528,54.95391818046264
83,830,-514061.50588072895,22.650436270861128,55.22842730422198
84,840,-514618.09620423656,22.659288403904185,55.499752432182134
85,850,-515177.3839233646,22.666919397801575,55.76796396885911
86,860,-515739.3382263941,22.67395912889618,56.03312413261882
87,870,-516303.9287515993,22.682072547535125,56.29530621517041
88,880,-516871.12627605343,22.689454520621865,56.55458030918017
89,890,-517440.90211893624,22.69567753516888,56.81100147078833
90,900,-518013.22771413124,22.702566858570208,57.06463064860218
91,910,-518588.0757907834,22.709276339766802,57.315532263663776
92,920,-519165.41918192396,22.715597542695534,57.56376284176004
93,930,-519745.23156212055,22.721673013563784,57.8093767085622
94,940,-520327.4869964744,22.727251199696845,58.05242587493413
95,950,-520912.1600960442,22.733029237511868,58.292963031277765
96,960,-521499.2259817481,22.738882041676106,58.53104223088086
97,970,-522088.66043175204,22.744040792879172,58.766711231855886
98,980,-522680.4395012058,22.749120092973975,59.000015494780385
99,990,-523274.53975335386,22.754458643579053,59.23100394233116
100,1000,-523870.9383758035,22.759627146006167,59.45972358636209
101,1010,-524469.6127956198,22.764156986247475,59.686215568558694
102,1020,-525070.5411012596,22.768246970639957,59.91051846880291
103,1030,-525673.701345603,22.773282037020618,60.13267743538163
104,1040,-526279.072551018,22.777784581575617,60.35273592790182
105,1050,-526886.6338886103,22.781514977454282,60.57072791227547
106,1060,-527496.3646871538,22.78605783979262,60.7866927218347
107,1070,-528108.24510399,22.78999463366046,61.00066942876583
108,1080,-528722.2553356821,22.793543454492465,61.21269039493345
109,1090,-529338.3759435317,22.797780207600095,61.42279303250398
110,1100,-529956.5880373416,22.801763973198987,61.6310143876297
111,1110,-530576.8729409479,22.805051192629538,61.83738422514871
112,1120,-531199.2122895368,22.808428160613403,62.0419330209741
113,1130,-531823.5879748298,22.81176303430087,62.24469336555339
114,1140,-532449.9824089323,22.815009933582203,62.44569620317197
115,1150,-533078.3779690779,22.818722839482106,62.644973874646524
116,1160,-533708.7577949711,22.82195840793429,62.84255622345808
117,1170,-534341.1049104006,22.824628213545324,63.03846788004884
118,1180,-534975.4028218403,22.82776812620569,63.23273685730382
119,1190,-535611.6351434202,22.83085876503045,63.42539266635139
120,1200,-536249.7860751929,22.833388718194243,63.61645976401488
121,1210,-536889.8396146802,22.83661124194623,63.805965045830824
122,1220,-537531.7804581182,22.839523975493094,63.99393581444457
123,1230,-538175.5933789127,22.841353425467794,64.18039145108634
124,1240,-538821.2632095601,22.843830069585238,64.36535469929369
125,1250,-539468.77522556,22.846914944603114,64.54885457709463
126,1260,-540118.1149384438,22.84953247702161,64.73091498479774
127,1270,-540769.2680849895,22.851736412849277,64.91155519891474
128,1280,-541422.2204871614,22.85407170504368,65.09079638270487
129,1290,-542076.9583417145,22.856209777752703,65.26866006068158
130,1300,-542733.4679332869,22.85910517862085,65.44516965636285
