,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-641734.1000788108,-0.0,0.0
1,10,-641734.2101113112,0.14310333395551425,0.07155166697775713
2,20,-641735.4850905779,0.6858061969920528,0.3145548832035275
3,30,-641740.1543096701,1.6814580908365313,0.7662494475909626
4,40,-641750.5862262847,2.9223792656441216,1.4117898709358996
5,50,-641768.5179492402,4.158974169593421,2.1929846961007566
6,60,-641794.911154648,5.265604047838133,3.047682450379943
7,70,-641830.153382167,6.232909711031245,3.9316906242020195
8,80,-641874.340109997,7.0982670085970305,4.820540148741566
9,90,-641927.405442014,7.907497279052038,5.70348724117066
10,100,-641989.2604003889,8.690730970847653,6.577329194104823
11,110,-642059.8019342123,9.463050976578966,7.442004423400794
12,120,-642138.9436146641,10.22972275890643,8.298381552442152
13,130,-642226.609520871,10.986096583260219,9.14716217700916
14,140,-642322.7259048024,11.726691605133235,9.988514767757442
15,150,-642427.2204816319,12.442926974865255,10.822089414721994
16,160,-642540.0130280983,13.133153839642176,11.647264704706322
17,170,-642661.0125809925,13.793447903176999,12.463365406406227
18,180,-642790.1330359932,14.413284461310845,13.269424063431506
19,190,-642927.25985189,15.00649166004733,14.064700751510099
20,200,-643072.2825649133,15.566964970785193,14.848782551044131
21,210,-643225.0997368087,16.07539399777889,15.620704151451353
22,220,-643385.5660237749,16.561549181898567,16.379850472632093
23,230,-643553.5594198183,17.02352995460967,17.12632605581893
24,240,-643728.96139024,17.43532542907633,17.859638740401714
25,250,-643911.6252418795,17.830158745709923,18.579477861755002
26,260,-644101.4156324202,18.204350903019076,19.286164707881106
27,270,-644298.2193179338,18.531185323194958,19.979418477670695
28,280,-644501.8765682974,18.85061417942636,20.65920668659528
29,290,-644712.2670018743,19.15413844450379,21.326068563226727
30,300,-644929.2669530023,19.41766146864394,21.97994002065534
31,310,-645152.7341871175,19.674856062448804,22.62090409990342
32,320,-645382.5475529988,19.920476373750716,23.249497931347285
33,330,-645618.5882834091,20.13676641687341,23.86585789615492
34,340,-645860.7287484624,20.34391020137117,24.470135567642863
35,350,-646108.8505814181,20.538283717251034,25.062714770766615
36,360,-646362.8439559276,20.716988428880008,25.64385477427131
37,370,-646622.5852036754,20.8942184902524,26.21394502859475
38,380,-646887.978039425,21.052631100232247,26.773307636467504
39,390,-647158.9081702465,21.198534433569876,27.322092022899593
40,400,-647435.2727872384,21.343566485098577,27.860662686444993
41,410,-647716.9732234161,21.4746595608536,28.389343359714257
42,420,-648003.9111015368,21.59788500036228,28.908347130495528
43,430,-648295.9891639622,21.717222226210335,29.417990648910923
44,440,-648593.1188301214,21.826347163261396,29.918543161060366
45,450,-648895.2071716954,21.921243079035744,30.410139200914998
46,460,-649202.1686924907,22.019830895704217,30.893054556456626
47,470,-649513.9107288322,22.12401685555522,31.36776242589549
48,480,-649830.3662338997,22.210162745788693,31.834480169272865
49,490,-650151.4432364844,22.29398207651684,32.293325644233846
50,500,-650477.0722442636,22.369870559050398,32.744513962850036
51,510,-650807.1749131787,22.434563828352875,33.18815937264008
52,520,-651141.6741510747,22.51580174766721,33.62460417056719
53,530,-651480.5023262089,22.586970098700878,34.05418688786741
54,540,-651823.595905384,22.640442035940865,34.47690523399507
55,550,-652170.8765091249,22.708992218162205,34.89298434035155
56,560,-652522.2883574978,22.768393839755987,35.30271895486512
57,570,-652877.766322745,22.816239174318454,35.70615063447476
58,580,-653237.2439480685,22.873557032429545,36.10347891985875
59,590,-653600.667532277,22.926583925730707,36.49495784046157
60,600,-653967.9744055581,22.969387920107565,36.88066249057883
61,610,-654339.1121885382,23.00530808016188,37.260642155597445
62,620,-654714.0177883278,23.055403562734092,37.63514092850818
