,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-636211.1540393515,-0.0,0.0
1,10,-636211.8235290768,0.4783161323342938,0.2391580661671469
2,20,-636217.4358892754,1.761581002641469,0.9187113829946612
3,30,-636232.2951538207,3.436564146919409,1.9318673248082632
4,40,-636258.9493592521,5.115495023073164,3.144064893845644
5,50,-636298.5876338568,6.638799388121697,4.4473817105419595
6,60,-636351.6177794596,7.966962838108884,5.775175219196536
7,70,-636417.9905089979,9.102923429367365,7.089297605422327
8,80,-636497.3992852544,10.072245101141739,8.369021740627069
9,90,-636589.4100894497,10.908809908933478,9.604582054389176
10,100,-636693.542016555,11.644935183721827,10.792873808516017
11,110,-636809.3132694968,12.306795124069314,11.934520346068895
12,120,-636936.2644885904,12.91351291495376,13.031983162558756
13,130,-637073.9684318132,13.478074101652602,14.088433666130006
14,140,-637222.0320036757,14.0088288154744,15.107136446416554
15,150,-637380.0945913654,14.510871847029184,16.09114748948923
16,160,-637547.8247439481,14.987218335876236,17.04319379071967
17,170,-637724.9164091764,15.439658566567234,17.96565196861484
18,180,-637911.0855300601,15.869256805168709,18.86057226254634
19,190,-638106.0668353793,16.276766983143197,19.729720924819418
20,200,-638309.6113312948,16.662831411929808,20.574627683358273
21,210,-638521.4841394415,17.028060122433793,21.396628471571606
22,220,-638741.4627953533,17.373132501135107,22.19690239496704
23,230,-638969.3358437369,17.69878447523225,22.976502499691563
24,240,-639204.9017730502,18.00580275049434,23.73637957457104
25,250,-639447.9680427718,18.295062200559187,24.47740170921752
26,260,-639698.350421998,18.567430129350377,25.20036891725467
27,270,-639955.8723413276,18.823782546733867,25.906023446960898
28,280,-640220.3643480678,19.06504562057092,26.595059255865635
29,290,-640491.6637251378,19.292098925972823,27.26812889436551
30,300,-640769.6140535956,19.505790268129193,27.925847794109725
31,310,-641054.0649005701,19.706975553539824,28.568798742990477
32,320,-641344.8714794809,19.896446803212143,29.1975351687026
