,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-662412.8701283884,-0.0,0.0
1,10,-662413.4272128196,0.4024311158194905,0.20121555790974524
2,20,-662418.0130560101,1.5572173308522905,0.7917354485325632
3,30,-662430.6386263147,3.205188459868077,1.7152378578903154
4,40,-662454.3003302489,4.946304631722159,2.867724013500265
5,50,-662490.5858859414,6.513261424333905,4.137338234898925
6,60,-662540.0506508049,7.8278395955159805,5.440984343625313
7,70,-662602.6392369628,8.908463360011227,6.729623121347685
8,80,-662677.9865686643,9.805226461426358,7.978768586616207
9,90,-662765.5980928985,10.568897954322164,9.178756237917696
10,100,-662864.9486188309,11.240116682456573,10.327923069502868
11,110,-662975.5298286312,11.847969861782628,11.42847298825218
12,120,-663096.8711357273,12.41175716081634,12.484173621246011
13,130,-663228.545091134,12.943503545993,13.499157229074628
14,140,-663370.166176493,13.450179683323947,14.47734784865461
15,150,-663521.3865183938,13.93559924889996,15.422231383736655
16,160,-663681.8903020683,14.401551505364466,16.336799843242623
17,170,-663851.3895436506,14.84837853631762,17.22356534355931
18,180,-664029.618306407,15.276366690342567,18.08462587850954
19,190,-664216.3299301693,15.685563414660269,18.921747382282046
20,200,-664411.2937922798,16.075664470728945,19.73641697864659
21,210,-664614.2925554557,16.4467827727116,20.529898656431758
22,220,-664825.120607094,16.799104604043524,21.30328655435878
23,230,-665043.5823860235,17.13288981810039,22.057538512749304
24,240,-665269.4912484611,17.448641214170493,22.7935059978583
25,250,-665502.6685467097,17.746987015343628,23.511959096793724
26,260,-665742.9429585184,18.028447885712385,24.21359975797968
27,270,-665990.1498866205,18.29376200287368,24.89907404928235
28,280,-666244.130742246,18.543942243838693,25.568989245488773
29,290,-666504.7330961651,18.77962177981974,26.223917653682292
30,300,-666771.8098720363,19.001398125838023,26.864394204856943
31,310,-667045.2192323026,19.21024303437148,27.490926803207547
32,320,-667324.8241993277,19.407052316144075,28.104004625233937
33,330,-667610.4927788071,19.592321523232386,28.7040931740863
34,340,-667902.0973420143,19.766744020767522,29.29163394256902
35,350,-668199.5145938245,19.931228381261512,29.867053188657152
36,360,-668502.6254776665,20.086383594560928,30.430762572599633
37,370,-668811.3149555634,20.232646044783166,30.983154258264403
38,380,-669125.4718173126,20.37040923543392,31.52460009447095
39,390,-669444.9884481615,20.500396585333522,32.055457392185055
40,400,-669769.7606929961,20.62351519893852,32.576076929419656
41,410,-670099.6879885395,20.739959333784558,33.086797202745224
42,420,-670434.6730838785,20.849690127378622,33.58793413283857
43,430,-670774.6216355845,20.953615442171607,34.07979142078112
44,440,-671119.4423225012,21.05202580819605,34.56266567797139
45,450,-671469.0470179246,21.145165506110093,35.03683952737484
46,460,-671823.3497664041,21.233804849669006,35.5025880374029
47,470,-672182.2681029368,21.317611685930718,35.960173367071555
48,480,-672545.7213884372,21.39706371361393,36.40984255046351
49,490,-672913.6318361923,21.472641184873716,36.851837214332775
50,500,-673285.9238968983,21.54444698011506,37.28639026765305
51,510,-673662.5242561294,21.612851577930233,37.71372543919861
52,520,-674043.3619629435,21.677623607998285,38.13405482948147
53,530,-674428.367932206,21.739291181790684,38.54758117067832
54,540,-674817.4751240717,21.798491718299843,38.95450670961728
55,550,-675210.6186204953,21.85462670816939,39.35502302051755
56,560,-675607.7353161024,21.907970021735025,39.74930832033133
57,570,-676008.7635827542,21.95909079547839,40.1375387989945
58,580,-676413.6440581486,22.00798190539919,40.5198863844067
59,590,-676822.3184332906,22.054741804150567,40.8965149579104
60,600,-677234.7307187503,22.099121407605793,41.26757889453438
61,610,-677650.8256511518,22.141709604085147,41.633227662582065
62,620,-678070.550126957,22.182419130689276,41.99360756242677
63,630,-678493.8520228518,22.221238370641412,42.3488570739748
64,640,-678920.6807733126,22.258867300674183,42.69911350944894
65,650,-679350.9871173268,22.29467578804174,43.04450841629732
66,660,-679784.7232117311,22.328894698253322,43.385164215527766
67,670,-680221.8420122868,22.362154775552288,43.721204260752714
68,680,-680662.298313603,22.3936357952536,44.05274509953888
69,690,-681106.0474474112,22.423570583428955,44.37989382817759
70,700,-681553.0461424134,22.452944258228097,44.70276164335956
71,710,-682003.2520538884,22.48124144036852,45.02145841832535
72,720,-682456.6242250856,22.50795427607378,45.336082258046375
73,730,-682913.122148501,22.53394848548908,45.64672960898898
74,740,-683372.7067268001,22.559037851710826,45.95349765333376
75,750,-683835.3396121467,22.582746948537746,46.256475231087826
76,760,-684300.983303029,22.605937620915938,46.55575015123323
77,770,-684769.6012074983,22.628427502486684,46.85141126598028
78,780,-685241.1577411636,22.649649510579295,47.14353916787077
79,790,-685715.617830124,22.67019412943611,47.43221147016157
80,800,-686192.9473841755,22.690488978522012,47.71750926760287
81,810,-686673.1130320557,22.710154281268593,47.99951096125733
82,820,-687156.0822716766,22.72833434625622,48.27828450334637
83,830,-687641.8231249904,22.74570291030698,48.55389421458531
84,840,-688130.3041515418,22.76370451961435,48.82641476246209
85,850,-688621.4950024603,22.78092245486908,49.09591842985539
86,860,-689115.365890702,22.796659131522695,49.36246257194145
87,870,-689611.8873140266,22.81217743551527,49.6261057558426
88,880,-690111.0307271327,22.827509649260776,49.88691198323359
89,890,-690612.7679830345,22.842520027078116,50.144942506801456
90,900,-691117.071704313,22.856433009408583,50.400251454384126
91,910,-691623.9149531781,22.869916154089086,50.65289051773725
