,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-601111.4529253314,-0.0,0.0
1,10,-601111.9837622958,0.48696452908916393,0.24348226454458197
2,20,-601117.3644674266,1.8750544185924811,0.9557281337372843
3,30,-601132.5240173881,3.809242915330106,2.059365557607089
4,40,-601160.7770978935,5.809331636351999,3.420405831372773
5,50,-601203.8541780182,7.586429998045786,4.905215285721352
6,60,-601262.283044724,9.04570832577883,6.417667312674166
7,70,-601335.8757786326,10.214801023277687,7.901104984342237
8,80,-601424.0937137264,11.16183530795388,9.328348335609189
9,90,-601526.2676708086,11.952994502568618,10.690018292499007
10,100,-601641.7135592685,12.638712432759352,11.986009164279675
11,110,-601769.783982996,13.25356224578863,13.22037943345349
12,120,-601909.8882545417,13.819120425567956,14.398610765388002
13,130,-602061.4950669863,14.347919885005117,15.526250522286864
14,140,-602224.1266845667,14.84697554505546,16.608342721396184
15,150,-602397.3535967766,15.31956436575273,17.649243993530398
16,160,-602580.7850447205,15.76761013017969,18.652633955623607
17,170,-602774.0642982089,16.19210283342692,19.621610090821925
18,180,-602976.8624301997,16.593349967646645,20.55877479744231
19,190,-603188.8740651316,16.971865605420298,21.466329227680397
20,200,-603409.8139267182,17.328215463901877,22.34616265652585
21,210,-603639.4140754342,17.662969597426127,23.199914938300207
22,220,-603877.4218541645,17.976957080769353,24.02902903985814
23,230,-604123.5978373509,18.27127652870551,24.834797909906776
24,240,-604377.7151581212,18.546671599592074,25.618388565232454
25,250,-604639.557732361,18.804428164366982,26.380866120177963
26,260,-604908.9195814106,19.045507305359934,27.12321443933761
27,270,-605185.6047124341,19.27051355787262,27.84633555739274
28,280,-605469.4247851698,19.48108658704438,28.551073465772788
29,290,-605760.2006014818,19.678169042055387,29.238228788557173
30,300,-606057.7601126247,19.862150233355393,29.908543402366924
31,310,-606361.9387926565,20.034203057966057,30.56271154697606
32,320,-606672.5783070575,20.195656035468005,31.201400979916798
33,330,-606989.5275684221,20.346672043815488,31.825241015225764
34,340,-607312.6410715346,20.488003557419773,32.4348180949426
35,350,-607641.7789769681,20.621156817374917,33.030700219438586
36,360,-607976.8073696087,20.745864206215003,33.613425176836614
37,370,-608317.5974218769,20.862380609614775,34.1834862419928
38,380,-608664.0246279119,20.972388771746665,34.741362788123666
39,390,-609015.9697917689,21.075956932434845,35.28751984801929
40,400,-609373.3180849222,21.173463580780663,35.82239271883591
41,410,-609735.9585277456,21.265756001006288,36.34639950141282
42,420,-610103.7850055132,21.351825654442685,36.8599263898781
43,430,-610476.6943427476,21.432985032055907,37.36333554671292
44,440,-610854.5869981562,21.510652926703884,37.85699554070307
45,450,-611237.3678182445,21.58361647518177,38.341252739341876
46,460,-611624.9441298234,21.652394470473617,38.816422813986726
47,470,-612017.2267306083,21.71814086008817,39.28281897949929
48,480,-612414.1294305953,21.780171446129714,39.74073981709953
49,490,-612815.5691671083,21.838367926029605,40.19045709203783
50,500,-613221.464874239,21.89408796795753,40.63223846075853
51,510,-613631.7388427316,21.947001503795036,41.06634602184786
52,520,-614046.3155882572,21.99720137839904,41.493024254972994
53,530,-614465.1218528677,22.04545227941122,41.91251177158848
54,540,-614888.0872264125,22.090847271296738,42.32503261863022
55,550,-615315.1429401957,22.133841503047655,42.73079424170865
56,560,-615746.2224551392,22.17523497072972,43.130004152026956
57,570,-616181.2613667988,22.21473831026528,43.522863446937116
58,580,-616620.1971374163,22.252073234389577,43.9095577900036
59,590,-617062.9690834441,22.288001554261427,44.29026737664535
60,600,-617509.5180770966,22.32277634914503,44.66517188199214
61,610,-617959.7873096177,22.355439237301514,45.0344363234588
62,620,-618413.7208676762,22.386276359954906,45.39821211545641
63,630,-618871.2648402093,22.41638488445601,45.75665441877354
64,640,-619332.3664171977,22.44577214531614,46.109919830202124
65,650,-619796.9749961243,22.472909844131298,46.45814596234995
