,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,,,0.0
1,10,,,
2,20,,,
3,30,,,
4,40,,,
5,50,,,
6,60,,,
7,70,,,
8,80,,,
9,90,,,
10,100,,,
11,110,,,
12,120,,,
13,130,,,
14,140,,,
15,150,,,
16,160,,,
17,170,,,
18,180,,,
19,190,,,
20,200,,,
21,210,,,
22,220,,,
23,230,,,
24,240,,,
25,250,,,
26,260,,,
27,270,,,
28,280,,,
29,290,,,
30,300,,,
31,310,,,
32,320,,,
33,330,,,
34,340,,,
35,350,,,
36,360,,,
37,370,,,
38,380,,,
39,390,,,
40,400,,,
41,410,,,
42,420,,,
43,430,,,
44,440,,,
45,450,,,
46,460,,,
47,470,,,
48,480,,,
49,490,,,
50,500,,,
51,510,,,
52,520,,,
53,530,,,
54,540,,,
55,550,,,
56,560,,,
57,570,,,
58,580,,,
59,590,,,
60,600,,,
61,610,,,
62,620,,,
63,630,,,
64,640,,,
65,650,,,
66,660,,,
67,670,,,
68,680,,,
69,690,,,
70,700,,,
71,710,,,
72,720,,,
73,730,,,
74,740,,,
75,750,,,
76,760,,,
77,770,,,
78,780,,,
79,790,,,
80,800,,,
81,810,,,
82,820,,,
83,830,,,
84,840,,,
85,850,,,
86,860,,,
87,870,,,
88,880,,,
89,890,,,
90,900,,,
91,910,,,
92,920,,,
93,930,,,
94,940,,,
95,950,,,
96,960,,,
97,970,,,
98,980,,,
99,990,,,
100,1000,,,
101,1010,,,
102,1020,,,
103,1030,,,
104,1040,,,
105,1050,,,
106,1060,,,
107,1070,,,
108,1080,,,
109,1090,,,
110,1100,,,
111,1110,,,
112,1120,,,
113,1130,,,
114,1140,,,
115,1150,,,
116,1160,,,
117,1170,,,
118,1180,,,
119,1190,,,
120,1200,,,
121,1210,,,
122,1220,,,
123,1230,,,
124,1240,,,
125,1250,,,
126,1260,,,
127,1270,,,
128,1280,,,
129,1290,,,
130,1300,,,
131,1310,,,
132,1320,,,
133,1330,,,
134,1340,,,
135,1350,,,
136,1360,-679511.6759433158,,
137,1370,-680016.6001135831,,
138,1380,-680523.9717339516,33.7572696612915,
139,1390,-681033.7840563541,34.05586396536693,
140,1400,-681546.0522404312,34.30069301684853,
141,1410,-682060.7682477481,34.549958391967515,
142,1420,-682577.9329449156,34.81882993789,
143,1430,-683097.5538457782,35.05339032974464,
144,1440,-683619.6217705093,35.31327786692418,
145,1450,-684144.1445879565,35.55505831084146,
146,1460,-684671.1198399549,35.787283085304495,
147,1470,-685200.5436220826,36.69851326995143,
148,1480,-685732.4226444924,36.82157436882834,
149,1490,-686266.9286462141,35.63823100220428,
150,1500,-686803.6772258863,36.02903094812042,
151,1510,-687342.8809806817,37.06240899520064,
152,1520,-687884.5395488663,37.26507808719751,
153,1530,-688428.6511718369,37.4325787508165,
154,1540,-688975.208471343,38.15081727056531,
155,1550,-689524.2076580903,38.11747014880518,
156,1560,-690075.7866970069,37.34732575082475,
157,1570,-690629.6009108337,37.52488345025631,
158,1580,-691185.9411600428,37.97579344912083,
159,1590,-691744.554643437,38.81588891173608,
160,1600,-692305.7097480025,39.054281324148405,
161,1610,-692869.2733795402,38.707618670500004,
162,1620,-693435.2419062932,38.84870430598932,
163,1630,-694003.608915313,38.96613041512913,
164,1640,-694574.3663372521,39.08636002725689,
165,1650,-695147.5066916785,39.20728716196015,
166,1660,-695723.0240267542,39.31409418399562,
167,1670,-696300.9092649318,39.41108933298686,
168,1680,-696881.1549919633,39.50769106617699,
169,1690,-697463.7516200612,39.776283560539014,
170,1700,-698048.6925502834,39.81049191352213,
171,1710,-698636.0084801754,39.49670643048848,
172,1720,-699225.5972831714,39.630712484428415,
173,1730,-699817.5043359458,39.90118593244746,
174,1740,-700411.7184608232,39.916146610682816,
175,1750,-701008.2258994463,39.889317394045065,
176,1760,-701607.0157641326,39.84344984097419,
177,1770,-702208.0650212083,39.89674733868426,
178,1780,-702811.3683969514,39.94413265209334,
179,1790,-703416.920357058,39.899986412940656,
180,1800,-704024.6972393548,39.8909227662368,
181,1810,-704634.691890989,39.892857771727854,
182,1820,-705246.8907312619,39.86002984624382,
183,1830,-705861.2795260849,39.822841312494845,
184,1840,-706477.8446692891,39.76614947020968,
185,1850,-707096.5716073693,39.69749533367576,
186,1860,-707717.4434224184,39.653992891096145,
187,1870,-708340.4469308881,39.62667081796985,
188,1880,-708965.5699159545,39.57915691721759,
189,1890,-709592.79854763,39.51470392112056,
190,1900,-710222.117506707,39.445211905112956,
191,1910,-710853.5130646726,39.36752952935681,
192,1920,-711486.9693525974,39.287177037075026,
193,1930,-712122.4720905172,39.20345887737626,
194,1940,-712760.0060270372,39.11148157241405,
195,1950,-713399.5561855591,39.018436133891065,
196,1960,-714041.1069244816,38.924118669179734,
197,1970,-714684.6440623722,38.823940394835965,
