,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-647023.7770880461,-0.0,0.0
1,10,-647023.9279744913,0.19267904690059368,0.09633952345029684
2,20,-647025.7129580805,0.9019731204432901,0.41817232701141627
3,30,-647031.9369092577,2.2065867799246917,1.0114300704430208
4,40,-647045.6882905237,3.8756265965057537,1.863647858327022
5,50,-647069.3670010897,5.58948688179953,2.9070498710701944
6,60,-647104.419888932,7.1471118806221074,4.061591215968656
7,70,-647151.5129879762,8.483450856246053,5.263144648133312
8,80,-647210.7988998778,9.611230187769976,6.469807310315082
9,90,-647282.1358368983,10.571535483392651,7.657816723905853
10,100,-647365.2340617625,11.407743540476076,8.815511427784804
11,110,-647459.7432879689,12.155232901789716,9.938409191253594
12,120,-647565.300197809,12.839230658928866,11.025887721820617
13,130,-647681.5515859551,13.476119696092796,12.079167961946222
14,140,-647808.1637693853,14.07574148171698,13.100185310868255
15,150,-647944.8248676215,14.643591416242998,14.091010077661485
16,160,-648091.2437451951,15.182537177065385,15.053584078319545
17,170,-648247.147726398,15.694003781981879,15.989626711631718
18,180,-648412.2800639475,16.178738301806145,16.90062445543299
19,190,-648586.3976528967,16.637256255111424,17.78785638573463
20,200,-648769.2691344818,17.07007477158914,18.652430788053607
21,210,-648960.6733820378,17.477826359431507,19.495321380186944
22,220,-649160.3983545592,17.861289680900533,20.3173985048692
23,230,-649368.2402090064,18.22138066026381,21.119453877583148
24,240,-649584.0026467837,18.559119869722053,21.902219179077655
25,250,-649807.496393645,18.875609743699904,22.66637970457086
26,260,-650038.5388054578,19.172006451466586,23.41258433120383
27,270,-650276.9535538735,19.449469205515925,24.141452118620506
28,280,-650522.5703586725,19.709150454832667,24.853576589543078
29,290,-650775.2247425546,19.952187754330225,25.54952894195157
30,300,-651034.7578411085,20.179676350409874,26.229860118268693
31,310,-651301.0161902072,20.392669570090916,26.895102082766236
32,320,-651573.8515586783,20.592150645982485,27.54576846193377
33,330,-651853.1207598858,20.779059915320236,28.18235505691846
34,340,-652138.6854645556,20.954297801112965,28.805340736311337
35,350,-652430.4120688556,21.118668715600542,29.41518744192872
36,360,-652728.1714854931,21.27294229001275,30.012340241100173
37,370,-653031.8389992147,21.41784098861387,30.597228056535823
38,380,-653341.294108975,21.554017586429836,31.170263834724025
39,390,-653656.4203522642,21.68209914027249,31.731844959285805
40,400,-653977.1051720215,21.802655549952732,32.28235378366371
41,410,-654303.239755714,21.916185074055043,32.822157527721714
42,420,-654634.7188906181,22.023179878271215,33.351608790241876
43,430,-654971.4408031384,22.124120978370897,33.87104672375717
44,440,-655313.3070662415,22.21940016768643,34.38079712815961
45,450,-655660.2224282172,22.309377077108365,34.88117227940674
46,460,-656012.0946965629,22.39443384683681,35.37247200613491
47,470,-656368.8346106978,22.474908904972835,35.85498454092448
48,480,-656730.3557476206,22.551063425140455,36.328986227187855
49,490,-657096.5743752252,22.62320789526261,36.79474219802214
50,500,-657467.4093515326,22.691615449293856,37.25250741267082
51,510,-657842.7820645651,22.756464081670856,37.70252615619975
52,520,-658222.616247804,22.818000159726907,38.145032592925425
53,530,-658606.8379610279,22.876453063107366,38.58025203555008
54,540,-658995.3754518906,22.932013573375336,39.008401089497795
55,550,-659388.1591050854,22.984856234979816,39.429687787010344
56,560,-659785.1213326983,23.03510116939421,39.84431157166546
57,570,-660186.196508223,23.082931642470026,40.25246397433366
58,580,-660591.3208571983,23.12853439729669,40.654329748064626
59,590,-661000.4324598815,23.17195808491965,41.05008619142609
60,600,-661413.4710950758,23.213326309283815,41.43990310348018
61,610,-661830.3782136316,23.25284930772327,41.82394461486402
62,620,-662251.0968838262,23.290585669811072,42.20236904412596
63,630,-662675.5717374195,23.32656910460214,42.575327848744934
64,640,-663103.7488568797,23.360977414622766,42.94296698562685
65,650,-663535.5757812738,23.393894187436626,43.305427653889645
66,660,-663971.0014408173,23.425339999672868,43.66284538306792
67,670,-664409.976067705,23.455416120006703,44.01535049884116
68,680,-664852.4512005122,23.48423102613296,44.36306908695698
