,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-562577.2973648518,-0.0,0.0
1,10,-562577.424387395,0.1684848631295608,0.0842424315647804
2,20,-562578.9478085758,0.8085825048736296,0.3706304893479682
3,30,-562584.4178270067,2.0196796577627536,0.9093893918601679
4,40,-562596.7699023973,3.6027545777033083,1.6963469903668735
5,50,-562618.3403287218,5.26610862801317,2.673302175381104
6,60,-562650.6195419958,6.824422402860362,3.768614905087451
7,70,-562694.391699461,8.211744576628554,4.923869956037378
8,80,-562749.9653309467,9.432113419333476,6.099930228790617
9,90,-562817.3673249239,10.514727691677393,7.273588855925481
10,100,-562896.4716869943,11.48994735442102,8.432237762073054
11,110,-562987.0750734608,12.381281013315315,9.569520630399346
12,120,-563088.9378324596,13.204612537776118,10.682498320078592
13,130,-563201.8056620462,13.969751189602542,11.769988631829618
14,140,-563325.4193530508,14.682702421804427,12.831668983856797
15,150,-563459.5201004457,15.347648658716935,13.867639501830853
16,160,-563603.85145199,15.967526875622568,14.878213005317956
17,170,-563758.1616019352,16.544511430684366,15.863801497554231
18,180,-563922.2023681182,17.08113099480397,16.82488063589408
19,190,-564095.7313656145,17.57972325818553,17.761980793128895
20,200,-564278.5113531238,18.042458477139007,18.67566655132541
21,210,-564470.3110729952,18.47164985552081,19.566529200290095
22,220,-564670.9052550837,18.86967575523886,20.435186654490824
23,230,-564880.0748753388,19.23876231722246,21.282276885073223
24,240,-565097.6076584167,19.580858486238867,22.108445400287746
25,250,-565323.2973947559,19.897986347932584,22.91433967904304
26,260,-565556.9448258935,20.19228448851498,23.700612569242363
27,270,-565798.3566923296,20.465815233063775,24.467922310873107
28,280,-566047.3470464295,20.71974569155138,25.21691434804088
29,290,-566303.7357161746,20.955734118484543,25.94821556748211
30,300,-566567.3489036678,21.17556871994749,26.662447473478093
31,310,-566838.0192008726,21.379957651611758,27.36021164544945
32,320,-567115.5848525326,21.570445119310136,28.04208787707757
33,330,-567399.8897277018,21.748484136155447,28.708648568978237
34,340,-567690.7838577966,21.914539049350424,29.360443688968367
35,350,-567988.1220534839,22.069664454451424,29.997997242824926
36,360,-568291.7646737068,22.21508469306869,30.62182100656209
37,370,-568601.5768529281,22.351060858243727,31.232405212470617
38,380,-568917.4289170539,22.478229700896136,31.830212755694806
39,390,-569239.1949614084,22.597916776107713,32.41569581771473
40,400,-569566.7544548229,22.709986936417437,32.989287536164916
41,410,-569899.9904204282,22.81547162149218,33.55139983166882
42,420,-570238.7899795283,22.914978534635097,34.10243465397507
43,430,-570583.044876152,23.007885402589515,34.64276556867553
44,440,-570932.6492933143,23.095658260153172,35.17274978191563
45,450,-571287.5020159711,23.178816937681308,35.69274285438151
46,460,-571647.5046600641,23.256561583914994,36.20307397766883
47,470,-572012.5625486238,23.32972313388018,36.70405123451492
48,480,-572382.5831238434,23.40005367631096,37.1959903376206
49,490,-572757.4781647946,23.466167447195144,37.679191584985524
50,500,-573137.161632353,23.52742476810814,38.153916520903294
51,510,-573521.5498360244,23.58594660446397,38.62042553921638
52,520,-573910.562080677,23.642293792171515,39.07899005785003
53,530,-574304.1202889048,23.695032521057836,39.52985784850317
54,540,-574702.1489088412,23.744100810406962,39.97324867643621
55,550,-575104.5737851972,23.791433955921093,40.4093872249534
56,560,-575511.3239598279,23.836340446188075,40.83849745645857
57,570,-575922.3301425485,23.878398652086616,41.26078156202711
58,580,-576337.5249682761,23.918970160145463,41.67643921794806
59,590,-576756.8432708838,23.957736438509976,42.08566890130314
60,600,-577180.2218182142,23.99318153463554,42.48864374549157
61,610,-577607.5989323977,24.02673702498137,42.88552739236475
62,620,-578038.9141225086,24.060553925140994,43.27650458498538
63,630,-578474.109831305,24.09205363133797,43.66174808504002
64,640,-578913.1293648193,24.120500912144735,44.041396273268035
65,650,-579355.9172722005,24.148225930461287,44.415593270724635
66,660,-579802.4199202,24.17483119983212,44.7844915154099
67,670,-580252.5851598224,24.19984089357027,45.14823000357865
68,680,-580706.3618884291,24.223323142063062,45.50693850130483
69,690,-581163.7007136494,24.24701279581335,45.86075416274107
