,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-738273.838220846,-0.0,0.0
1,10,-738273.9715491201,0.11109954981948249,0.055549774909741244
2,20,-738274.961605978,0.5903408604674041,0.25868476493633347
3,30,-738278.6821876612,1.6210984883975468,0.6764530614527755
4,40,-738287.8918083193,3.082492678589187,1.331947727676015
5,50,-738305.0074727142,4.666979934248957,2.183957305924559
6,60,-738331.6469374464,6.147916679031915,3.162981689268781
7,70,-738368.6685972412,7.430588975417777,4.206064434575091
8,80,-738416.3881777672,8.510637886472978,5.268735657866636
9,90,-738474.7902301991,9.423527762186131,6.324179845892649
10,100,-738543.6826075203,10.213405846792742,7.358379458353738
11,110,-738622.7942087668,10.918885738996329,8.365362738829573
12,120,-738711.8306606605,11.568757347925562,9.343707283129335
13,130,-738810.5032263853,12.182111459801666,10.294281587746811
14,140,-738918.5412382939,12.770284847542646,11.218905937898674
15,150,-739035.6956638802,13.339135014844947,12.11962537342479
16,160,-739161.738344063,13.89094774466939,12.998355324273872
17,170,-739296.4591280813,14.426113314289246,13.856744891715062
18,180,-739439.6628191939,14.943992114538561,14.696153234205848
19,190,-739591.1663883161,15.443435021443308,15.517670311051187
20,200,-739750.7961656904,15.923548797785756,16.322165215770656
21,210,-739918.3861433328,16.383563751191808,17.110338786934154
22,220,-740093.7766097825,16.822843874560235,17.882760998938465
23,230,-740276.812686447,17.241357445623752,18.63991047810705
24,240,-740467.3440427374,17.639188408199672,19.382205688327666
25,250,-740665.224199032,18.016478110512235,20.110018342375405
26,260,-740870.3101230393,18.373906132485736,20.823692253287298
27,270,-741082.4620765937,18.71222220287018,21.52355923537543
28,280,-741301.5437512373,19.031972597981813,22.209938522297303
29,290,-741527.4217648263,19.33410392833755,22.88314179528679
30,300,-741759.9659117182,19.619551213283515,23.543480934962275
31,310,-741999.0491826152,19.889016253547787,24.19126403991831
32,320,-742244.5474738168,20.143535150773857,24.826797361383797
33,330,-742496.339847183,20.383985514278137,25.45038836348249
34,340,-742754.3084548538,20.611071169003832,26.062340616629807
35,350,-743018.3383729801,20.825682423033854,26.662954353309757
36,360,-743288.3177549132,21.02865883862834,27.2525288083023
37,370,-743564.1376786893,21.220651783398353,27.83135907903488
38,380,-743845.69223146,21.4023376438359,28.39973434951534
39,390,-744132.8782295698,21.574467861987124,28.957939797175634
40,400,-744425.595484474,21.73757102503444,29.50625517680892
41,410,-744723.7464397958,21.89218052080249,30.04495262585115
42,420,-745027.236308513,22.038925218034986,30.574298594438005
43,430,-745335.9728749202,22.17837659869688,31.094554851780412
44,440,-745649.8665851406,22.310872705583492,31.60597559614689
45,450,-745968.8303580434,22.436791958956714,32.108805928961374
46,460,-746292.7794733187,22.55671044774347,32.603285252695784
47,470,-746621.6316562413,22.67097203677126,33.08964744158001
48,480,-746955.306892321,22.779799970006536,33.568117578183596
49,490,-747293.7273987257,22.88366003252148,34.03891389623023
50,500,-747636.8174779649,22.98283481635739,34.50224897941953
51,510,-747984.5036800122,23.077456198711406,34.9583268981587
52,520,-748336.7143314619,23.167973639245574,35.40734544603474
53,530,-748693.3799269447,23.25464439436615,35.84949786101788
54,540,-749054.432703143,23.33763445306701,36.28497050659935
55,550,-749419.8068488919,23.41700006953033,36.71394153331203
56,560,-749789.4382114559,23.493058467912448,37.136582802732306
57,570,-750163.2643163442,23.56613321765904,37.55306272016024
58,580,-750541.2244758174,23.636258908599807,37.96354403964216
59,590,-750923.2594211422,23.703737288343753,38.368184021864735
60,600,-751309.3116083917,23.76844264974352,38.7671335068415
61,610,-751699.3248563051,23.8305595347514,39.16053631745891
62,620,-752093.2443693992,23.890557810180965,39.54853456145358
63,630,-752491.0168878844,23.948396985494675,39.93126699298738
64,640,-752892.59039351,24.00394782647504,40.30886447812372
65,650,-753297.9142508829,24.057389384601358,40.68145216193807
66,660,-753706.9388850123,24.109091695456296,41.04915363741456
67,670,-754119.6161611951,24.159097996822627,41.41209004756674
68,680,-754535.8989472392,24.207389843172766,41.77037733721517
69,690,-754955.7414135949,24.253846343775415,42.12412536050542
70,700,-755379.0986505502,24.298614905914246,42.47343940528516
71,710,-755805.9268667737,24.342205311253302,42.81842492139257
72,720,-756236.1832766647,24.384448792808737,43.1591853524078
73,730,-756669.8262384378,24.42513609493025,43.49581725506287
74,740,-757106.8148187752,24.46467232668079,43.82841454781301
75,750,-757547.1092463182,24.50293157737189,44.15706926504063
76,760,-757990.6705080892,24.539880987873662,44.48186872766965
77,770,-758437.4604843733,24.575790108903366,44.802898365771405
78,780,-758887.441924239,24.610670360917048,45.1202421258684
79,790,-759340.5783666407,24.64442573684478,45.43398021139147
80,800,-759796.8341969842,24.67719567776669,45.7441900624588
81,810,-760256.1744391547,24.70923055320757,46.05094864997081
82,820,-760718.5650675682,24.740256782603566,46.354329988780954
83,830,-761183.9726008307,24.77030353564175,46.654403909062964
84,840,-761652.364356095,24.79957562063349,46.951239126612194
85,850,-762123.7082581866,24.828067777169114,47.24490310567634
86,860,-762597.9729663458,24.855512998678023,47.53545935969304
87,870,-763075.1277121435,24.882436358081883,47.82297066400206
88,880,-763555.142280317,24.909011565824102,48.107501646612945
89,890,-764037.9873667248,24.934426104978648,48.389111166952354
90,900,-764523.6338722727,24.959261772106593,48.66785477788653
91,910,-765012.0535049487,24.983561226606188,48.94378965771902
92,920,-765503.2184694604,25.0068822514031,49.21696894090855
93,930,-765997.1014283273,25.029794403279084,49.48744469678058
94,940,-766493.6756241487,25.05245514893911,49.75527122404891
95,950,-766992.914854675,25.07433137470798,50.02049912933288
96,960,-767494.7933980493,25.095454891025952,50.28317478868703
97,970,-767999.285894233,25.116348107691945,50.543345994806444
98,980,-768506.3676114879,25.136489695933484,50.80105910310959
99,990,-769016.0141907427,25.15637106578783,51.05635887863755
100,1000,-769528.201616639,25.176038113131582,51.30929144832335
101,1010,-770042.9066775821,25.194448691347713,51.55989663241053
102,1020,-770560.1060370355,25.212622504751415,51.80821291272005
103,1030,-771079.7771639031,25.230903123540045,52.054284311758245
104,1040,-771601.8977603749,25.24862387964953,52.29815203881444
105,1050,-772126.4460592042,25.26550223279628,52.539851569014715
106,1060,-772653.4004928989,25.282051674951724,52.77941844513989
107,1070,-773182.7399077368,25.29874124236544,53.016891822891196
108,1080,-773714.4436222813,25.314580665703474,53.252307372623186
109,1090,-774248.491229631,25.330034042801476,53.48569732204487
110,1100,-774784.8625222807,25.34532450296691,53.717096159223
111,1110,-775323.537976862,25.360103792205337,53.94653688145772
112,1120,-775864.4979039175,25.375114203383987,54.17405334306095
113,1130,-776407.7235002344,25.38916382007301,54.39967653572967
114,1140,-776953.1958263412,25.40258862905337,54.623432830969975
