,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-646255.2744289031,-0.0,0.0
1,10,-646255.2637334316,0.06997037541004829,0.034985187705024144
2,20,-646255.4910149166,0.524410680111032,0.20107304543780627
3,30,-646258.0411575049,1.6389239705895307,0.6053297105638193
4,40,-646266.1958145322,3.2231001464999283,1.2813712239745656
5,50,-646282.6709011861,4.885907150688581,2.1728494573559147
6,60,-646309.1316156129,6.396988025482279,3.1945225078816293
7,70,-646346.3879020727,7.6976825846213615,4.277439313668583
8,80,-646394.7140035301,8.814075691462492,5.378153514715086
9,90,-646454.0916605858,9.795649083002354,6.4732359722649555
10,100,-646524.3667699046,10.685833066323545,7.551730352414597
11,110,-646605.3316372456,11.512478902956353,8.6093165013197
12,120,-646696.7628685444,12.290975533565504,9.644734977473854
13,130,-646798.4351735525,13.029553224271508,10.657995620511064
14,140,-646910.1288856295,13.733176882797855,11.649602885940112
15,150,-647031.6296428571,14.400745424878556,12.62009833639313
16,160,-647162.7325509511,15.03060009870677,13.569829436973668
17,170,-647303.2260999614,15.625181361619612,14.49909984775295
18,180,-647452.9127165194,16.18356271095691,15.408207414085336
19,190,-647611.5876896813,16.705213044927227,16.297361692326376
20,200,-647779.0563547788,17.192002133000628,17.16677261525474
21,210,-647955.1181489695,17.646168428295656,18.016719535920128
22,220,-648139.5839973042,18.067845162446634,18.84749924786156
23,230,-648332.2603576449,18.4609965608455,19.659458104654913
24,240,-648532.9622673977,18.827467476739557,20.453023022612616
25,250,-648741.5086472956,19.16423974027568,21.228546723183538
26,260,-648957.7196499524,19.476733463595128,21.98638408459665
27,270,-649181.4197205309,19.769254353496937,22.727033954046785
28,280,-649412.4412378357,20.04226673176747,23.451028877099453
29,290,-649650.6185779935,20.294806662230965,24.158836957003224
30,300,-649895.7946353358,20.528088737890346,24.850882228995033
31,310,-650147.8102722316,20.74763594940888,25.5276563307998
32,320,-650406.5188178198,20.951112924702443,26.18965675975487
33,330,-650671.7731096302,21.141239476684145,26.83733970945614
