,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-723231.1807202445,-0.0,0.0
1,10,-723231.2094842535,0.1514715237397468,0.0757357618698734
2,20,-723232.4523558923,0.7187381335825194,0.33115605713537666
3,30,-723237.3258732212,1.7224380849336742,0.7979136046866189
4,40,-723248.0987542117,2.945139956171624,1.453129113363684
5,50,-723266.4081033212,4.172285189430112,2.238500126828148
6,60,-723293.1965520928,5.279755522438791,3.0957082726410587
7,70,-723328.8686149367,6.235672479803907,3.9810930766398087
8,80,-723373.4927201235,7.061152359959671,4.867820276266139
9,90,-723426.9615407225,7.794149370572995,5.742150597128784
10,100,-723489.094649954,8.46985219520866,6.5986515052543835
11,110,-723559.6951303775,9.1137331455946,7.436404712541844
12,120,-723638.5759885653,9.741178321628833,8.256547740136739
13,130,-723725.5695678347,10.359568104136263,9.060875097286772
14,140,-723820.5279215821,10.970885836513473,9.851137375672987
15,150,-723923.3195994585,11.57393534643052,10.628752571858058
16,160,-724033.8252427032,12.16599121103063,11.394737642083783
17,170,-724151.9334586727,12.743853235538696,12.149744080238452
18,180,-724277.5375418519,13.304491926322232,12.894132513224031
19,190,-724410.5328549118,13.84535559347132,13.628053196385736
20,200,-724550.8153786146,14.364504591096185,14.351517274149227
21,210,-724698.2803681897,14.860702514142034,15.064456139263347
22,220,-724852.8222245595,15.333154182817106,15.766763166482269
23,230,-725014.3339814945,15.78159303504801,16.45832205282204
24,240,-725182.707532655,16.206264254939725,17.139030667590852
25,250,-725357.833843556,16.607615485772833,17.808813482617552
26,260,-725539.6032811754,16.98630657586037,18.467625534176477
27,270,-725727.9058903947,17.3431594313588,19.115454895119182
28,280,-725922.6318090432,17.679146455985048,19.752323558075297
29,290,-726123.6715067613,17.995370616047843,20.378287612553688
30,300,-726330.9162604196,18.292839101515668,20.99343327486713
31,310,-726544.2583239777,18.572525969977185,21.59787079704256
32,320,-726763.5911639314,18.835575543157802,22.191733535387904
33,330,-726988.8096908327,19.083095673317406,22.775177216481826
34,340,-727219.8105368721,19.315863325702946,23.348371843327186
35,350,-727456.4920827464,19.534840117747105,23.911497801479708
36,360,-727698.7544549019,19.741066956566634,24.46474843152682
37,370,-727946.5000062231,19.93523715949555,25.00832501378463
38,380,-728199.6328917723,20.118214612681186,25.542433460701428
39,390,-728458.0595374398,20.29075887564977,26.067284745171488
40,400,-728721.6883966561,20.453490604879363,26.583091312035684
41,410,-728990.4301034008,20.607069853725307,27.090065674520154
42,420,-729264.1973921447,20.752098357479554,27.58842019441363
43,430,-729542.9051277557,20.889188655049626,28.078366526884203
44,440,-729826.4702908309,21.018839425512077,28.560114517401963
45,450,-730114.8119555106,21.141458595418968,29.033870060923803
46,460,-730407.8512253586,21.25761130169849,29.499836148838224
47,470,-730705.5111909059,21.367642272607224,29.9582124845736
48,480,-731007.7170392789,21.47193217934111,30.409193788100673
49,490,-731314.3956537673,21.570976020515012,30.85297174851148
50,500,-731625.4761300154,21.664864789781824,31.289732396618632
51,510,-731940.8890766454,21.754105761309656,31.719656591195957
52,520,-732260.5671125838,21.839009784336668,32.142922616571006
53,530,-732584.4445432578,21.919592912562113,32.55970170764921
54,540,-732912.4573334478,21.996366962813887,32.97016038450237
55,550,-733244.5430988609,22.069491390662694,33.37446218888799
56,560,-733580.6411594694,22.13914797080207,33.77276489282812
57,570,-733920.6921936572,22.205685051102854,34.165222567827726
58,580,-734264.638662613,22.26901721130121,34.55198356510663
59,590,-734612.4242253314,22.329432038910454,34.933190326316975
60,600,-734963.994108661,22.38721783814249,35.308982949874185
61,610,-735319.2948549981,22.44232957306954,35.6794966196161
62,620,-735678.274366601,22.495019876293505,36.0448615913221
63,630,-736040.8817663521,22.545692121708864,36.40520710639538
64,640,-736407.0675405903,22.594079837203026,36.76065741958155
65,650,-736776.7834028627,22.640250043710832,37.111329437876705
66,660,-737149.9820144778,22.684672590141414,37.45733878767206
67,670,-737526.6175009387,22.72704709618119,37.79879719697638
68,680,-737906.6447747836,22.76773304841481,38.13581182787894
69,690,-738290.0199853408,22.806973635652636,38.468489554601554
70,700,-738676.7003192356,22.84448041798896,38.79693233962608
71,710,-739066.6439037345,22.88051725777924,39.12123760297837
72,720,-739459.8098524978,22.915275613730667,39.44150186463085
73,730,-739856.1582543862,22.948618346603897,39.75781804050203
74,740,-740255.6500944343,22.98052065054071,40.07027414612385
75,750,-740658.2471904332,23.01123674893466,40.378956179296075
76,760,-741063.9122394251,23.0409952655087,40.68394991945679
77,770,-741472.6087860797,23.069801804955823,40.985339322449
78,780,-741884.3012240294,23.097305589291445,41.283202881486794
79,790,-742298.9546943521,23.12349162287137,41.577613745503186
80,800,-742716.5349807307,23.149077028035947,41.86864668973139
81,810,-743137.0086996488,23.174118463273274,42.15637853512744
82,820,-743560.3432759461,23.19796636817651,42.44087966353836
83,830,-743986.5067140631,23.22084948462725,42.72221531342802
84,840,-744415.4676523167,23.243178471224383,43.00045220168249
85,850,-744847.1954993134,23.264484628336444,43.27565436406585
86,860,-745281.6602089116,23.284944589755952,43.547881858468465
87,870,-745718.83227733,23.305257291070117,43.81719770358613
88,880,-746158.6829722925,23.324899122235365,44.08366379980143
89,890,-746601.18411617,23.343370511900993,44.34733416668895
90,900,-747046.3079625472,23.361549322900892,44.60826308278192
91,910,-747494.0273574874,23.379440105581242,44.86650793002772
92,920,-747944.315863612,23.396267045824985,45.122120017395346
93,930,-748397.1472757742,23.412696517707015,45.37514835510518
94,940,-748852.4960546967,23.428768636885664,45.62564417733664
95,950,-749310.3371710578,23.444355945786945,45.8736566341904
96,960,-749770.6459345631,23.459447198454427,46.11923260209878
97,970,-750233.3983741081,23.47381577155618,46.362416273292915
98,980,-750698.5705840955,23.48810280148748,46.603252582853024
99,990,-751166.139501188,23.501806646212724,46.84178583520698
100,1000,-751636.0822143633,23.51545583718675,47.0780591075556
101,1010,-752108.3763077208,23.528767276631257,47.31211543266545
102,1020,-752583.0000269659,23.540993946965536,47.54399150774116
103,1030,-753059.9314379275,23.553188458119692,47.77372440319451
104,1040,-753539.1496019006,23.564949877583274,48.00135329775367
105,1050,-754020.6334374384,23.576582286492638,48.226915765470764
106,1060,-754504.362619096,23.58822979652905,48.45045043981954
107,1070,-754990.316992106,23.599158161529264,48.67199211471598
108,1080,-755478.4768550824,23.60999199104255,48.891574073200175
109,1090,-755968.8226619742,23.620834060461416,49.10923204149586
110,1100,-756461.3355325471,23.63057017486426,49.32499617392751
111,1110,-756955.9965278279,23.639939361729272,49.53889406988165
112,1120,-757452.7871446208,23.649922363599842,49.750960293774554
113,1130,-757951.6892907489,23.659792721361576,49.96122965265095
