,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-491272.75226785574,-0.0,0.0
1,10,-491273.0288141234,0.19036758510337679,0.09518379255168839
2,20,-491274.9324923196,0.9605620571557665,0.43050809939231843
3,30,-491281.1966100629,2.6061580208668604,1.105008283825737
4,40,-491296.3239579266,4.911694480199367,2.1533297639951345
5,50,-491324.11317961395,7.314259442748153,3.4987175182948707
6,60,-491366.83236833557,9.482491920684698,5.020351122626744
7,70,-491425.543824707,11.336531880246184,6.620311059844244
8,80,-491500.5573915491,12.900910179328637,8.236370223212726
9,90,-491591.75465197285,14.225444883582526,9.832979602953127
10,100,-491698.7869656593,15.35714356342214,11.391139274656597
11,110,-491821.1896787213,16.333305630901304,12.90141943605049
12,120,-491958.44511402317,17.18231001816457,14.359772003363467
13,130,-492110.0185441276,17.925749268659285,15.765153482402091
14,140,-492275.37762911426,18.580274210163058,17.118186599142064
15,150,-492454.00356112974,19.159091515415636,18.42040420478079
16,160,-492645.39664194867,19.672843392123468,19.673816944631838
17,170,-492849.07948883966,20.13037749169742,20.88066322686209
18,180,-493064.5977632634,20.539261510694626,22.043268195052224
19,190,-493291.5210106477,20.905706176008998,23.163953399542518
20,200,-493529.4416879352,21.23498656280571,24.244978226139214
21,210,-493777.97454545787,21.531773947749738,25.288514174679587
22,220,-494036.75558573264,21.800111996085608,26.296632549969946
23,230,-494305.44098302565,22.043343953489966,27.27129277021377
24,240,-494583.7060507957,22.264333941007507,28.21433619007512
25,250,-494871.2436709473,22.465857381212118,29.127493628137017
26,260,-495167.76373909373,22.65001510279837,30.01238798927661
27,270,-495472.99173067894,22.81865541555743,30.870532895672657
28,280,-495786.667604473,22.97367292944105,31.703344748007655
29,290,-496108.545205841,23.116436989406033,32.512148165899994
30,300,-496438.39100260864,23.248176395733005,33.29817703093358
31,310,-496775.98342167813,23.370096756469888,34.06258368198832
32,320,-497121.1119692719,23.483270623302133,34.80644682993661
33,330,-497473.576601072,23.588529848789083,35.5307749008316
34,340,-497833.1870242143,23.68655123863432,36.23650850409977
35,350,-498199.7619378583,23.778137024812146,36.924527811745065
36,360,-498573.1286100257,23.863890475843775,37.59565840680371
37,370,-498953.12228838727,23.944285371528508,38.25067275401889
38,380,-499339.5856296991,24.019907498391667,38.89029559241099
39,390,-499732.3683528314,24.091106763634972,39.51520734998704
40,400,-500131.32676252874,24.158229896333125,40.126045566814724
41,410,-500536.3232447254,24.22178823595884,40.723411101933024
42,420,-500947.2261252547,24.282005604272037,41.30787025863611
43,430,-501363.90914953256,24.339071793813552,41.879954216643824
44,440,-501786.2512076038,24.393371547316264,42.44016408330936
45,450,-502214.1360513572,24.445102681078392,42.98897373926812
46,460,-502647.4520822686,24.49434495365994,43.52682887121119
47,470,-503086.0919333428,24.541439820569973,44.05415089816961
48,480,-503529.9523873279,24.58657008411842,44.57134015023985
49,490,-503978.9341470906,24.629755022594985,45.07877428612555
50,500,-504432.94150079065,24.671245456338475,45.57681077153174
51,510,-504891.8822833058,24.71113242989093,46.06578923030974
52,520,-505355.66761061846,24.749461628566422,46.546030827106726
53,530,-505824.2116998582,24.78641167243182,47.017840492070526
54,540,-506297.43176785286,24.822108889633206,47.48150890602264
55,550,-506775.2478422011,24.85664174608246,47.93731271801225
56,560,-507257.5826724129,24.890027132315907,48.38551457354115
57,570,-507744.3615421775,24.922341031766013,48.82636398524555
58,580,-508235.51216778177,24.95369718166775,49.2600990909923
59,590,-508730.9646042815,24.98415422250263,49.68694729067429
60,600,-509230.6511094828,25.013765603187537,50.107125457897205
61,610,-509734.5060760278,25.04256876841387,50.52084046170858
62,620,-510242.4658949193,25.07063459756896,50.92828995590389
63,630,-510754.4689043436,25.097995080417604,51.329662930127235
64,640,-511270.45528332196,25.124682756047605,51.725139951305025
65,650,-511790.3669676311,25.15077771471251,52.11489405621905
66,660,-512314.14759844716,25.176296670717417,52.49909109733416
67,670,-512841.7424325892,25.201255485246612,52.87788968835229
68,680,-513373.098275191,25.22570292681931,53.251441868893735
69,690,-513908.1634232101,25.2496706436898,53.619893606502586
70,700,-514446.8876007153,25.273188068851443,53.98338500627578
71,710,-514989.22190405923,25.296252321067833,54.3420504001755
72,720,-515535.1187479932,25.31891066132812,54.6960187906363
73,730,-516084.5317946667,25.3412440719809,55.04541472399433
74,740,-516637.41595674964,25.36315351447572,55.3903575477525
75,750,-517193.72729846434,25.384699494243353,55.730961536595714
76,760,-517753.4229782166,25.405994609586088,56.06733756793619
77,770,-518316.4613086589,25.426917705840715,56.39959212454778
78,780,-518882.8015757939,25.447541813834853,56.72782724781791
79,790,-519452.40410727204,25.467969305052023,57.05214219500122
80,800,-520025.23019481415,25.488134081824683,57.37263271215852
81,810,-520601.2420802169,25.507856233891037,57.68938945284826
82,820,-521180.40288087534,25.527392999236937,58.0025001908878
83,830,-521762.676525376,25.547041504012245,58.312052866634616
84,840,-522348.0279537654,25.56633093219716,58.61813124828331
85,850,-522936.42279776593,25.585162096140266,58.9208127430531
86,860,-523527.82746995654,25.60379454899521,59.2201729671935
87,870,-524122.2091464364,25.62238332644635,59.51628731441596
88,880,-524719.5357277984,25.640951980918118,59.80922961816905
89,890,-525319.775901234,25.659147275044234,60.099069358114505
90,900,-525922.8989638133,25.67709696528631,60.385872409591684
91,910,-526528.8748570541,25.69518928441096,60.66970530699327
92,920,-527137.674242924,25.71317524918109,60.95063318335742
93,930,-527749.2684015706,25.73046733312367,61.228714546893016
94,940,-528363.6291634473,25.74793402282541,61.50400748863612
95,950,-528980.7288137573,25.76581800583524,61.77657415295398
96,960,-529600.5406516399,25.782681898679584,62.04646852296137
97,970,-530223.0379914201,25.79946936086344,62.31374027998536
98,980,-530848.194923957,25.816863325988898,62.578445925892446
99,990,-531475.9861255204,25.8339282912232,62.84063900164037
100,1000,-532106.3866915092,25.850636976247188,63.10036657183081
101,1010,-532739.3722104455,25.867113836534482,63.357674775704794
102,1020,-533374.9187138518,25.88336331610939,63.61260902663925
103,1030,-534013.0026968899,25.900229104098834,63.865217526076584
104,1040,-534653.6010747498,25.91725919859033,64.11554900125775
105,1050,-535296.691524734,25.932909131559576,64.3636412524269
106,1060,-535942.2516122627,25.94843925887193,64.60952959430142
107,1070,-536590.2595560568,25.965651641445888,64.85326271344675
108,1080,-537240.6940136468,25.982058247807743,65.09488484090399
109,1090,-537893.53437304,25.99655487643551,65.33442239933356
110,1100,-538548.7593995671,26.013001062499512,65.57191356498079
111,1110,-539206.3492101613,26.02960741626802,65.80740496275831
112,1120,-539866.2840586011,26.044622932468087,66.04092608470674
113,1130,-540528.5440859911,26.06052328304488,66.27250877272309
114,1140,-541193.1103686824,26.076026962202903,66.50218936195597
115,1150,-541859.963925815,26.091136865550162,66.72999762676628
116,1160,-542529.0861619083,26.10719845473068,66.95596838009078
117,1170,-543200.458943679,26.123081015475826,67.18013650626963
118,1180,-543874.06443736,26.13729224037894,67.40252484293306
119,1190,-544549.8849294116,26.15261587423447,67.6231610218878
120,1200,-545227.9028118763,26.169213450397706,67.84208435191249
121,1210,-545908.101710396,26.18279685352737,68.05931611671694
122,1220,-546590.4642575426,26.197351854695825,68.27487568827054
123,1230,-547274.9739614147,26.214130591912195,68.48880339086753
124,1240,-547961.614998899,26.22903955606779,68.70112715361319
125,1250,-548650.371132951,26.24380331471965,68.91186462314653
126,1260,-549341.2267207574,26.25878806281817,69.12104137633722
127,1270,-550034.166321548,26.272471843266615,69.32867784478583
128,1280,-550729.1745658104,26.28747836574894,69.53479823566886
129,1290,-551426.2363044264,26.302407364460308,69.73943101340119
130,1300,-552125.3372478526,26.316629498382657,69.94259613453032
131,1310,-552826.4620725341,26.332976839868934,70.14432148548367
132,1320,-553529.5973543559,26.34743866806403,70.3446299347197
133,1330,-554234.728444257,26.360215749245068,70.54352939421369
134,1340,-554941.8415331828,26.374143016040918,70.74103893106512
135,1350,-555650.9227004158,26.389794234652264,70.93718989111511
136,1360,-556361.958590522,26.404957951186418,71.1320069210531
