,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-584912.5933708368,-0.0,0.0
1,10,-584912.801028358,0.08888025827764068,0.04444012913882034
2,20,-584913.9716365165,0.35886909342953,0.17859753163502318
3,30,-584916.7715537316,0.922178775901557,0.42201126764266517
4,40,-584922.5272840648,1.903046712372452,0.8135885693394812
5,50,-584933.0377961172,3.2469790356699377,1.3761673119530315
6,60,-584950.1133987368,4.798345472454094,2.100727338224533
7,70,-584975.2798707882,6.407816712206113,2.9582906546580485
8,80,-585009.6884832252,7.97505914417561,3.9144330448980327
9,90,-585054.1380409575,9.446564208148628,4.937683364083933
10,100,-585109.1388634344,10.800417515449228,6.002513362531317
11,110,-585174.9809409408,12.032314895442692,7.089457642642083
12,120,-585251.7909137055,13.14713042175863,8.184178147886996
13,130,-585339.5777132711,14.153547269979018,9.276342451485107
14,140,-585438.266732049,15.061237175215494,10.358610981862874
15,150,-585547.7238618168,15.88026961823925,11.425854630157117
16,160,-585667.7746566075,16.62002674113029,12.474572786425414
17,170,-585798.2173960111,17.28891410251381,13.502446095689082
18,180,-585938.8326480188,17.89470857529085,14.508018807494953
19,190,-586089.3907280937,18.444298761617397,15.490470328897935
20,200,-586249.6566584863,18.943798123626028,16.449441565189044
21,210,-586419.3941628323,19.398746906485773,17.384911444624596
22,220,-586598.3682652011,19.81397025383194,18.297103876738404
23,230,-586786.3475916785,20.193569584452764,19.18641202564759
24,240,-586983.1052723774,20.54137458920013,20.053347972729533
25,250,-587188.4202719759,20.86087043193401,20.898510685309883
26,260,-587402.077903869,21.1549465784745,21.722553989688457
27,270,-587623.8703449644,21.42609364603123,22.526159397391893
28,280,-587853.5966070198,21.676687639125177,23.310022617196957
29,290,-588091.06277891,21.908863558483418,24.07484535190888
30,300,-588336.0820067979,22.12437497160863,24.82132396163943
31,310,-588588.4743350053,22.324773843493325,25.55014054197527
32,320,-588848.0665732048,22.51150270458311,26.26195976921008
33,330,-589114.6920508986,22.685937236988657,26.957428320741748
34,340,-589388.1905179925,22.849209795513865,27.6371724336248
35,350,-589668.4078725337,23.00222904674594,28.30179349683167
36,360,-589955.195886069,23.145931579917647,28.951868040871343
37,370,-590248.4119559365,23.281234193054843,29.58795058569376
38,380,-590547.9189559009,23.408776533493114,30.210572076118844
39,390,-590853.5849411696,23.529205092761565,30.82023876921303
40,400,-591165.2828431366,23.643178794765802,31.417434979695827
41,410,-591482.8904444466,23.751179845718376,32.002623249334285
42,420,-591806.289909167,23.853712763398683,32.57624455503101
43,430,-592135.3678304999,23.95111939814824,33.13871871437441
44,440,-592470.0147968768,24.043889520457014,33.690446120002896
45,450,-592810.1253276212,24.132478860556148,34.231810791286996
46,460,-593155.5977659689,24.216998488141755,34.7631776897295
47,470,-593506.3339170631,24.297767894432663,35.28489282665979
