,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-595628.1628496507,-0.0,0.0
1,10,-595628.4428717754,0.1769690581713803,0.08848452908569016
2,20,-595630.4142205889,0.7500838631473016,0.3644900239582057
3,30,-595636.0816783515,1.7278973984706683,0.8399938894901424
4,40,-595647.66726879,2.9396670040674504,1.495435164743685
5,50,-595666.7591169073,4.181589459010865,2.281052486153203
6,60,-595694.3169870317,5.372890501026995,3.1469523071398724
7,70,-595730.8892711351,6.503690697261483,4.059242517744132
8,80,-595776.7859752803,7.584720389638097,4.997836877615191
9,90,-595832.1833722044,8.626085353162486,5.951108866032154
10,100,-595897.1785654771,9.631688632332954,6.911920261713385
11,110,-595971.8156303989,10.600262759014738,7.875334818739793
12,120,-596056.0979102033,11.527881418308237,8.837493336579064
13,130,-596149.9942986262,12.410280432054419,9.795140207164513
14,140,-596253.4435263238,13.244145785714505,10.745463891953113
15,150,-596366.358445106,14.027281522925472,11.686045149349956
16,160,-596488.6295589749,14.75899307718501,12.61483973377617
17,170,-596620.1286756468,15.440079046017496,13.530178239379893
18,180,-596760.713074319,16.07198626781464,14.430742274316435
19,190,-596910.2285039431,16.65689647910475,15.315525718340359
20,200,-597068.5121147026,17.19757959857814,16.183804589333885
21,210,-597235.3954827216,17.69691932288697,17.03509930127184
22,220,-597410.7063142834,18.157919003069416,17.869134500587826
23,230,-597594.270879258,18.583410932752336,18.685801672120583
24,240,-597785.9149120516,18.97634364806582,19.485129358978885
25,250,-597985.4652513297,19.339506725518696,20.267259986157296
26,260,-598192.7507492333,19.675273439614102,21.03242076373717
27,270,-598407.6028341622,19.98607290186339,21.78090386795229
28,280,-598629.8562378605,20.274097393348328,22.513053782550557
29,290,-598859.3494138863,20.54138385208499,23.229253026556396
30,300,-599095.924722764,20.7897729817196,23.92991103347158
31,310,-599339.4289368547,21.020737937686512,24.61545141011884
32,320,-599589.7129049763,21.235814679507143,25.286305174771407
33,330,-599846.6319926459,21.436520255685863,25.942910540588493
34,340,-600110.0458555381,21.624192054214646,26.585709126364964
