,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-510445.4550554846,-0.0,0.0
1,10,-510445.6756400851,0.1993217596114846,0.0996608798057423
2,20,-510447.83015228144,0.8564069226122228,0.41342349026454034
3,30,-510454.08967967046,2.08880198316474,0.975658884778386
4,40,-510467.3333875305,3.8247773875191338,1.8018897220790677
5,50,-510490.3544123647,5.7471813990559895,2.8547050354245584
6,60,-510525.0843966548,7.580766774213408,4.061153739847941
7,70,-510572.5965962514,9.223537107852463,5.351708383498044
8,80,-510633.3738509405,10.674185525032229,6.677669057944877
9,90,-510707.5447064687,11.960503561989748,8.009278073369932
10,100,-510795.03423285135,13.109731571326844,9.329237072046816
11,110,-510895.65061029483,14.142132311116441,10.627547846572996
12,120,-511009.1335410475,15.072221821232235,11.898381285084177
13,130,-511135.18244979775,15.910979022363614,13.13835125926489
14,140,-511273.4735886478,16.66743545182107,14.345577542745012
15,150,-511423.671147831,17.349596785097674,15.519162987432354
16,160,-511585.4348803961,17.96479410002941,16.658882695894864
17,170,-511758.4254372912,18.51978486914305,17.764982066495577
18,180,-511942.3081573945,19.020812131266556,18.838037514005556
19,190,-512136.7556911494,19.47362325559951,19.878857176424937
20,200,-512341.44990579574,19.883421314647443,20.88840647917532
21,210,-512556.0830465983,20.254894469768633,21.867751404178854
22,220,-512780.35849682626,20.59224713862057,22.818016413103035
23,230,-513013.9911534182,20.89922592322546,23.740353028220852
24,240,-513256.7075371997,21.17916126960189,24.63591655300188
25,250,-513508.2457401046,21.434989670524374,25.50584887286241
26,260,-513768.3551796892,21.66930896564153,26.351266146381388
27,270,-514036.7963102638,21.884423208722698,27.173250722947706
28,280,-514313.3402205873,22.082360631565138,27.97284568782634
29,290,-514597.76824813965,22.264913669842674,28.751051378140986
30,300,-514889.87149095914,22.433669462276136,29.50882369107276
31,310,-515189.450411767,22.590017514990155,30.247073303320214
32,320,-515496.314320614,22.735177509905782,30.966665573122008
33,330,-515810.2809850911,22.870291273061603,31.66842228645764
34,340,-516131.1761221562,22.996340055428988,32.35312332260437
35,350,-516458.8331235947,23.11409032388479,33.02150608434895
36,360,-516793.0924414107,23.22444996773265,33.674269179797555
37,370,-517133.8013653256,23.328059919689156,34.312075037873726
38,380,-517480.8137050738,23.425385231649933,34.935547843890525
39,390,-517833.98913129396,23.517235169629622,35.5452796119338
40,400,-518193.1932689807,23.6039887861115,36.14183248675545
41,410,-518558.29713846196,23.68596730903664,36.72573560644814
42,420,-518929.17682167375,23.763821362142394,37.29749150157804
43,430,-519305.71340641927,23.83778293501097,37.857577659341764
44,440,-519687.7925851879,23.90802780877563,38.40644331603252
45,450,-520075.3043561766,23.974998764220672,38.944514325381164
46,460,-520468.14291943726,24.039053570639226,39.4721972610896
47,470,-520866.20641594654,24.100368720968287,39.98987822292692
48,480,-521269.3967785307,24.15903173822437,40.49792170482033
49,490,-521677.61942781945,24.215340614278137,40.99667359781743
50,500,-522090.7831640726,24.269510884623813,41.48646401905426
51,510,-522508.8000646836,24.321676582380242,41.96760693753168
52,520,-522931.58515832224,24.372208086104365,42.44040290183693
53,530,-523359.05652631825,24.42083032745439,42.90513624827945
54,540,-523791.1350049458,24.46762994220488,43.362073569142375
55,550,-524227.7438032944,24.513192575723224,43.811472903470715
56,560,-524668.8090218969,24.557496789749592,44.253583472898754
57,570,-525114.2588566892,24.600651183648814,44.68864202291443
58,580,-525564.0241079836,24.642440858652158,45.11687204372429
59,590,-526018.0375249498,24.683015854551755,45.538484979174974
60,600,-526476.2339808693,24.722987627203068,45.95368797653064
61,610,-526938.5504412473,24.76195094538288,46.36267968445173
62,620,-527404.9258455065,24.799567113281228,46.76564300445753
63,630,-527875.300702427,24.836794451071093,47.16275692971395
64,640,-528349.6174308619,24.873681277036667,47.55419998096913
65,650,-528827.8203569091,24.90930484933788,47.940135653248575
66,660,-529309.8550670155,24.944301248464132,48.320717669706205
67,670,-529795.6688143753,24.979140939994107,48.69610114841343
68,680,-530285.2104615015,25.013379784964442,49.06643455814919
69,690,-530778.4301918057,25.046680828020953,49.431854155492324
70,700,-531275.2796088022,25.079818505997586,49.792493403409026
71,710,-531775.7113842089,25.1129594101424,50.14848679099814
72,720,-532279.6800809634,25.145237280707704,50.49995832116838
73,730,-532787.1407227586,25.177339033660246,50.84702555213444
74,740,-533298.0501293917,25.209009575343327,51.18980422554159
75,750,-533812.3658635186,25.240143950577473,51.52840299765812
76,760,-534330.0466694824,25.271622064779354,51.86293129547411
77,770,-534851.0524143855,25.302878161319004,52.193496370597856
78,780,-535375.3440632913,25.333645056572447,52.52019593486184
79,790,-535902.883317544,25.364094588245084,52.843123339710296
80,800,-536433.6330699498,25.39419576968072,53.16236930750019
81,810,-536967.5568002409,25.42499079963012,53.478027418712735
82,820,-537504.6191744931,25.455722522234893,53.7901896266223
83,830,-538044.7858339499,25.48598601590772,54.09893748312024
84,840,-538588.022704657,25.516641838511106,54.40435229220893
85,850,-539134.2972705582,25.544250136154005,54.70649735997576
86,860,-539683.5770166488,25.572668583656196,55.00543596061324
87,870,-540235.82953076,25.606002170982723,55.301275198349316
88,880,-540791.0255930981,25.63722669524128,55.59410219113488
89,890,-541349.1346655231,25.666192227555186,55.88396034306933
90,900,-541910.1274544089,25.69553552957963,56.17090540939971
91,910,-542473.9751675795,25.72509078867449,56.455005037249066
92,920,-543040.6495537328,25.75597336030326,56.736329806022695
93,930,-543610.1234018507,25.786687561476786,57.01494602728053
94,940,-544182.3699023438,25.816705372434875,57.29090703336696
95,950,-544757.3626845354,25.846636928603335,57.564264865487345
96,960,-545335.0760830282,25.87726683625931,57.83507722812938
97,970,-545915.4847617164,25.90869499951382,58.10340463379253
98,980,-546498.5644582277,25.939542856853222,58.36929921442935
99,990,-547084.2908368354,25.97013370266657,58.63280611226947
100,1000,-547672.6404019402,26.000649380439356,58.893971650599276
101,1010,-548263.5898952686,26.032681402805324,59.1528495579114
102,1020,-548857.1166054049,26.064691412192914,59.409492313479134
103,1030,-549453.1989265345,26.09536858828229,59.663936955182
104,1040,-550051.8142564822,26.127832853654326,59.916228082754245
105,1050,-550652.9420815241,26.159889681061106,60.16641356702458
106,1060,-551256.5610740416,26.191895965736983,60.41453114935139
107,1070,-551862.6509087731,26.225569334140012,60.66062721784692
108,1080,-552471.1916259278,26.25834110411823,60.90474300125934
109,1090,-553082.163687175,26.291901292037956,61.14691444705823
110,1100,-553695.547489334,26.326367828791497,61.387184807169255
111,1110,-554311.3248697208,26.35778600376499,61.62557888126467
112,1120,-554929.4765774052,26.390807639714012,61.86212375258183
113,1130,-555549.9843535293,26.426766530240922,62.09687245338282
114,1140,-556172.8309539192,26.46274119121388,62.3298697029968
115,1150,-556797.998444959,26.498553691213846,62.56114546034951
116,1160,-557425.470502781,26.53206962700925,62.790718932436725
117,1170,-558055.2294246292,26.56736116310332,63.01861703298491
118,1180,-558687.2590411693,26.605088662461164,63.24488619098702
119,1190,-559321.5432628167,26.641856260443625,63.46956019004574
120,1200,-559958.0662536805,26.677264708327044,63.69265603218665
121,1210,-560596.812346806,26.715017206532714,63.91420393488952
122,1220,-561237.7658877611,26.754207989631773,64.13424496137449
123,1230,-561880.9128414422,26.791839017108025,64.35280326947831
124,1240,-562526.2373933138,26.830071402876285,64.5698989559678
125,1250,-563173.7261292546,26.868280308554482,64.7855578489878
126,1260,-563823.3637606093,26.909790373809116,64.99981585265778
127,1270,-564475.1372667657,26.949990155715938,65.21270305854122
128,1280,-565129.0329184997,26.989584459364778,65.42423344628332
129,1290,-565785.0365901527,27.032850839785716,65.6344400022048
130,1300,-566443.1363215336,27.074370846908455,65.8433506893969
131,1310,-567103.3181928698,27.114498166221892,66.05097333597804
132,1320,-567765.5703002127,27.15559003979433,66.25732587047823
133,1330,-568429.8790316682,27.20192250524453,66.46245082052337
134,1340,-569096.2332455706,27.246993520635286,66.66638157335547
135,1350,-569764.6208997915,27.289607210870027,66.86912207892601
136,1360,-570435.0296218301,27.335945906070602,67.0706944993508
137,1370,-571107.4485774587,27.382707382238394,67.2711311887324
138,1380,-571781.8659821796,27.427681919041785,67.4704437361157
139,1390,-572458.2712061865,27.472628239693783,67.66864179898258
140,1400,-573136.6523952594,27.524506262969624,67.8657660108045
141,1410,-573816.9996272135,27.57410325583458,68.06184832688595
142,1420,-574499.3029529856,27.621385560405297,68.25688723474596
143,1430,-575183.5504888804,27.671467184668494,68.45089901637111
144,1440,-575869.7341827007,27.718688434409387,68.6438978440885
145,1450,-576557.8416210884,27.77191206383577,68.83590850405454
146,1460,-577247.8650480921,27.829240908700736,69.02697933761812
147,1470,-577939.7939704176,27.881951882741948,69.21712152819819
148,1480,-578633.6203630475,27.933232653071173,69.40632712846127
149,1490,-579329.3332454291,27.987960957965694,69.59461548976833
150,1500,-580026.9252003415,28.04531509667889,69.78201920549763
151,1510,-580726.3860670065,28.105412027749335,69.96856786739082
152,1520,-581427.708788328,28.160972738428537,70.15426692437322
153,1530,-582130.8840308429,28.215450584088103,70.33910905796802
154,1540,-582835.9031586141,28.2783951612364,70.5231293841207
155,1550,-583542.7585830673,28.33939949196065,70.70635977313941
156,1560,-584251.4425666044,28.399625238740835,70.88880163072318
157,1570,-584961.946528709,28.466448618998182,71.07048355026927
158,1580,-585674.2639297841,28.53012127094553,71.251426223843
159,1590,-586388.387072725,28.591270746207186,71.43162107417302
160,1600,-587104.3081084754,28.658146202099033,71.61108743748918
161,1610,-587822.0203892557,28.730401049397187,71.78986899235024
162,1620,-588541.5168237173,28.80228340508207,71.96798977676517
163,1630,-589262.7916936248,28.864938161481405,72.14542846829718
164,1640,-589985.837213874,28.931868960068325,72.32217814095493
165,1650,-590710.6464184016,29.012538955342254,72.49830184322927
166,1660,-591437.2141574356,29.09253172398218,72.67384673554479
167,1670,-592165.5344859555,29.159746096155615,72.84877947217754
168,1680,-592895.6013496054,29.23155887131651,73.02308278832497
169,1690,-593627.4069238318,29.319370060215693,73.19682517384499
170,1700,-594360.9484367445,29.40287801611703,73.37004792523658
171,1710,-595096.2188575803,29.48138627766457,73.54272986207798
172,1720,-595833.2138481227,29.55895228927281,73.71485993281821
173,1730,-596571.9270220371,29.644669903803397,73.88646535642184
174,1740,-597312.353434452,29.737665158067088,74.05759665393707
175,1750,-598054.4894454312,29.824041504471843,74.22826126189175
176,1760,-598798.3292656451,29.915425299713885,74.39845981273974
177,1770,-599543.8687925977,30.009409742184374,74.5682191603366
178,1780,-600291.1040571337,30.101944415230786,74.73754752787936
179,1790,-601040.0299272765,30.197859418428123,74.90645511413895
180,1800,-601790.6433305133,30.297230849973857,75.07496565134352
181,1810,-602542.9391869651,30.40117685792425,75.243105777468
182,1820,-603296.9153218595,30.498175501212245,75.41087312544114
183,1830,-604052.566938777,30.606378661902532,75.57828330728807
184,1840,-604809.8902089203,30.718786459416155,75.74538225590804
185,1850,-605568.8846094221,30.820605505984915,75.91215615291294
186,1860,-606329.5430930376,30.931978761660606,76.078605567255
187,1870,-607091.8661947711,31.048912008087402,76.24477452910214
188,1880,-607855.8480155981,31.176655295060215,76.41070964683021
189,1890,-608621.4892586246,31.298005503276094,76.57642523961113
190,1900,-609388.7862690726,31.41964795099867,76.74190748005057
191,1910,-610157.7362389867,31.552456618594356,76.90718881810753
192,1920,-610928.3391852735,31.67200652584461,77.07226605574397
193,1930,-611700.5910636669,31.799538681785,77.23712746396923
194,1940,-612474.4904361673,31.946564646495972,77.40184619535431
195,1950,-613250.0364663121,32.089270108947225,77.5664628819417
196,1960,-614027.2286076068,32.23156131625902,77.73096643241297
197,1970,-614806.0642833387,32.38320522774481,77.89538067933027
