,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-506957.640745341,-0.0,0.0
1,10,-506957.94174764527,0.12795614181959536,0.06397807090979768
2,20,-506959.62886539917,0.5129003246169305,0.25618122297382795
3,30,-506963.66199792654,1.2878305051490315,0.5990447216528991
4,40,-506971.87499194965,2.566384078143164,1.1344811489456332
5,50,-506986.5533216098,4.215016377827851,1.876780796496314
6,60,-507009.78495928156,6.012558504074696,2.7993289762853237
7,70,-507043.1647763157,7.790711024173652,3.856854877161095
8,80,-507087.778649974,9.459264005860314,5.004538236396911
9,90,-507144.2945797311,10.982131639930595,6.2058606612037694
10,100,-507213.0686606957,12.35215406745556,7.433586789017136
11,110,-507294.2338571018,13.57561487383937,8.668267895746249
12,120,-507387.7672876872,14.664222662168314,9.89635057669293
13,130,-507493.539006741,15.63128525710344,11.10856313340264
14,140,-507611.346656886,16.490138429985386,12.298699927878625
15,150,-507740.94041870977,17.253328850820253,13.462744404929254
16,160,-507882.0407073133,17.932290658191775,14.598239449691754
17,170,-508034.35070761404,18.537320093768358,15.703838829635787
18,180,-508197.56548438605,19.077535382477812,16.77898566491349
19,190,-508371.37822026835,19.560929794632816,17.823678513700724
20,200,-508555.484784531,19.99447336376761,18.838301658179986
21,210,-508749.58663775347,20.38431778739178,19.82350439197398
22,220,-508953.3930314035,20.735772620054203,20.780112851220473
23,230,-509166.6223272146,21.053414605022414,21.709063336963297
24,240,-509389.0026830397,21.3412704859511,22.611356064950087
25,250,-509620.27265077137,21.602806226146633,23.48802199126367
26,260,-509860.18111881916,21.841059044649555,24.340098482029862
27,270,-510108.48746429,22.058636815915804,25.168612122641935
28,280,-510364.9611838981,22.25783678170994,25.97456676811271
29,290,-510629.38173975813,22.44068558459407,26.758936511362847
30,300,-510901.5381586652,22.608896750680287,27.522659829355693
31,310,-511181.2286849981,22.763996075093715,28.266636002218004
32,320,-511468.26032909984,22.90736848758536,28.991724861854166
33,330,-511762.4485283995,23.040185987368787,29.698746221554032
34,340,-512063.616710144,23.16348211914878,30.388479391564037
35,350,-512371.5958699674,23.278192528967303,31.06166444204937
36,360,-512686.2242466224,23.38511408446357,31.71900330077915
37,370,-513007.34686013986,23.484996253393145,32.3611613661873
38,380,-513334.8152431947,23.578481060490567,32.9887693522709
39,390,-513668.4870354511,23.66613971289049,33.60242457172062
40,400,-514008.22569351486,23.748481903749052,34.20269264311864
41,410,-514353.90017457044,23.825986565471947,34.79010947868955
42,420,-514705.3846257388,23.89905637051561,35.36518286630307
43,430,-515062.5581786317,23.96801042928564,35.92839323783191
44,440,-515425.30456402985,24.033271241089096,36.480196388533656
45,450,-515793.5120063481,24.095123615836265,37.02102533927754
46,460,-516167.0729307219,24.1537688622484,37.55128990090306
47,470,-516545.88372172305,24.20951921084336,38.071378943508165
48,480,-516929.8445746855,24.262592786061646,38.58166236174075
49,490,-517318.85928323487,24.31316205421466,39.082491193611354
