,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-576340.0256734574,-0.0,0.0
1,10,-576340.2820628938,0.10687678798276465,0.053438393991382324
2,20,-576341.7432790983,0.3964193135325331,0.20598161636589796
3,30,-576345.069913286,0.9309060116152978,0.46023744668491423
4,40,-576351.3892710098,1.8318011184339413,0.8443635884250399
5,50,-576362.269843833,3.0749332867271737,1.3808320569019998
6,60,-576379.3532741057,4.532137891376625,2.066003543189436
7,70,-576404.0692406739,6.068189488080679,2.8771238070956318
8,80,-576437.5315298107,7.587679368630052,3.784795873926487
9,90,-576480.5440060181,9.035876533342526,4.761018975207117
10,100,-576533.648182359,10.38622740234132,5.782323486065434
11,110,-576597.1782226216,11.62890788866207,6.830221578394412
12,120,-576671.3097445165,12.763286221562883,7.890611893171444
13,130,-576756.099377002,13.793587209761608,8.952938070727395
14,140,-576851.5155940793,14.726448021060785,10.009405227898968
15,150,-576957.4623381817,15.569597405759845,11.054336380271705
16,160,-577073.7970094165,16.33105671214871,12.083668482718348
17,170,-577200.3442257767,17.01868973193924,13.094563702971207
18,180,-577336.9060665341,17.639955853385626,14.085112174674578
19,190,-577483.2700892116,18.201751740634776,15.054104415238545
20,200,-577639.2150255481,18.710437262838244,16.000858813668312
21,210,-577804.5154299953,19.171705238451274,16.925088917583345
22,220,-577978.9448590878,19.590641519497133,17.826799942643266
23,230,-578162.2783045664,19.971896014528475,18.70621344784886
24,240,-578354.2940408448,20.319512893958034,19.563708285629403
25,250,-578554.7749113367,20.63703871172038,20.399772245154605
26,260,-578763.509077425,20.927721505158097,21.214969202180512
27,270,-578980.2907800458,21.194383450949662,22.009913967397008
28,280,-579204.9206086285,21.43948808318237,22.7852505513074
29,290,-579437.2057353489,21.665263513912222,23.541637578894733
30,300,-579676.9599799509,21.873654074035596,24.279737506230596
31,310,-579924.0038127401,22.066381796621123,25.000207791280992
32,320,-580178.164223372,22.245013537164766,25.703695511615663
33,330,-580439.2746408366,22.410902055961216,26.39083297019388
34,340,-580707.1747337145,22.565217911766364,27.062233532132815
35,350,-580981.710198698,22.709060286870226,27.718490118967022
36,360,-581262.7325592474,22.843420494755264,28.360174995016134
37,370,-581550.0989683158,22.969138821796488,28.98783849197207
38,380,-581843.6719631078,23.08697573108371,29.60200825629581
39,390,-582143.3192393625,23.197623466284103,30.20318968181236
40,400,-582448.9134466851,23.301702652825043,30.791866394027604
41,410,-582760.3319447336,23.399767947735423,31.36850070094079
42,420,-583077.4566329152,23.492314495320898,31.933534135352243
43,430,-583400.173692005,23.57981697116916,32.48738846428024
