,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-602800.4732096622,-0.0,0.0
1,10,-602800.6337108314,0.1198189329385059,0.05990946646925295
2,20,-602801.9226071913,0.5420867885928601,0.2553406300867209
3,30,-602805.7474704873,1.3761011218564816,0.6202125142110162
4,40,-602814.2137404921,2.548216722800862,1.1680897915372042
5,50,-602829.2092451012,3.8280429839651333,1.8694211802838252
6,60,-602851.987041021,5.072540915280114,2.6749372216203477
7,70,-602883.2953635869,6.251231680062484,3.544165513136249
8,80,-602923.5772809851,7.374249308696019,4.451572643505642
9,90,-602973.1028059586,8.453710026704357,5.3821137823382745
10,100,-603032.0387674926,9.494242305139778,6.326476454634395
11,110,-603100.4822928935,10.49442439486156,7.2782078605669085
12,120,-603178.4772232207,11.45011602215236,8.232315318832116
13,130,-603266.0233230824,12.356904022197702,9.184669025737094
14,140,-603363.082732356,13.211446080857417,10.131771925083012
15,150,-603469.5855964165,14.011926595281698,11.070673504956357
16,160,-603585.4352302938,14.75805421359837,11.99892691897403
17,170,-603710.513007338,15.450817572456433,12.91455192410358
18,180,-603844.6828637655,16.092130832502164,13.815991369294352
19,190,-603987.795283136,16.684548798183087,14.70206207716692
20,200,-604139.6907879761,17.231034526426807,15.571905013963987
21,210,-604300.2029248248,17.734740901918858,16.42493661288463
22,220,-604469.1607812396,18.198855744284803,17.260802706469256
23,230,-604646.3910253744,18.626507867759226,18.079337148375632
24,240,-604831.7196031291,19.020711533585555,18.88052605607372
25,250,-605024.9730526506,19.3843282177113,19.664477444044312
26,260,-605225.9796109078,19.71997608009844,20.431394317631202
27,270,-605434.5700050751,20.03009252808113,21.181552266272774
28,280,-605650.5780434252,20.316963639715667,21.915282827819464
29,290,-605873.8411686523,20.582644647592687,22.63295893353643
30,300,-606104.2007097136,20.828994542331234,23.334982026154467
31,310,-606341.5021869158,21.05770697244733,24.021772370232796
32,320,-606585.5953687251,21.270338086504466,24.6937618378739
33,330,-606836.3344399825,21.46828057304083,25.35138784885494
34,340,-607093.5779503448,21.652812727628064,25.99508854381711
35,350,-607357.1888513196,21.82508131615757,26.625299136344985
36,360,-607627.034429291,21.986090251116522,27.242448376888934
37,370,-607902.9862127323,22.136800386154224,27.84695669265202
38,380,-608184.9198974052,22.278076429729158,28.439235228417967
39,390,-608472.7152502381,22.410665900772422,29.01968404251675
40,400,-608766.2559722875,22.535268055740687,29.588691122710586
41,410,-609065.4295861037,22.65251983811322,30.146632215335554
42,420,-609370.1273152255,22.76299558734172,30.693870499970213
43,430,-609680.2439413235,22.867225842538772,31.230756517589903
44,440,-609995.6777015801,22.96568661669741,31.757628204056523
45,450,-610316.3301345364,23.058809588692462,32.27481091103982
46,460,-610642.1059848589,23.146978278475515,32.78261749645317
47,470,-610972.9130473837,23.23056466545958,33.28134875309043
48,480,-611308.6620753364,23.30990351946093,33.771293914738635
49,490,-611649.2666535632,23.38528870939921,34.25273080472689
50,500,-611994.6430854135,23.457008442055738,34.725926284141316
51,510,-612344.7102913423,23.525304166419737,35.19113660548756
52,520,-612699.3897022442,23.5904279446695,35.64860788034276
53,530,-613058.6051480755,23.65258440559835,36.09857650700433
54,540,-613422.2828021093,23.71195165460813,36.54126920364943
55,550,-613790.3510119072,23.768750287665288,36.97690385963215
56,560,-614162.7403106074,23.8231239219661,37.40568987129082
57,570,-614539.3832395845,23.875205093613395,37.82782795850799
58,580,-614920.2143361926,23.925183352799046,38.24351116276375
59,590,-615305.169997152,23.9732149165211,38.652925581666935
60,600,-615694.188488228,24.019375243456906,39.05624988030468
61,610,-616087.2097817817,24.063729557607353,39.45365502556524
62,620,-616484.1755570924,24.106411042902707,39.84530525113223
63,630,-616885.0290612031,24.147659867411175,40.231359885986606
64,640,-617289.7151492103,24.18746054638177,40.611972515691015
65,650,-617698.1801881595,24.22575833978767,40.98728903843876
66,660,-618110.3719041697,24.262840331008192,41.35745042211493
67,670,-618526.2394740941,24.298710056982287,41.72259347570362
68,680,-618945.7334108448,24.333392187103115,42.082849134221036
69,690,-619368.8054526001,24.367102329563977,42.43834434088349
70,700,-619795.40867763,24.39976852870323,42.789201607089495
71,710,-620225.497287529,24.43133200040601,43.13553730181448
72,720,-620659.0266692888,24.462008227617275,43.477463992756384
73,730,-621095.9532531624,24.49194886681232,43.81509212432284
74,740,-621536.2346655184,24.521007327467725,44.14852768069541
75,750,-621979.8294647502,24.549363477926715,44.47787258582394
76,760,-622426.6972603034,24.576908781693945,44.803225198363364
77,770,-622876.798670193,24.603682507496146,45.124679559843216
78,780,-623330.0950702367,24.630086997005634,45.442328905027544
79,790,-623786.5490094058,24.655648380893343,45.75626248555928
80,800,-624246.1236940146,24.680551723577082,46.066564341305636
81,810,-624708.7832212165,24.705124995220103,46.373318561153425
82,820,-625174.4925936543,24.729078798758565,46.67660639857495
83,830,-625643.2174947533,24.75233309151372,46.97650390473136
84,840,-626114.9244585617,24.77511911188509,47.27308529213624
85,850,-626589.5806035149,24.79777517056215,47.56642550493998
86,860,-627067.1539992366,24.82000932455982,47.85659715044312
